StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-28,31475.1,31475.1,31032.05,31193.35,31199.0,31475.1,6634,206984612.3,1453
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-27,30788.0,31657.45,30179.85,31475.1,31558.0,30487.15,9289,284864821.7,2456
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-26,31000.0,31000.0,30319.75,30487.15,30500.0,30728.4,2225,67962446.7,1406
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-22,30200.0,30900.0,30144.5,30728.4,30798.0,30049.25,2103,64368415.7,1358
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-21,30337.0,30337.0,29877.6,30049.25,29895.05,30038.95,8054,242998945.2,1677
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-20,29678.9,30200.0,29260.0,30038.95,30020.0,29678.9,7617,225303270.05,1591
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-19,29748.0,30104.3,29203.4,29678.9,29429.0,29516.1,6670,197902651.35,3988
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-18,29595.0,29620.85,29241.15,29516.1,29500.0,29594.45,1842,54218989.35,1269
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-15,30249.0,30369.3,29400.0,29594.45,29589.0,30133.15,21361,632815035.6,6233
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-14,30246.55,30446.15,29400.0,30133.15,30271.95,30246.55,4529,136479621.9,2989
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-13,30843.2,30900.0,29905.1,30246.55,30220.0,30843.2,6237,188676192.5,3362
3M India Limited,INE470A01017,2004-08-13,EQ,3MINDIA,2024-03-12,30448.0,31132.45,30005.55,30843.2,30718.55,30101.85,3630,111204855.6,1892
