StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-28,655.2,670.5,653.0,665.55,664.0,658.25,1404932,934619228.6,34189
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-27,655.1,661.0,653.5,658.25,658.4,656.5,1501801,987694557.45,56095
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-26,645.0,661.95,645.0,656.5,656.3,655.3,627104,411485362.3,25503
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-22,649.2,658.55,645.2,655.3,655.0,648.5,795732,520058558.85,24917
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-21,640.0,650.9,640.0,648.5,648.5,635.1,681214,439994814.85,22439
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-20,636.0,645.75,632.7,635.1,634.4,635.75,769372,490157105.15,27873
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-19,644.95,646.35,632.3,635.75,634.1,645.35,561993,358924620.2,23567
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-18,633.05,648.95,633.05,645.35,643.0,634.9,649209,416292423.7,31129
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-15,646.9,646.9,628.5,634.9,637.55,645.9,1032743,656203890.55,45832
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-14,616.0,648.15,606.55,645.9,645.0,619.9,1433487,913524772.8,56417
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-13,646.85,653.5,610.8,619.9,618.0,646.85,1701165,1068225027.65,58529
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-12,655.0,659.75,644.55,646.85,648.0,654.85,674779,439430298.25,27354
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-11,665.35,667.0,648.45,654.85,654.4,665.4,1074397,705404467.55,48220
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-07,649.0,670.75,648.15,665.4,665.5,653.55,1128494,747381867.55,36431
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-06,657.5,662.0,638.25,653.55,654.05,662.05,1118093,724921083.5,46270
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-05,668.0,672.85,661.0,662.05,662.0,662.1,656542,436774671.65,23932
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-04,675.3,678.0,660.55,662.1,661.8,675.3,502329,334721372.45,21677
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-02,674.9,680.0,666.15,675.3,676.0,673.25,92390,62467812.25,3548
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-03-01,665.0,678.35,663.05,673.25,673.85,655.95,1012427,681506285.8,31242
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-29,650.0,661.0,642.85,655.95,661.0,648.5,1873884,1223279335.05,43363
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-28,670.95,676.0,646.0,648.5,647.2,669.8,1059763,698577298.0,38135
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-27,679.1,679.35,667.0,669.8,668.0,672.35,983657,663212400.85,23960
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-26,674.0,680.7,665.1,672.35,672.0,674.3,950605,640099934.55,34481
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-23,685.5,689.5,671.0,674.3,673.0,683.25,898099,609639473.55,37023
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-22,689.9,694.85,678.05,683.25,685.9,687.4,1383561,945716647.05,35956
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-21,709.5,712.0,682.45,687.4,687.2,703.9,2361143,1654366994.45,58360
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-20,682.35,709.0,682.0,703.9,706.3,689.05,2196654,1533374892.4,85720
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-19,695.25,697.25,680.6,689.05,689.3,695.25,962458,662996783.45,37182
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-16,687.0,710.5,683.2,695.25,694.7,681.95,2850802,1994980746.0,85566
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-15,672.0,688.0,670.05,681.95,682.0,667.8,1449659,989110205.95,44750
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-14,651.0,670.0,648.5,667.8,670.0,662.85,901020,595226922.25,30290
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-13,675.0,675.0,649.55,662.85,663.4,674.1,2723885,1798446404.65,82005
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-12,667.05,702.1,663.4,674.1,675.0,663.35,8242381,5621880570.25,153067
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-09,639.0,666.0,623.0,663.35,663.05,633.5,6126957,3995648417.6,152379
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-08,668.5,672.25,631.3,633.5,635.8,666.55,1599801,1038180199.6,51256
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-07,664.0,674.0,657.0,666.55,665.9,660.05,1702287,1130613752.9,43111
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-06,642.75,665.5,642.55,660.05,661.0,643.8,1623579,1071002363.25,68949
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-05,643.0,651.55,639.05,643.8,642.8,644.7,1198470,773422131.65,47020
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-02,649.9,650.6,641.2,644.7,644.2,643.4,524183,338904620.2,19943
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-02-01,659.1,659.6,640.0,643.4,642.9,659.1,771293,498717863.2,34375
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-31,634.0,660.0,631.0,659.1,659.0,633.55,1513396,983778035.55,46152
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-30,642.0,651.5,631.15,633.55,633.05,642.35,1000723,640440750.0,31570
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-29,638.15,646.0,634.0,642.35,642.5,634.1,995446,638185803.2,25069
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-25,646.45,647.45,630.0,634.1,636.0,646.0,1078328,687223388.65,30014
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-24,644.0,650.8,634.85,646.0,645.55,642.4,1268035,817229233.8,35336
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-23,676.0,677.3,636.8,642.4,645.75,670.15,2413185,1584551586.35,70425
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-20,684.6,688.95,659.05,670.15,670.0,678.9,3267220,2198442525.95,83114
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-19,617.45,691.75,614.8,678.9,675.0,611.6,15007983,9920102741.1,255328
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-18,601.05,633.5,601.05,611.6,612.8,583.05,9846316,6058647218.35,163488
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-17,594.95,600.75,580.15,583.05,583.2,600.25,1677162,989384992.65,46222
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-16,612.0,617.8,594.3,600.25,600.0,612.15,1659307,1001989472.25,38587
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-15,619.0,619.6,604.95,612.15,612.0,616.55,1066980,652238216.6,33537
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-12,620.0,630.8,614.75,616.55,615.0,620.0,1922489,1197927046.55,52228
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-11,606.0,622.55,606.0,620.0,620.0,603.6,1577024,971452126.55,42091
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-10,604.0,607.4,597.2,603.6,603.7,603.25,666820,402234238.25,20586
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-09,604.5,609.4,598.1,603.25,603.0,598.75,1371910,828614847.1,32446
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-08,629.0,629.0,597.0,598.75,600.5,629.3,4125444,2493553409.35,111352
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-05,647.85,649.05,622.0,629.3,630.0,644.4,1833576,1160952866.45,49735
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-04,653.55,656.2,643.0,644.4,644.0,652.45,1802609,1169873533.15,37065
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-03,655.95,656.8,643.5,652.45,653.55,655.65,1162051,757509514.2,40447
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-02,655.0,661.15,645.25,655.65,655.05,651.75,2079464,1361064789.65,53420
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2024-01-01,653.7,656.85,648.35,651.75,651.4,649.6,1541664,1007458919.35,28759
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-29,648.0,661.5,643.05,649.6,649.8,639.65,3941092,2567390759.7,77465
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-28,645.0,650.75,638.1,639.65,639.8,645.75,2551640,1640269154.75,61147
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-27,636.0,649.65,626.25,645.75,644.0,633.1,6230784,3992014687.15,101700
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-26,600.0,635.0,599.4,633.1,634.05,598.55,4809101,2993205965.7,90448
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-22,599.0,602.35,593.2,598.55,597.45,593.2,1586627,949292469.15,32660
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-21,567.05,594.4,558.1,593.2,592.0,573.6,2042297,1191373296.3,49842
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-20,612.65,616.0,570.0,573.6,572.95,608.9,3127602,1855530591.65,75966
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-19,606.4,614.4,603.05,608.9,608.1,602.45,2952696,1800061622.1,73515
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-18,596.4,604.25,590.55,602.45,601.0,591.2,2480824,1484782482.65,55009
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-15,579.55,596.0,576.2,591.2,592.0,573.95,3644800,2147216406.6,60348
Aarti Industries Limited,INE769A01020,1995-02-08,EQ,AARTIIND,2023-12-14,573.9,577.0,567.9,573.95,573.75,570.7,1236892,708139655.7,23094
