StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-28,6280.0,6471.95,6222.8,6360.85,6366.0,6279.35,722060,4591682989.0,63899
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-27,6110.0,6341.9,6086.0,6279.35,6280.0,5929.8,1232034,7740117743.45,102414
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-26,5881.0,5986.6,5875.3,5929.8,5939.0,5967.4,383434,2273282955.5,53298
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-22,5875.0,6034.05,5835.05,5967.4,5950.0,5864.9,514271,3046150080.9,41436
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-21,5760.0,5877.0,5750.0,5864.9,5863.95,5733.7,381358,2226589051.2,42558
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-20,5680.0,5769.85,5560.0,5733.7,5740.0,5628.6,272707,1548980556.4,33806
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-19,5787.5,5787.5,5611.5,5628.6,5640.0,5766.75,245880,1398794362.55,25009
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-18,5645.0,5785.0,5616.55,5766.75,5745.8,5616.55,306134,1748957151.6,32172
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-15,5650.0,5789.8,5585.5,5616.55,5597.9,5625.4,810054,4593468407.55,88521
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-14,5614.9,5658.3,5520.0,5625.4,5645.8,5597.25,354416,1984993855.6,37973
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-13,5749.9,5809.35,5572.7,5597.25,5591.1,5718.0,454668,2573533995.0,57595
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-12,5850.0,5855.0,5690.0,5718.0,5728.8,5841.35,310813,1795197109.85,43753
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-11,5801.05,5933.9,5770.75,5841.35,5847.95,5770.75,693540,4064982107.6,85064
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-07,5697.05,5792.0,5675.0,5770.75,5758.0,5700.7,289128,1664366367.15,31058
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-06,5660.0,5720.0,5588.45,5700.7,5681.1,5680.85,401305,2272181430.5,40734
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-05,5620.0,5695.0,5571.45,5680.85,5690.0,5631.55,340244,1923328404.6,37209
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-04,5490.0,5665.0,5488.85,5631.55,5623.0,5499.55,484602,2716796241.15,50847
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-02,5485.0,5525.0,5480.0,5499.55,5482.0,5489.85,10430,57441304.2,1978
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-03-01,5498.0,5524.6,5455.0,5489.85,5489.95,5444.95,345570,1896975853.15,37265
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-29,5444.95,5485.0,5350.45,5444.95,5474.0,5428.6,527441,2863408833.45,60171
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-28,5440.0,5552.0,5380.25,5428.6,5429.0,5450.5,785448,4293323483.25,82003
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-27,5270.0,5474.75,5245.5,5450.5,5447.0,5296.2,656105,3539164400.3,58494
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-26,5359.05,5432.3,5136.05,5296.2,5288.0,5392.05,1164768,6150888116.05,103830
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-23,5420.0,5518.1,5320.65,5392.05,5383.95,5425.0,1578299,8539728406.0,122413
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-22,5200.0,5450.0,5081.6,5425.0,5439.0,4984.7,4222692,22420638894.0,281297
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-21,4640.0,5134.0,4640.0,4984.7,5003.95,4524.5,4404765,21590340850.9,269540
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-20,4514.75,4547.0,4461.6,4524.5,4528.85,4488.85,169172,763518054.35,21705
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-19,4540.0,4555.85,4449.15,4488.85,4498.0,4524.15,155541,698653478.75,17792
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-16,4510.0,4539.7,4469.45,4524.15,4516.0,4468.6,185797,839451088.65,23024
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-15,4575.0,4587.9,4460.65,4468.6,4472.05,4558.4,286311,1284119058.15,32654
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-14,4441.85,4621.1,4427.85,4558.4,4563.95,4464.85,371445,1692430976.9,45540
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-13,4448.0,4485.35,4375.8,4464.85,4460.0,4428.4,290402,1291409018.7,38975
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-12,4484.9,4552.3,4400.0,4428.4,4440.0,4489.45,149594,669362063.25,17673
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-09,4464.0,4501.45,4412.7,4489.45,4482.0,4450.4,203496,907978889.05,20066
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-08,4610.0,4610.0,4440.1,4450.4,4452.0,4575.1,132187,596254523.4,20030
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-07,4434.55,4629.3,4434.5,4575.1,4565.0,4403.0,281178,1280581921.95,39522
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-06,4378.0,4423.6,4362.05,4403.0,4410.0,4368.2,177927,783135723.25,26918
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-05,4500.0,4538.5,4343.75,4368.2,4358.0,4480.45,290961,1288641726.2,44409
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-02,4546.05,4594.95,4463.0,4480.45,4485.0,4546.05,315504,1420871697.25,41980
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-02-01,4692.0,4698.0,4340.3,4546.05,4520.0,4671.6,825760,3710372199.55,124995
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-01-31,4749.0,4762.75,4631.0,4671.6,4660.0,4729.75,292837,1366938421.6,46162
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-01-30,4825.0,4860.0,4715.95,4729.75,4726.95,4791.55,152802,732015735.9,25194
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-01-29,4751.0,4807.15,4715.4,4791.55,4790.0,4739.3,87854,418591830.9,16058
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-01-25,4768.0,4794.95,4665.0,4739.3,4734.95,4731.25,114581,539654284.4,15367
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-01-24,4764.95,4814.9,4613.8,4731.25,4735.25,4770.55,293735,1388124856.7,38449
ABB India Limited,INE117A01022,1995-02-08,EQ,ABB,2024-01-23,4750.95,4897.0,4735.9,4770.55,4769.9,4750.95,348426,1683134549.6,43736
