StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-28,26858.4,27229.9,26715.0,27120.8,27100.0,26711.05,33995,917970603.9,7976
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-27,26900.0,26916.4,26426.3,26711.05,26850.0,26701.05,17617,470463336.4,5233
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-26,27199.0,27199.0,26550.65,26701.05,26900.0,27067.1,14019,375490668.65,5644
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-22,27810.25,27983.65,26820.05,27067.1,27049.0,27673.25,21967,597609974.9,8871
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-21,27900.0,27997.45,27501.0,27673.25,27755.0,27688.8,9629,266353207.35,4261
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-20,28200.05,28278.75,27603.0,27688.8,27700.0,28291.5,11001,305591922.95,4599
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-19,28800.0,28800.0,28203.4,28291.5,28203.55,28604.15,9557,270966614.9,4118
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-18,28750.0,28750.0,27832.05,28604.15,28627.85,28404.35,19878,564961326.45,11097
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-15,28308.1,28583.5,28071.85,28404.35,28400.0,28308.1,14070,398621211.55,5403
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-14,27666.0,28599.7,27250.0,28308.1,28330.0,27401.95,31673,888231027.85,10650
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-13,27000.0,27527.4,26829.0,27401.95,27400.0,26993.7,12992,353990818.55,5618
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-12,27000.0,27400.0,26929.3,26993.7,26953.1,27229.55,7102,192335691.7,3177
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-11,27699.95,27699.95,26861.45,27229.55,27349.95,27434.95,18245,495185443.6,8194
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-07,27321.5,27768.2,27313.65,27434.95,27487.05,27321.5,4563,125610898.1,2222
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-06,27255.0,27519.95,27010.0,27321.5,27321.0,27370.45,9022,246007546.9,4188
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-05,27749.95,27749.95,27270.05,27370.45,27309.0,27606.0,6108,167516619.8,3233
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-04,28172.05,28317.65,27507.0,27606.0,27540.0,28181.95,14704,408958401.05,8311
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-02,28280.0,28493.15,27830.25,28181.95,28072.0,28216.65,2483,69774892.65,1339
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-03-01,28569.0,28648.85,28166.0,28216.65,28282.0,28434.2,9277,263237755.65,3869
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-29,28610.0,28699.15,28100.0,28434.2,28650.0,28610.0,15096,428361675.9,4360
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-28,28650.75,29041.0,28464.9,28610.0,28500.05,28670.35,15458,444295616.5,5658
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-27,28480.0,28792.0,28480.0,28670.35,28650.75,28458.6,6347,181847088.65,2804
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-26,28600.0,28815.25,27618.1,28458.6,28480.0,28707.8,48847,1382531847.0,26886
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-23,28855.8,28989.15,28557.0,28707.8,28563.05,28855.8,8697,250201083.7,3084
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-22,29131.35,29334.6,28712.2,28855.8,28929.0,29131.35,13290,384077329.95,4934
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-21,29245.0,29348.1,28999.95,29131.35,29042.5,29191.05,7813,227944615.75,3325
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-20,29487.8,29519.0,29070.0,29191.05,29249.0,29526.7,7538,220674415.1,3287
Abbott India Limited,INE358A01014,2010-01-08,EQ,ABBOTINDIA,2024-02-19,29538.6,29629.8,29271.1,29526.7,29505.95,29538.6,12349,363987825.9,7030
