StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-28,206.2,207.0,202.95,205.55,205.5,204.95,4179453,856863212.7,25195
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-27,207.0,208.6,204.2,204.95,204.5,207.0,2467316,509085983.0,26493
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-26,206.5,209.35,204.35,207.0,207.1,205.35,2983020,617454596.9,21484
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-22,206.25,207.75,205.0,205.35,205.35,206.35,1655818,341609992.85,11040
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-21,204.65,207.15,203.1,206.35,206.4,202.15,1925596,395481136.6,13306
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-20,206.9,209.9,200.4,202.15,202.6,206.7,5247070,1071378167.65,32507
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-19,207.85,208.4,205.25,206.7,205.8,208.15,2817616,583150716.95,21857
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-18,207.5,210.4,205.2,208.15,209.3,207.35,3137225,651695755.0,28620
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-15,201.0,212.65,201.0,207.35,207.8,201.0,11425573,2391351302.0,75402
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-14,200.1,204.0,198.75,201.0,202.0,200.35,4196921,847467475.55,32563
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-13,213.8,215.85,198.85,200.35,199.4,213.35,5658098,1162206081.0,41223
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-12,220.4,220.8,212.5,213.35,213.7,220.35,3719891,800388236.15,29239
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-11,226.0,227.35,219.35,220.35,220.0,225.4,3110786,692339528.85,25083
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-07,224.75,229.8,224.25,225.4,225.6,223.7,3860278,875930412.75,23346
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-06,234.2,235.35,222.05,223.7,223.75,229.0,7929342,1804421334.65,55691
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-05,231.5,232.65,228.35,229.0,229.95,230.0,2106828,485331493.4,17924
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-04,232.8,235.8,229.25,230.0,230.3,231.5,4394690,1022963161.1,27705
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-02,231.0,232.1,230.25,231.5,231.35,229.75,354136,81934456.3,2847
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-03-01,226.9,231.5,224.45,229.75,230.0,225.2,5741809,1310492386.95,27424
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-29,230.05,231.85,221.7,225.2,225.0,230.9,7468847,1682668688.6,40060
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-28,229.2,236.0,229.05,230.9,230.0,228.9,11867178,2763136761.25,55365
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-27,225.7,230.6,224.35,228.9,229.2,225.3,3485905,793667267.1,25319
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-26,228.2,231.3,224.6,225.3,225.25,226.2,3448696,782978731.75,31506
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-23,227.95,228.9,225.1,226.2,226.3,227.15,2536384,575034338.45,23095
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-22,227.55,229.8,224.7,227.15,227.0,226.65,4362030,989482332.55,34606
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-21,237.5,240.35,225.25,226.65,226.85,235.2,5898624,1369071121.7,43737
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-20,236.0,238.1,232.25,235.2,237.0,235.45,2900531,680830362.6,25876
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-19,230.95,237.8,230.1,235.45,235.6,230.85,3508971,824989335.0,23885
Aditya Birla Fashion and Retail Limited,INE647O01011,2013-07-17,EQ,ABFRL,2024-02-16,238.5,238.7,229.3,230.85,230.8,238.5,5937348,1390921645.65,47259
