StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-28,1030.0,1041.8,1015.2,1026.7,1024.0,1014.85,3159446,3253001916.75,61536
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-27,1049.5,1057.5,1005.9,1014.85,1016.0,1045.9,3815101,3969079344.25,74742
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-26,1003.0,1064.5,1002.6,1045.9,1046.0,1015.6,4087621,4281335669.05,94341
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-22,1012.05,1022.05,1005.2,1015.6,1014.0,1008.9,2738168,2781724938.65,45414
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-21,1030.9,1030.9,1005.2,1008.9,1009.0,1011.45,642213,651938884.3,19861
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-20,1024.9,1029.0,997.6,1011.45,1007.9,1006.3,3577635,3617377158.95,67641
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-19,1022.85,1039.2,1000.0,1006.3,1004.45,1008.85,3736272,3801543840.65,76803
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-18,1008.0,1030.95,971.5,1008.85,1010.0,1045.85,3008345,3049545360.05,81885
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-15,1048.05,1077.0,1023.85,1045.85,1040.0,1054.55,3987648,4171125638.3,84183
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-14,950.0,1065.9,918.75,1054.55,1049.6,947.95,6083924,6232256050.0,145056
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-13,1039.75,1047.0,915.3,947.95,950.0,1037.25,2854959,2782927651.75,124980
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-12,1065.0,1069.0,1027.05,1037.25,1040.0,1063.75,2895201,3046322222.0,55419
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-11,1077.0,1087.3,1060.0,1063.75,1062.5,1069.6,2901619,3122641635.25,48469
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-07,1074.9,1078.6,1059.0,1069.6,1069.05,1069.5,2691523,2870463250.5,45008
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-06,1071.85,1080.0,1045.5,1069.5,1071.3,1070.3,2717505,2888396531.7,54952
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-05,1067.0,1075.6,1060.0,1070.3,1070.2,1064.35,688430,736374604.3,24299
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-04,1084.0,1085.65,1062.1,1064.35,1064.7,1080.8,661629,708726061.2,24522
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-02,1078.0,1085.95,1074.55,1080.8,1083.8,1072.4,121612,131354013.35,5401
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-03-01,1075.0,1095.0,1064.85,1072.4,1075.7,1064.85,1335964,1442752231.05,38508
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-29,1083.0,1092.65,1060.0,1064.85,1069.0,1076.45,1571955,1686881120.25,53522
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-28,1129.95,1136.8,1068.65,1076.45,1078.45,1122.7,2098024,2308717641.05,71860
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-27,1182.0,1186.7,1117.2,1122.7,1123.0,1176.15,3235084,3707625228.8,94104
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-26,1084.95,1190.6,1081.0,1176.15,1180.05,1081.8,8951837,10343791384.05,225426
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-23,1062.7,1094.75,1055.2,1081.8,1083.9,1058.9,3057010,3278274545.75,49346
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-22,1069.9,1069.9,1052.55,1058.9,1058.0,1064.8,2172437,2301729651.7,35752
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-21,1075.05,1084.0,1055.05,1064.8,1062.0,1069.8,3038030,3258874966.55,51884
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-20,1079.7,1079.7,1061.0,1069.8,1070.0,1074.45,2662527,2848625554.85,41159
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-19,1065.0,1084.95,1061.2,1074.45,1075.0,1061.6,3007240,3224066259.75,50678
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-16,1056.45,1065.0,1045.55,1061.6,1059.7,1052.0,3787369,4004043785.25,60758
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-15,1054.7,1066.95,1042.5,1052.0,1050.0,1036.95,3334357,3506786120.7,59817
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-14,1027.05,1064.95,1025.0,1036.95,1038.0,1044.8,3245478,3408428834.35,69023
Adani Energy Solutions Limited,INE931S01010,2015-07-31,EQ,ADANIENSOL,2024-02-13,1078.7,1078.7,1028.0,1044.8,1045.0,1069.45,3427849,3579861323.85,80889
