StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-28,3134.0,3237.0,3096.75,3197.1,3197.0,3122.1,2327053,7397054019.95,141506
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-27,3115.0,3138.45,3106.25,3122.1,3124.25,3109.95,900231,2811259467.7,66957
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-26,3100.5,3171.95,3089.1,3109.95,3112.0,3107.7,937103,2933389321.75,66405
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-22,3066.55,3128.95,3048.05,3107.7,3103.0,3066.5,951557,2945144032.25,63264
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-21,3089.55,3107.1,3059.6,3066.5,3071.65,3051.45,1175751,3621907779.4,67248
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-20,3075.0,3083.2,3021.1,3051.45,3050.1,3052.7,966481,2944432546.6,64232
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-19,3126.0,3164.8,3041.85,3052.7,3055.9,3111.75,1460452,4518320848.55,92875
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-18,3050.1,3124.0,2976.05,3111.75,3110.0,3132.2,3042515,9290011236.8,159589
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-15,3111.0,3143.4,3061.25,3132.2,3125.0,3087.45,2199094,6835627396.35,120251
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-14,2927.45,3101.2,2880.0,3087.45,3085.0,2906.2,3759100,11403763726.1,246625
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-13,3125.0,3138.05,2850.15,2906.2,2909.8,3122.5,3407040,10052256475.1,237808
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-12,3207.35,3222.7,3111.0,3122.5,3122.9,3207.35,1199487,3785908989.05,86164
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-11,3241.2,3259.0,3200.0,3207.35,3210.0,3226.55,738851,2386151544.55,48887
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-07,3240.0,3262.0,3220.0,3226.55,3229.0,3233.95,856328,2774747690.85,52628
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-06,3323.0,3323.0,3183.15,3233.95,3238.0,3310.2,1935203,6244461431.9,111432
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-05,3325.3,3334.0,3295.05,3310.2,3328.0,3317.15,1190416,3945224169.3,68687
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-04,3335.0,3350.0,3310.05,3317.15,3320.95,3333.25,1061244,3529012588.2,59907
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-02,3332.0,3348.7,3321.5,3333.25,3332.5,3318.75,119511,398343988.75,9160
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-03-01,3309.85,3346.0,3281.8,3318.75,3321.5,3285.4,1161067,3848076358.25,64364
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-29,3220.05,3304.75,3205.35,3285.4,3299.9,3219.0,1352988,4410831106.0,95429
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-28,3309.2,3318.8,3207.5,3219.0,3218.9,3302.3,1358879,4419338030.6,98070
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-27,3339.0,3340.0,3273.0,3302.3,3296.0,3327.75,1125570,3721177336.1,65439
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-26,3272.0,3344.0,3263.0,3327.75,3328.0,3273.3,1695378,5625707089.65,104868
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-23,3263.05,3319.95,3225.1,3273.3,3273.05,3263.05,1975035,6481855202.2,84335
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-22,3239.0,3274.0,3210.5,3263.05,3261.3,3223.2,1138722,3685676235.05,88963
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-21,3238.0,3300.0,3205.0,3223.2,3226.95,3228.6,1657021,5398571886.0,105900
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-20,3267.0,3269.8,3210.15,3228.6,3235.0,3258.8,1467630,4752517820.15,61717
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-19,3240.0,3308.6,3235.8,3258.8,3265.0,3223.6,1779444,5829141012.1,87952
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-16,3214.0,3252.3,3192.65,3223.6,3223.2,3193.8,2193673,7067100536.9,84990
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-15,3219.85,3252.75,3184.05,3193.8,3190.4,3207.2,2035204,6542484814.65,90530
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-14,3184.0,3255.25,3169.85,3207.2,3202.0,3178.45,1741264,5594182379.7,101676
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-13,3180.0,3194.0,3092.05,3178.45,3180.0,3169.75,1225207,3850709760.9,73578
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-12,3229.0,3241.95,3160.0,3169.75,3166.0,3215.2,1083138,3458803688.0,64420
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-09,3184.45,3224.95,3121.2,3215.2,3215.0,3168.6,1572789,5005053690.5,92034
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-08,3245.6,3245.6,3146.1,3168.6,3179.0,3229.85,1679004,5350239514.35,126898
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-07,3220.05,3277.95,3210.0,3229.85,3233.0,3203.75,2095911,6796002063.65,122378
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-06,3183.9,3228.2,3160.0,3203.75,3200.65,3173.45,2078891,6647905451.95,148672
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-05,3170.0,3229.4,3151.45,3173.45,3175.25,3157.45,2191195,6996049793.7,132489
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-02,3184.95,3208.5,3140.0,3157.45,3157.0,3153.5,2708695,8595221638.95,123968
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-02-01,3156.9,3236.95,3083.05,3153.5,3154.85,3142.0,4686595,14822076397.2,211723
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-01-31,3092.75,3151.7,3072.4,3142.0,3138.0,3091.1,2671051,8325510841.4,115716
Adani Enterprises Limited,INE423A01024,1997-06-04,EQ,ADANIENT,2024-01-30,3081.0,3129.9,3020.9,3091.1,3096.0,3064.65,3115506,9628239019.2,152019
