StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-28,1334.0,1358.7,1314.0,1341.85,1342.95,1322.8,4188741,5600301611.75,134708
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-27,1315.0,1343.0,1312.1,1322.8,1324.9,1304.2,4938400,6576043145.7,155518
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-26,1281.6,1314.0,1281.0,1304.2,1305.0,1281.6,3610644,4701745079.85,122616
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-22,1262.45,1289.1,1255.05,1281.6,1276.7,1262.45,3076926,3928436787.05,90748
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-21,1260.0,1268.7,1251.3,1262.45,1263.85,1245.4,3155563,3981839707.25,116819
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-20,1248.0,1252.95,1230.2,1245.4,1243.25,1241.2,2772098,3446520539.65,109583
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-19,1271.05,1272.85,1237.25,1241.2,1241.7,1266.6,2311324,2893121478.1,85705
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-18,1250.0,1270.05,1227.25,1266.6,1265.45,1283.0,4858444,6079467325.85,144797
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-15,1273.8,1288.85,1256.65,1283.0,1283.95,1267.85,4024586,5134302544.3,115530
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-14,1210.0,1276.0,1195.7,1267.85,1268.0,1209.55,7195603,9010757059.45,252058
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-13,1307.0,1308.0,1188.1,1209.55,1217.05,1301.3,8670336,10673887656.45,293958
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-12,1335.0,1346.95,1293.45,1301.3,1298.8,1326.95,3139768,4148358308.3,121158
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-11,1331.0,1342.35,1322.05,1326.95,1326.45,1325.45,2217673,2954720776.9,74486
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-07,1329.8,1335.35,1315.0,1325.45,1329.55,1324.8,1640786,2175402991.2,68678
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-06,1342.7,1344.6,1304.0,1324.8,1325.9,1338.3,2758443,3644908759.05,95619
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-05,1344.05,1354.95,1334.0,1338.3,1341.35,1342.6,1815438,2438198156.85,84855
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-04,1345.25,1356.55,1336.4,1342.6,1342.0,1338.3,2170214,2921437587.95,72124
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-02,1326.9,1346.9,1325.0,1338.3,1336.15,1322.1,386697,517146854.6,14243
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-03-01,1335.0,1349.0,1312.4,1322.1,1324.7,1320.5,3301090,4381461597.8,83641
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-29,1300.0,1329.9,1293.05,1320.5,1328.0,1299.5,2672239,3508923643.3,94344
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-28,1334.5,1334.9,1295.15,1299.5,1296.0,1329.45,2121625,2782926736.15,90788
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-27,1336.85,1339.2,1314.25,1329.45,1332.45,1338.15,2197456,2917417550.15,59525
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-26,1320.0,1343.0,1316.75,1338.15,1335.0,1320.7,2802425,3738239344.7,104817
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-23,1312.05,1332.0,1298.0,1320.7,1320.7,1310.95,2924829,3855526065.6,87260
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-22,1296.0,1317.0,1281.0,1310.95,1310.1,1291.0,2556009,3313744829.45,110801
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-21,1304.8,1315.0,1281.45,1291.0,1290.0,1300.5,2770510,3604863684.45,83664
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-20,1311.0,1312.9,1293.7,1300.5,1302.8,1307.0,1856718,2419825350.6,60202
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-19,1313.4,1327.0,1302.15,1307.0,1311.0,1306.85,2700240,3549092442.65,74031
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-16,1269.8,1311.0,1265.55,1306.85,1310.1,1267.05,5476230,7084591726.7,145190
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-15,1275.0,1277.55,1262.1,1267.05,1266.2,1267.85,3382824,4292037693.9,105127
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-14,1261.95,1281.55,1248.65,1267.85,1268.0,1264.8,3382943,4290628559.15,97164
Adani Ports and Special Economic Zone Limited,INE742F01042,2007-11-27,EQ,ADANIPORTS,2024-02-13,1249.95,1271.0,1226.65,1264.8,1270.95,1249.35,2245009,2808231574.05,73236
