StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-28,520.0,538.85,518.55,533.8,532.0,516.55,3350259,1771529591.25,43968
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-27,529.0,548.1,506.3,516.55,513.5,522.0,9346876,4894474910.45,91998
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-26,520.3,535.7,519.0,522.0,520.35,531.05,1595013,838425891.4,30495
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-22,528.8,538.8,524.25,531.05,528.85,524.25,1331269,705969832.2,25694
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-21,517.8,528.2,517.0,524.25,523.9,514.85,829388,434949089.2,16402
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-20,523.8,523.8,501.55,514.85,512.2,518.2,2022566,1037226277.85,41699
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-19,528.95,533.9,515.4,518.2,517.5,529.4,1032341,538443022.85,25371
Adani Power Limited,INE814H01011,2009-08-20,EQ,ADANIPOWER,2024-03-18,511.0,532.0,510.0,529.4,530.5,530.4,3486054,1823685351.45,47487
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-15,536.1,540.0,520.0,530.4,529.5,537.85,2295233,1212979008.05,44209
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-14,501.9,544.95,501.9,537.85,540.9,528.3,2496183,1315079385.05,51689
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-13,557.65,559.1,528.3,528.3,528.3,556.1,1791061,951760087.85,36494
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-12,564.0,566.0,542.0,556.1,553.1,566.95,1214938,672091324.25,28203
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-11,570.0,572.5,560.0,566.95,564.05,566.85,1158653,658238015.25,27517
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-07,576.6,577.65,565.0,566.85,570.15,576.7,1323851,756213249.9,31090
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-06,575.0,580.0,560.0,576.7,575.0,573.85,1708709,977059531.75,44389
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-05,558.8,580.0,555.3,573.85,576.0,559.9,2123437,1204744328.0,29569
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-04,555.8,563.2,553.0,559.9,559.0,555.8,1297071,725853100.0,23318
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-02,557.5,557.8,553.0,555.8,555.4,554.15,141292,78478199.05,3962
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-03-01,552.4,559.0,550.2,554.15,552.7,549.95,988764,548025535.4,28860
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-02-29,553.35,564.0,539.0,549.95,550.0,549.6,1648782,900763793.4,36270
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-02-28,564.15,566.5,547.7,549.6,549.0,566.7,975616,540414501.55,26699
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-02-27,574.8,574.8,561.05,566.7,565.25,570.45,919411,522255277.8,23417
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-02-26,559.45,575.0,556.0,570.45,573.0,559.05,2002057,1137267005.95,33940
Adani Power Limited,INE814H01011,2009-08-20,BE,ADANIPOWER,2024-02-23,562.0,566.0,555.1,559.05,559.0,562.25,801799,449469668.55,16999
