StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-28,785.35,791.45,774.9,781.0,783.9,780.1,83756,65440032.8,5885
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-27,787.8,795.65,761.55,780.1,783.0,787.8,168728,131959282.15,7773
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-26,798.0,801.0,786.0,787.8,786.0,802.4,85765,67679264.4,6145
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-22,804.3,811.0,796.0,802.4,797.2,804.3,72288,58081718.05,6108
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-21,806.45,811.45,800.0,804.3,804.0,806.4,44857,36113714.4,5446
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-20,806.0,809.95,792.05,806.4,805.0,801.15,42059,33753703.65,4276
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-19,817.3,817.3,798.1,801.15,801.0,814.1,45756,36866405.3,4149
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-18,810.15,816.3,806.15,814.1,813.5,806.15,27784,22582437.5,1866
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-15,798.0,812.95,794.1,806.15,808.45,791.95,61177,49180945.15,3236
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-14,786.95,799.85,781.0,791.95,794.0,786.95,84588,67026944.8,6085
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-13,805.35,808.7,783.05,786.95,794.0,803.4,94010,74459655.45,10183
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-12,818.95,818.95,800.0,803.4,805.95,816.65,92429,74501570.5,5913
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-11,840.7,843.65,797.0,816.65,815.0,836.2,82782,68367457.25,9824
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-07,843.05,844.35,830.05,836.2,840.75,841.0,72703,60777982.25,9317
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-06,852.1,856.8,838.0,841.0,841.65,854.65,57749,48856783.3,9085
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-05,857.85,864.9,853.0,854.65,854.75,855.7,64981,55682794.4,6645
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-04,867.05,871.7,853.1,855.7,858.6,866.1,64018,54866379.6,5487
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-02,868.0,870.0,860.75,866.1,864.1,869.6,6257,5420248.25,627
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-03-01,882.0,882.05,866.0,869.6,870.0,878.0,38723,33724871.2,4173
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-02-29,870.0,886.9,869.95,878.0,882.0,876.75,109429,95893218.35,4343
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-02-28,869.5,892.0,864.0,876.75,873.8,869.5,146561,129095796.9,8357
Aether Industries Limited,INE0BWX01014,2022-06-03,EQ,AETHER,2024-02-27,870.0,874.9,863.05,869.5,868.3,864.35,58401,50818857.25,4724
