StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-28,1058.25,1068.0,1022.75,1041.7,1044.5,1051.3,239669,251000664.15,18224
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-27,1066.0,1076.1,1046.0,1051.3,1054.0,1059.9,456473,484586437.7,33557
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-26,1090.6,1092.5,1053.55,1059.9,1060.0,1090.55,189688,202648943.55,23274
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-22,1074.95,1094.9,1066.3,1090.55,1086.3,1060.6,188125,204211603.3,21391
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-21,1035.1,1068.0,1034.95,1060.6,1061.0,1025.65,134858,142385108.7,16262
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-20,1013.9,1029.6,998.2,1025.65,1025.0,1013.6,176161,178233593.7,13570
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-19,1027.0,1031.6,1009.0,1013.6,1014.0,1027.2,201522,204466342.0,13694
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-18,1022.0,1040.0,1021.55,1027.2,1024.0,1022.7,87203,89830560.2,11173
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-15,1043.65,1046.2,1012.55,1022.7,1022.1,1033.65,281334,288072521.2,23820
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-14,1020.0,1045.0,1004.0,1033.65,1035.0,1022.0,193058,199524052.65,17512
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-13,1049.0,1058.0,1013.0,1022.0,1020.6,1048.1,279518,285865596.2,25380
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-12,1066.6,1071.7,1035.05,1048.1,1049.0,1057.95,245469,257456677.55,24731
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-11,1100.6,1108.25,1052.5,1057.95,1062.0,1095.1,171733,184520966.6,20893
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-07,1084.0,1105.95,1074.0,1095.1,1095.0,1077.6,166485,181563130.45,14452
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-06,1079.05,1088.0,1051.15,1077.6,1074.5,1089.95,219740,234429735.45,27658
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-05,1120.0,1124.0,1080.05,1089.95,1089.0,1117.55,251790,275297245.95,25720
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-04,1125.1,1128.1,1109.0,1117.55,1117.35,1125.1,171957,191750045.75,11918
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-02,1132.95,1132.95,1115.3,1125.1,1123.0,1115.3,14781,16637253.5,1558
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-03-01,1130.0,1133.6,1102.0,1115.3,1116.6,1118.15,183112,203582983.1,15223
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-29,1101.05,1129.85,1089.65,1118.15,1115.05,1104.45,168683,187396720.1,12798
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-28,1125.0,1142.0,1101.0,1104.45,1105.75,1120.25,145666,163077870.8,15607
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-27,1134.0,1139.95,1113.1,1120.25,1123.0,1129.3,133715,150368499.15,11495
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-26,1122.05,1145.0,1122.05,1129.3,1129.0,1136.65,72683,82165962.95,8448
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-23,1140.95,1150.0,1127.3,1136.65,1138.0,1138.35,111395,126885651.45,11857
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-22,1132.05,1141.7,1122.2,1138.35,1134.35,1126.7,66548,75444120.95,8836
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-21,1150.0,1163.55,1110.0,1126.7,1127.0,1145.85,118684,135195122.35,13742
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-20,1166.4,1172.8,1134.6,1145.85,1145.0,1160.05,81169,93494169.1,10083
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-19,1171.95,1187.35,1150.0,1160.05,1165.0,1161.9,106795,125217860.85,11474
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-16,1187.0,1198.0,1150.0,1161.9,1162.5,1183.2,202819,238347454.2,22575
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-15,1141.2,1190.0,1137.55,1183.2,1182.8,1137.9,164538,191718739.85,16187
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-14,1127.8,1140.75,1118.05,1137.9,1139.5,1136.0,191204,215879894.9,15832
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-13,1118.95,1139.9,1085.0,1136.0,1135.0,1115.95,149988,166966557.0,16392
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-12,1128.9,1144.9,1102.5,1115.95,1110.0,1114.25,200241,225082940.25,24049
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-09,1157.0,1165.55,1108.0,1114.25,1123.95,1156.45,251374,283339474.0,22566
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-08,1185.2,1194.45,1150.0,1156.45,1158.25,1183.5,177730,208718494.15,17425
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-07,1190.0,1194.9,1181.65,1183.5,1186.7,1184.25,147771,175405971.35,17286
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-06,1200.4,1236.95,1178.0,1184.25,1187.0,1195.0,260516,309992234.75,31450
Affle (India) Limited,INE00WC01027,2019-08-08,EQ,AFFLE,2024-02-05,1267.0,1270.0,1185.0,1195.0,1198.0,1230.6,624456,756878778.7,41336
