StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-28,2179.35,2247.95,2173.6,2230.85,2230.0,2193.5,149374,331204959.2,10503
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-27,2223.05,2317.65,2170.1,2193.5,2174.95,2223.05,259332,573576580.65,23642
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-26,2142.5,2230.0,2105.0,2223.05,2226.0,2152.3,107950,236444318.15,20456
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-22,2118.0,2164.0,2106.6,2152.3,2140.0,2125.9,153571,327157494.45,8894
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-21,2092.5,2147.95,2080.0,2125.9,2118.05,2082.1,322663,687303218.25,8855
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-20,2091.5,2105.8,2071.3,2082.1,2081.0,2109.35,23023,48043531.6,5460
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-19,2135.1,2135.1,2081.0,2109.35,2091.25,2124.45,24898,52387358.55,7594
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-18,2132.8,2132.8,2104.25,2124.45,2123.0,2122.2,62074,131635320.15,7079
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-15,2124.6,2125.0,2092.0,2122.2,2106.5,2124.3,45417,96037744.8,9280
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-14,2110.7,2128.0,2075.0,2124.3,2108.0,2110.7,84254,178491495.25,10171
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-13,2096.9,2175.0,1998.35,2110.7,2132.5,2108.15,122917,252668271.85,18928
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-12,2109.15,2189.0,2080.0,2108.15,2093.0,2102.05,46994,98700067.15,7957
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-11,2094.8,2120.0,2069.3,2102.05,2120.0,2091.1,120502,252463482.6,7801
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-07,2081.05,2105.0,2071.1,2091.1,2100.0,2083.25,128858,268480304.05,6698
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-06,2101.05,2135.9,2061.0,2083.25,2080.05,2104.4,213764,448794431.45,22188
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-05,2084.0,2126.9,2074.0,2104.4,2107.0,2073.2,65159,136874745.4,10674
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-04,2122.0,2149.85,2060.1,2073.2,2083.85,2139.25,342286,717974036.15,13099
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-02,2140.0,2179.0,2120.0,2139.25,2140.0,2126.85,3713,7967213.05,519
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-03-01,2219.6,2220.3,2110.1,2126.85,2130.0,2208.0,156013,332291230.25,18867
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-29,2064.35,2245.0,2015.05,2208.0,2167.55,2085.15,259006,542169513.9,41885
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-28,2126.0,2129.55,2070.85,2085.15,2082.0,2122.55,44747,93938826.3,12714
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-27,2139.9,2151.15,2116.0,2122.55,2130.0,2141.9,25692,54733029.45,7857
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-26,2136.95,2152.8,2100.0,2141.9,2117.0,2125.85,77814,165877095.25,9437
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-23,2130.6,2135.0,2112.35,2125.85,2120.15,2120.0,60608,128890190.9,9909
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-22,2119.4,2135.0,2105.35,2120.0,2115.0,2113.1,31985,67775159.9,6945
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-21,2128.0,2156.7,2099.65,2113.1,2125.0,2115.4,71112,151077680.25,16075
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-20,2145.95,2150.2,2103.8,2115.4,2115.0,2139.5,71445,151533532.6,15161
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-19,2178.0,2178.0,2124.0,2139.5,2136.1,2152.45,125717,268306292.3,9803
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-16,2164.5,2199.0,2138.35,2152.45,2150.0,2153.25,134142,292083474.4,17426
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-15,2126.0,2158.85,2120.0,2153.25,2144.05,2114.9,100888,216738618.95,11562
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-14,2156.0,2158.95,2110.05,2114.9,2122.95,2156.4,67187,142670242.6,9282
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-13,2181.05,2200.0,2137.0,2156.4,2152.0,2171.3,72932,157115852.4,13902
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-12,2178.5,2180.9,2111.55,2171.3,2175.0,2166.05,96464,207496067.5,15644
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-09,2186.0,2193.1,2135.1,2166.05,2151.0,2202.85,165093,355744958.8,22137
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-08,2244.9,2247.3,2185.35,2202.85,2200.0,2257.45,212438,472089962.0,13378
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-07,2267.15,2319.75,2222.45,2257.45,2262.0,2267.15,222118,501063255.5,34157
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-06,2178.1,2299.45,2174.75,2267.15,2262.1,2165.35,226176,510056498.3,30582
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-05,2179.25,2184.25,2146.05,2165.35,2159.35,2168.4,129144,279094290.3,11777
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-02,2200.0,2212.55,2155.1,2168.4,2165.0,2181.25,72762,158014941.75,12153
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-02-01,2300.0,2300.0,2120.6,2181.25,2185.0,2174.25,374661,822108103.7,48216
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-31,2122.0,2199.5,2116.7,2174.25,2179.0,2111.45,74409,161498441.8,14611
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-30,2181.65,2196.95,2100.0,2111.45,2101.65,2177.4,68005,145831012.65,13477
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-29,2185.05,2209.95,2169.75,2177.4,2180.0,2185.05,48685,106498778.45,7834
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-25,2207.1,2243.0,2161.5,2185.05,2180.0,2195.5,54039,119293580.7,10466
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-24,2230.0,2234.85,2186.0,2195.5,2196.9,2196.9,46861,103093477.95,9276
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-23,2215.7,2215.7,2161.5,2196.9,2211.75,2204.1,42312,92600175.2,9838
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-20,2201.0,2225.95,2200.0,2204.1,2206.0,2201.0,7485,16525205.0,1586
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-19,2227.4,2233.75,2177.05,2201.0,2219.95,2214.1,44227,97296940.0,11282
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-18,2250.0,2275.15,2194.0,2214.1,2209.95,2252.85,44502,98658383.15,10955
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-17,2297.0,2297.0,2213.0,2252.85,2279.1,2301.75,84023,188644189.9,16292
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-16,2263.95,2308.95,2240.0,2301.75,2300.0,2252.1,98412,225081329.0,17102
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-15,2190.5,2269.45,2184.45,2252.1,2254.0,2177.6,85615,190597041.85,13309
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-12,2235.0,2256.85,2166.0,2177.6,2190.0,2220.7,101171,221151723.75,19753
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-11,2115.05,2245.9,2103.05,2220.7,2244.5,2112.65,131861,286464953.7,18005
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-10,2149.8,2189.45,2105.0,2112.65,2110.0,2159.1,65988,140827481.95,11121
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-09,2173.6,2237.15,2137.8,2159.1,2139.0,2173.5,96316,209738978.95,13689
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-08,2245.0,2258.7,2160.1,2173.5,2180.05,2235.1,50719,111794282.1,9959
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-05,2296.9,2296.9,2193.8,2235.1,2240.0,2289.5,116838,261866174.9,19949
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-04,2215.0,2353.95,2215.0,2289.5,2298.9,2232.85,191780,441091608.35,24788
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-03,2176.05,2244.45,2170.05,2232.85,2220.25,2189.75,121669,270898974.85,20254
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-02,2138.05,2198.0,2128.15,2189.75,2190.0,2159.65,127933,276766598.4,16340
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2024-01-01,2083.0,2170.2,2053.65,2159.65,2136.0,2083.65,166867,355699990.3,18352
Ajanta Pharma Limited,INE031B01049,2000-05-29,EQ,AJANTPHARM,2023-12-29,2002.85,2100.0,1987.7,2083.65,2077.0,1994.25,161901,331812190.85,21250
