StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-28,4935.0,5009.95,4820.05,4942.0,4949.8,5004.2,427458,2104202610.2,51180
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-27,5049.35,5059.1,4962.05,5004.2,5004.0,5002.15,89989,451824677.85,21539
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-26,4650.0,5022.5,4650.0,5002.15,5002.25,4789.75,199779,983866783.3,36119
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-22,4829.1,4829.1,4770.05,4789.75,4785.0,4795.95,138264,662504286.35,18456
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-21,4800.0,4835.0,4744.85,4795.95,4787.0,4784.15,275225,1320608290.5,23499
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-20,4897.4,4903.1,4767.6,4784.15,4787.0,4871.8,183011,879338913.65,26050
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-19,5000.0,5000.3,4862.85,4871.8,4878.85,4975.65,145345,711954365.45,19688
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-18,5050.0,5068.8,4910.0,4975.65,4985.0,5045.2,81473,404262760.35,13176
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-15,4990.0,5095.65,4857.05,5045.2,5014.0,4985.35,342923,1708490715.15,33349
Alkem Laboratories Limited,INE540L01014,2015-12-23,EQ,ALKEM,2024-03-14,4915.0,5017.0,4881.1,4985.35,4995.0,4945.65,70479,350660174.3,12978
