StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-28,73.0,75.9,70.8,71.6,72.0,72.85,6694888,495062029.85,21492
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-27,69.7,73.4,69.65,72.85,72.95,69.7,6956748,499878209.4,23631
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-26,71.85,71.85,69.5,69.7,69.65,72.55,6289593,441532561.5,23124
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-22,64.6,73.5,64.6,72.55,71.4,64.15,44644445,3173822412.8,90808
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-21,64.5,65.5,63.65,64.15,64.85,63.35,3115554,201445324.85,11150
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-20,65.9,66.4,63.05,63.35,63.45,65.2,3085734,198053041.65,16453
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-19,67.2,67.55,64.8,65.2,65.95,67.2,2996577,198087020.35,15914
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-18,68.4,68.9,66.1,67.2,67.05,67.5,4681396,316628715.35,20644
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-15,69.85,71.7,66.85,67.5,67.5,69.35,3779347,259570544.85,18512
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-14,69.1,70.65,67.0,69.35,69.0,69.1,5048017,349846403.9,15813
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-13,76.0,76.0,68.5,69.1,69.45,75.85,4374060,311779270.3,26715
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-12,77.65,78.8,74.6,75.85,75.85,77.4,2821258,215133135.1,15350
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-11,82.3,82.8,76.95,77.4,77.2,82.2,2796482,220659326.1,15975
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-07,82.45,83.6,81.3,82.2,82.2,81.7,1695948,139288183.0,8903
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-06,83.9,84.5,80.55,81.7,81.9,82.55,4169214,342593714.45,16727
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-05,88.0,88.4,82.2,82.55,82.95,87.85,3738388,316126867.0,19635
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-04,88.0,91.8,85.9,87.85,88.0,87.8,10003561,894506319.05,35913
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-02,85.65,88.75,85.35,87.8,87.8,85.35,2228483,195776832.2,10476
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-03-01,85.25,86.85,84.0,85.35,85.7,85.25,4224491,360585895.35,16191
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-02-29,82.7,87.85,81.55,85.25,84.5,80.2,35039431,3014174959.55,93286
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-02-28,83.2,84.3,79.5,80.2,80.1,82.85,2243896,184020225.05,13755
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-02-27,84.0,84.45,82.5,82.85,83.2,84.45,1561680,130008628.75,9723
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-02-26,83.9,85.85,83.05,84.45,84.4,84.2,3209422,271090392.1,16159
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-02-23,82.0,87.4,81.65,84.2,84.2,81.55,11169335,955091210.45,44485
Allcargo Logistics Limited,INE418H01029,2006-06-23,EQ,ALLCARGO,2024-02-22,83.25,83.95,81.0,81.55,81.4,83.25,2414982,198332269.2,13219
