StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-28,3621.0,3690.0,3601.05,3657.7,3653.2,3638.45,122986,449838729.2,15602
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-27,3650.0,3686.95,3581.0,3638.45,3642.0,3622.8,236738,860696875.05,24498
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-26,3560.0,3650.0,3460.3,3622.8,3625.0,3552.9,309319,1099167137.4,32098
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-22,3445.05,3608.9,3437.95,3552.9,3555.0,3406.35,894897,3171727391.8,73534
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-21,3270.0,3430.0,3235.65,3406.35,3385.0,3222.7,404763,1350735448.9,48837
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-20,3178.0,3259.0,2992.5,3222.7,3225.0,3154.9,826704,2575448695.3,89209
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-19,3346.85,3346.85,3129.95,3154.9,3149.95,3347.85,328937,1054910302.75,40419
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-18,3420.0,3499.95,3322.0,3347.85,3345.0,3332.65,394496,1337934466.95,46360
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-15,3479.95,3546.8,3301.0,3332.65,3316.0,3494.5,148868,504789103.7,23143
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-14,3549.0,3606.15,3462.45,3494.5,3503.0,3554.75,94444,333097154.1,16635
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-13,3654.95,3654.95,3382.95,3554.75,3520.0,3628.15,168859,592228845.85,27262
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-12,3625.0,3694.95,3556.25,3628.15,3595.0,3625.55,106036,383478547.9,16983
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-11,3649.55,3735.9,3586.0,3625.55,3615.0,3649.55,229813,837494052.5,13560
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-07,3655.95,3700.0,3623.5,3649.55,3641.0,3655.8,42973,157507526.3,7845
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-06,3720.0,3730.85,3616.0,3655.8,3670.0,3701.05,84768,310571639.45,13584
Amber Enterprises India Limited,INE371P01015,2018-01-30,EQ,AMBER,2024-03-05,3740.0,3785.0,3688.05,3701.05,3728.0,3719.5,96452,359432886.95,13553
