StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-28,3631.0,3720.0,3610.05,3694.35,3685.25,3594.0,35485,130895546.9,9045
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-27,3599.95,3662.0,3440.0,3594.0,3631.0,3583.05,87464,311848817.15,14676
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-26,3664.9,3665.7,3562.0,3583.05,3575.0,3635.6,19475,70009017.6,3757
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-22,3660.0,3669.25,3502.5,3635.6,3659.0,3631.05,45488,164358295.55,9406
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-21,3617.0,3711.85,3558.75,3631.05,3626.75,3602.85,39026,141607688.05,8284
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-20,3643.3,3672.5,3575.0,3602.85,3606.0,3643.3,25536,91924384.45,4900
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-19,3613.95,3684.95,3597.0,3643.3,3636.7,3613.9,134913,488088744.35,11021
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-18,3577.1,3744.7,3577.1,3613.9,3660.0,3576.25,47406,173085297.95,9966
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-15,3709.0,3759.0,3490.3,3576.25,3701.0,3772.1,713606,2559308660.95,29981
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-14,3736.85,3875.9,3700.0,3772.1,3729.0,3822.85,82654,313764729.25,17899
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-13,3884.5,3910.0,3650.0,3822.85,3802.6,3922.15,170719,647539550.35,31755
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-12,3922.95,4003.05,3880.1,3922.15,3920.0,3922.95,84873,334165032.35,15849
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-11,3984.2,3984.2,3828.6,3922.95,3893.0,3948.5,90233,351607357.75,15986
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-07,3895.9,4004.95,3865.6,3948.5,3953.0,3868.05,80178,316106016.75,12381
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-06,3970.7,3983.0,3825.0,3868.05,3875.0,3952.8,54117,209494077.65,14502
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-05,3925.55,3964.95,3815.6,3952.8,3964.95,3950.65,118886,460050492.35,11119
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-04,3944.9,4050.0,3860.0,3950.65,3935.6,3876.0,61562,240921223.8,13096
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-02,3739.95,3895.35,3731.0,3876.0,3894.0,3709.9,14817,56799850.2,2153
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-03-01,3699.0,3731.0,3682.0,3709.9,3686.45,3656.8,43394,160952067.35,7337
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-29,3679.95,3700.0,3605.0,3656.8,3644.0,3666.05,111422,407176442.55,17696
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-28,3690.0,3726.4,3632.85,3666.05,3660.0,3677.9,29212,107306099.1,8458
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-27,3700.0,3706.75,3655.3,3677.9,3665.0,3689.35,25292,93251173.1,7270
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-26,3719.05,3739.95,3660.0,3689.35,3671.0,3689.5,32284,119193080.85,6736
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-23,3676.95,3715.0,3652.0,3689.5,3682.0,3660.95,32570,119693577.45,7495
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-22,3698.0,3698.0,3636.15,3660.95,3652.0,3652.35,28622,104842996.45,8785
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-21,3688.0,3715.0,3632.2,3652.35,3653.0,3687.4,118570,433350007.15,9025
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-20,3745.0,3745.0,3651.55,3687.4,3652.0,3685.5,29031,107265713.6,9738
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-19,3709.0,3740.0,3647.05,3685.5,3717.95,3646.15,52745,194344105.25,12762
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-16,3606.85,3659.9,3536.1,3646.15,3601.0,3578.15,69658,252166660.0,15904
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-15,3500.0,3598.95,3491.15,3578.15,3571.1,3456.95,53571,191127831.65,15829
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-14,3417.0,3474.3,3374.9,3456.95,3455.55,3367.5,33663,115862437.85,10366
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-13,3268.5,3400.0,3250.0,3367.5,3395.0,3268.5,48440,159725097.75,13248
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-12,3416.3,3416.3,3242.4,3268.5,3399.55,3416.3,181387,592599589.8,11724
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-09,3417.0,3417.0,3304.0,3416.3,3417.0,3398.5,92576,309234122.25,7174
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-08,3500.0,3524.95,3382.25,3398.5,3417.0,3452.6,51783,177501440.6,15438
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-07,3400.05,3499.7,3400.05,3452.6,3454.9,3397.95,43606,150747314.45,11996
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-06,3520.0,3548.0,3317.0,3397.95,3400.0,3469.9,77446,266458272.95,18157
Anand Rathi Wealth Limited,INE463V01026,2021-12-14,EQ,ANANDRATHI,2024-02-05,3313.0,3496.0,3190.1,3469.9,3482.9,3285.7,90330,305622822.75,19920
