StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-28,468.0,470.65,462.7,466.45,467.95,467.7,1161982,541003217.8,26883
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-27,472.0,476.45,466.3,467.7,467.45,471.45,1248009,587488887.1,41131
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-26,469.5,474.25,465.1,471.45,471.0,468.35,1494231,703731671.0,35844
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-22,463.0,471.35,457.2,468.35,468.0,461.0,1670126,778979529.9,35864
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-21,456.6,462.75,453.6,461.0,461.7,452.05,1351780,621223376.1,30753
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-20,459.7,459.7,444.0,452.05,452.5,454.95,1714931,772412574.0,44813
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-19,458.0,458.0,441.65,454.95,455.4,458.1,2469179,1115559851.95,50513
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-18,475.0,475.9,457.2,458.1,459.6,472.95,5046215,2336503729.65,65831
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-15,501.1,503.35,470.7,472.95,471.9,502.55,2923532,1396783185.95,69179
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-14,493.35,505.55,481.75,502.55,502.9,492.1,2421237,1203504629.3,45963
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-13,510.45,514.55,489.0,492.1,493.3,507.1,2850815,1415427978.75,65193
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-12,508.0,512.4,500.7,507.1,507.0,510.65,2396316,1213608731.9,41576
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-11,519.8,519.8,499.35,510.65,511.2,516.7,3071219,1561543678.05,48350
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-07,536.5,536.5,515.55,516.7,518.3,535.3,2393023,1254728706.05,63746
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-06,542.0,542.95,524.85,535.3,536.0,542.0,1088131,578352732.4,24117
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-05,536.45,546.0,534.05,542.0,541.5,535.1,2474793,1341522397.65,43575
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-04,530.55,537.85,521.7,535.1,535.5,531.2,1620165,860180514.85,31079
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-02,532.0,533.4,528.65,531.2,531.0,529.8,118708,63030826.2,3139
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-03-01,519.45,532.6,519.45,529.8,529.1,518.5,1375573,725254884.5,24899
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-29,509.7,521.0,505.6,518.5,520.2,507.5,1504165,773380169.75,30564
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-28,518.4,522.1,505.65,507.5,512.0,518.05,1012079,519047663.8,23107
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-27,526.25,528.35,515.55,518.05,518.25,526.25,873528,455957336.05,21912
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-26,524.5,530.05,519.65,526.25,525.0,523.75,1059568,556657561.35,23485
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-23,524.0,528.05,520.75,523.75,522.2,522.85,736032,386255280.2,22746
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-22,519.5,524.55,513.1,522.85,523.0,516.25,716238,371876648.2,22902
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-21,521.0,525.0,514.0,516.25,516.9,518.2,846319,440424404.8,22562
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-20,531.0,532.8,516.05,518.2,520.0,531.8,1786636,930663263.1,45481
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-19,530.0,537.2,527.05,531.8,535.0,528.65,1638779,872403757.35,42520
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-16,524.45,532.45,522.0,528.65,528.0,520.55,1555307,821592521.5,42161
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-15,522.6,525.0,517.05,520.55,520.65,517.95,1429181,744061205.0,42299
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-14,508.0,520.0,502.85,517.95,518.5,510.8,1572177,805070498.6,42329
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-13,515.95,518.2,504.05,510.8,511.1,512.65,1283153,656116984.65,33932
Apollo Tyres Limited,INE438A01022,1995-05-31,EQ,APOLLOTYRE,2024-02-12,518.0,520.95,508.25,512.65,513.85,509.9,2572741,1322992577.25,44478
