StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-28,308.9,311.5,307.1,309.15,309.5,309.0,165275,51190911.55,11670
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-27,310.1,313.45,307.5,309.0,309.6,311.05,193227,59846260.05,15511
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-26,315.0,325.1,307.2,311.05,308.95,316.85,391861,122813292.75,32050
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-22,313.0,318.65,312.0,316.85,313.25,313.6,221353,69840531.55,22632
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-21,310.9,317.0,310.0,313.6,315.0,308.9,722922,224813690.15,15783
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-20,311.0,311.35,304.0,308.9,310.0,311.0,211940,65106440.2,15279
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-19,315.0,315.35,308.5,311.0,310.5,317.85,103532,32289771.65,11677
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-18,313.9,319.3,311.3,317.85,317.35,313.9,87062,27501858.2,7057
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-15,315.7,319.65,308.0,313.9,313.5,318.0,196585,61534136.35,10786
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-14,307.05,324.05,304.0,318.0,317.5,310.55,212097,66992567.9,15098
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-13,333.2,336.55,306.05,310.55,309.55,333.2,375549,120301732.0,27202
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-12,338.7,342.5,332.15,333.2,334.0,340.45,366076,122489271.2,21888
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-11,343.9,352.0,337.6,340.45,340.9,344.55,914267,318890172.35,26060
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-07,334.05,345.95,334.05,344.55,345.0,333.25,1747244,591996167.25,19560
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-06,345.5,346.95,330.05,333.25,334.0,347.15,414165,139251373.6,23265
Aptus Value Housing Finance India Limited,INE852O01025,2021-08-24,EQ,APTUS,2024-03-05,341.7,350.0,340.65,347.15,349.15,341.5,394767,136586432.1,9516
