StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-28,774.0,785.0,756.0,760.4,764.45,770.3,687394,526406258.25,32784
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-27,775.75,786.75,767.2,770.3,767.8,774.2,328784,255592879.4,28262
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-26,779.0,784.5,764.0,774.2,781.9,778.0,986637,763603422.5,53604
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-22,756.8,783.35,756.15,778.0,777.55,756.15,463791,359143268.3,23241
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-21,758.0,769.8,751.25,756.15,757.4,748.35,1033222,782815025.5,39299
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-20,770.55,779.9,737.7,748.35,749.0,770.55,616995,463623095.65,42266
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-19,793.9,793.9,764.45,770.55,772.35,788.65,558777,435457352.65,47996
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-18,795.0,806.9,785.0,788.65,788.15,792.3,519444,410855620.4,40348
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-15,800.0,810.35,780.85,792.3,790.5,798.9,796537,631881769.7,53255
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-14,783.15,814.1,772.25,798.9,798.0,783.15,787643,630105512.1,38146
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-13,841.1,850.55,764.0,783.15,783.85,841.1,1498948,1192420837.8,107800
Amara Raja Energy & Mobility Limited,INE885A01032,2003-09-05,EQ,ARE&M,2024-03-12,881.95,889.8,838.0,841.1,840.0,881.7,704960,599457187.95,39702
