StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-28,2835.05,2868.0,2819.0,2846.75,2856.65,2830.5,1864623,5306465925.6,121437
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-27,2817.95,2842.85,2817.7,2830.5,2830.0,2814.65,1156231,3273815626.6,78114
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-26,2820.0,2844.15,2810.0,2814.65,2817.5,2841.5,1372390,3872040833.45,80817
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-22,2821.15,2855.15,2808.0,2841.5,2844.8,2821.15,1652689,4677025707.35,148454
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-21,2845.0,2845.4,2806.0,2821.15,2818.8,2824.9,1167680,3301616043.45,81700
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-20,2815.1,2837.05,2797.55,2824.9,2835.0,2815.1,818910,2306641646.85,80385
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-19,2840.0,2840.0,2801.0,2815.1,2813.55,2846.5,1199135,3373029859.7,87075
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-18,2866.0,2866.0,2817.25,2846.5,2845.0,2867.55,940424,2669223600.4,81997
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-15,2895.0,2896.95,2850.0,2867.55,2859.3,2892.25,1356226,3896900843.55,102968
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-14,2860.0,2898.05,2841.0,2892.25,2898.0,2860.15,1381741,3985587935.2,108233
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-13,2878.6,2887.25,2835.0,2860.15,2853.0,2876.15,955841,2731509386.65,95622
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-12,2880.0,2899.9,2865.45,2876.15,2878.0,2876.85,663186,1911909308.4,66823
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-11,2895.55,2896.55,2853.1,2876.85,2880.0,2870.55,866546,2489819913.95,73604
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-07,2825.0,2894.0,2825.0,2870.55,2869.9,2827.3,1564364,4489207109.35,117954
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-06,2827.95,2839.0,2777.75,2827.3,2834.0,2820.4,1723066,4845072755.85,88947
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-05,2834.0,2834.85,2805.0,2820.4,2819.0,2831.75,736381,2078267723.4,80666
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-04,2860.0,2860.95,2828.0,2831.75,2829.9,2849.8,971299,2754763776.7,85927
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-02,2840.0,2862.1,2836.05,2849.8,2849.2,2831.75,89988,256497665.95,8918
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-03-01,2832.9,2845.95,2815.05,2831.75,2834.0,2821.9,978174,2769700529.9,108138
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-29,2785.0,2838.0,2776.75,2821.9,2834.7,2794.35,2284424,6420187047.8,166939
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-28,2850.15,2859.4,2785.5,2794.35,2789.5,2859.55,2472196,6940885579.35,212934
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-27,2855.0,2870.0,2850.1,2859.55,2859.6,2868.45,1296180,3706784500.6,122760
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-26,2920.0,2930.0,2847.8,2868.45,2868.0,2985.95,3524491,10126002330.9,231648
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-23,2999.0,3005.0,2966.2,2985.95,2982.85,3017.4,1650523,4922109873.85,96242
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-22,2983.0,3027.2,2932.1,3017.4,3007.0,3001.8,2615821,7800229559.05,185909
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-21,3012.05,3026.75,2983.5,3001.8,2990.0,3011.65,927130,2791576252.0,93289
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-20,2998.1,3017.1,2972.1,3011.65,3014.0,2998.1,729371,2188067985.05,76225
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-19,3007.9,3018.7,2987.5,2998.1,2998.0,3007.9,560700,1683452581.5,60876
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-16,3035.0,3035.0,3000.0,3007.9,3007.0,3016.55,1179473,3562391587.1,89563
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-15,2980.0,3024.5,2967.45,3016.55,3017.85,2976.4,1068730,3203975021.3,96818
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-14,2969.9,2980.8,2936.05,2976.4,2974.0,2971.6,750339,2216062148.85,79621
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-13,2964.95,2981.25,2945.7,2971.6,2972.05,2953.8,717118,2128069980.5,60920
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-12,2951.65,2964.95,2920.05,2953.8,2959.0,2951.65,614469,1808984058.55,58111
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-09,2930.0,2959.0,2910.55,2951.65,2955.95,2929.6,1144765,3364027574.45,104927
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-08,2999.75,2999.75,2919.8,2929.6,2932.0,2981.15,1633654,4807756583.6,138167
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-07,2957.0,3002.95,2936.05,2981.15,2985.0,2930.95,1134012,3364843397.4,94761
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-06,2931.0,2947.0,2902.65,2930.95,2946.0,2917.35,1471312,4303648767.45,105344
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-05,2950.0,2965.0,2912.0,2917.35,2915.75,2936.3,923435,2714053455.5,98327
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-02,2950.0,2962.35,2924.05,2936.3,2936.35,2929.35,1881911,5539425205.4,171522
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-02-01,2961.0,2972.85,2919.95,2929.35,2926.1,2957.85,3006472,8818024560.35,141696
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-31,2966.0,2971.9,2948.05,2957.85,2964.0,2954.1,1771244,5235584031.15,120914
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-30,2990.0,3005.0,2951.05,2954.1,2959.0,2976.05,1273188,3786074346.25,69876
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-29,2940.05,2988.45,2940.05,2976.05,2978.0,2949.2,1862723,5535215219.5,106094
Asian Paints Limited,INE021A01026,1995-05-31,BL,ASIANPAINT,2024-01-25,2999.45,2999.45,2999.45,2999.45,2999.45,3055.4,66453,199322450.85,1
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-25,3010.05,3016.0,2942.3,2949.2,2949.1,2999.45,2001961,5928987578.85,165587
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-24,3055.0,3055.0,2976.1,2999.45,3001.95,3054.7,2665932,7995380686.9,191460
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-23,3087.55,3109.0,3021.55,3054.7,3073.95,3138.8,2365225,7240683404.7,177182
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-20,3179.9,3189.2,3130.35,3138.8,3142.85,3165.85,275937,870982603.55,30633
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-19,3177.8,3201.55,3148.6,3165.85,3166.0,3163.85,936201,2968757419.35,107564
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-18,3257.95,3257.95,3048.6,3163.85,3173.0,3242.3,1979174,6229311861.1,188313
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-17,3294.1,3304.35,3193.05,3242.3,3249.7,3296.9,2239241,7308999438.65,146143
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-16,3274.95,3320.0,3273.9,3296.9,3302.75,3273.9,748215,2469416279.5,90527
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-15,3282.2,3287.2,3258.6,3273.9,3280.0,3277.8,728116,2380131693.25,71432
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-12,3294.95,3294.95,3244.0,3277.8,3287.25,3288.2,673004,2197818060.5,87373
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-11,3286.85,3309.2,3270.7,3288.2,3285.0,3286.85,537469,1765643934.3,74706
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-10,3292.0,3293.0,3258.2,3286.85,3285.0,3267.5,691087,2264157869.2,59565
Asian Paints Limited,INE021A01026,1995-05-31,EQ,ASIANPAINT,2024-01-09,3310.0,3315.0,3262.25,3267.5,3272.25,3298.4,670704,2205522435.2,58748
