StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-28,5329.8,5380.0,5255.0,5328.45,5263.0,5314.75,7994,42522965.4,2926
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-27,5159.0,5380.0,5082.65,5314.75,5281.3,5082.7,43002,226404836.85,11671
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-26,5175.25,5194.7,5025.0,5082.7,5030.0,5130.4,5287,27033827.85,1378
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-22,5039.8,5161.55,5018.05,5130.4,5100.0,5031.15,6751,34323482.15,1874
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-21,5049.75,5145.0,5025.0,5031.15,5050.0,5033.75,4092,20685689.45,1124
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-20,5087.9,5129.95,5008.25,5033.75,5037.0,5071.6,10067,50848555.95,2483
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-19,5097.25,5133.0,5022.2,5071.6,5082.25,5097.25,4297,21783280.6,1907
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-18,5059.9,5120.0,5020.0,5097.25,5097.05,5059.85,3597,18221737.7,1272
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-15,5001.95,5194.7,4928.05,5059.85,5053.8,4928.05,27399,139848241.9,9184
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-14,5099.8,5149.95,4785.0,4928.05,5079.9,5093.45,13676,68203400.0,4011
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-13,5170.25,5174.7,4993.95,5093.45,5127.0,5170.25,39822,201708568.15,4942
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-12,5374.9,5396.8,5135.05,5170.25,5174.7,5374.9,30248,158919921.0,3779
AstraZeneca Pharma India Limited,INE203A01020,2001-05-04,EQ,ASTRAZEN,2024-03-11,5449.0,5449.0,5310.0,5374.9,5395.0,5423.15,7046,37833105.95,1626
