StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-28,932.0,939.1,912.75,926.55,923.85,919.8,3467464,3220852038.05,73195
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-27,955.0,959.65,910.0,919.8,919.6,949.1,3942984,3723136140.25,81091
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-26,938.85,968.9,937.1,949.1,946.25,938.85,2996728,2869835697.75,64217
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-22,941.95,948.65,933.1,938.85,938.9,936.05,820686,771306248.75,24069
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-21,955.0,955.0,930.0,936.05,935.0,936.1,910394,858824282.95,31012
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-20,954.5,961.45,928.25,936.1,934.95,944.65,1211071,1139407650.85,42091
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-19,960.0,974.95,927.35,944.65,939.9,947.25,4195313,3972666366.7,92636
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-18,947.65,966.5,912.6,947.25,948.0,989.0,3673113,3498277031.2,103988
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-15,971.0,1007.0,945.25,989.0,995.0,973.3,6093587,5927587230.3,162313
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-14,870.0,981.0,846.55,973.3,971.0,873.0,6561550,6169955544.95,196246
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-13,966.05,976.05,862.05,873.0,876.9,965.1,4164593,3771838866.3,163714
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-12,1004.0,1007.8,960.0,965.1,964.0,1000.15,1668717,1636911172.85,57457
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-11,1010.0,1022.9,997.55,1000.15,999.0,1009.2,3607249,3621581457.75,73431
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-07,1014.0,1017.85,1001.0,1009.2,1009.05,1005.85,3379167,3408672598.5,65650
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-06,1021.0,1023.1,995.35,1005.85,1009.5,1020.15,3592120,3610410796.4,86492
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-05,1026.0,1032.25,1013.25,1020.15,1020.85,1025.9,3237710,3308919661.7,66053
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-04,1047.7,1047.7,1019.1,1025.9,1025.9,1040.1,2290040,2355768201.8,52699
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-02,1043.0,1046.0,1026.0,1040.1,1040.0,1039.15,182084,189349424.65,6560
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-03-01,1033.0,1053.85,1027.0,1039.15,1039.1,1025.65,3839126,3985088893.75,80993
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-29,1020.0,1033.3,1005.25,1025.65,1027.0,1018.9,3210358,3285310141.55,71557
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-28,1050.0,1056.85,1005.4,1018.9,1018.0,1048.3,3498950,3586829283.5,98697
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-27,1089.0,1096.0,1042.2,1048.3,1045.0,1075.55,5479415,5798910481.8,122104
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-26,1038.0,1095.0,1036.4,1075.55,1079.85,1029.4,10670357,11493500109.35,259688
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-23,1018.15,1035.0,1015.1,1029.4,1031.5,1018.15,4203600,4303778909.85,84305
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-22,1030.0,1031.85,1013.45,1018.15,1016.0,1021.05,3220687,3285491350.35,65618
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-21,1014.95,1046.0,1011.05,1021.05,1019.5,1012.05,4637737,4750357446.8,107584
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-20,1017.0,1018.0,1004.0,1012.05,1011.05,1011.7,2592693,2622073695.55,58910
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-19,1015.55,1029.0,1010.0,1011.7,1012.0,1006.2,1021076,1040212170.65,36759
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-16,1012.95,1019.1,1003.0,1006.2,1006.3,1007.45,910442,920045862.2,31709
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-15,1012.0,1033.95,1005.75,1007.45,1007.0,1010.5,1426683,1448016599.4,41338
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-14,983.0,1027.3,983.0,1010.5,1010.0,1007.8,2923474,2956095829.5,73901
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-13,1035.0,1036.95,986.5,1007.8,1009.0,1025.25,3440888,3461746733.55,86555
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-12,1033.7,1061.9,1014.0,1025.25,1032.0,1023.75,4800285,4983902391.9,126048
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-09,1029.0,1049.6,1003.2,1023.75,1025.0,1023.1,3710884,3789723136.75,90392
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-08,1059.0,1065.0,1016.0,1023.1,1025.0,1040.05,3714348,3818891050.05,88654
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-07,1008.9,1072.2,1001.05,1040.05,1038.5,994.95,6750686,7044805853.75,174134
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-06,1005.0,1018.55,988.0,994.95,994.9,989.05,1229019,1227030706.25,34059
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-05,1003.0,1007.0,985.0,989.05,990.9,999.25,2482752,2473236691.25,60011
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-02,1006.05,1014.15,996.0,999.25,998.0,1004.1,2348536,2365357575.7,47016
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-02-01,1018.3,1029.7,999.15,1004.1,1000.0,1012.35,2855495,2881910483.05,68192
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-01-31,1030.0,1035.7,1006.3,1012.35,1010.0,1028.15,2672010,2726417973.1,58401
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-01-30,1040.0,1050.0,1018.3,1028.15,1027.0,1035.7,2709758,2803037522.8,60331
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-01-29,1010.0,1053.0,1005.05,1035.7,1034.3,1002.95,1816753,1878704181.3,54187
Adani Total Gas Limited,INE399L01023,2018-11-05,EQ,ATGL,2024-01-25,1002.2,1016.9,995.2,1002.95,1003.4,1002.2,824946,827916039.7,29935
