StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-28,5784.35,5820.65,5730.0,5740.5,5750.6,5784.35,125445,722369761.1,12116
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-27,5800.0,5898.3,5774.1,5784.35,5790.0,5800.4,64329,374787334.0,10756
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-26,5871.2,5925.0,5787.0,5800.4,5799.0,5874.0,48811,285226255.75,7763
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-22,5870.0,5935.0,5864.75,5874.0,5875.0,5900.55,49947,294081531.85,5669
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-21,5885.0,5961.45,5882.1,5900.55,5900.0,5878.5,50321,297151745.75,7329
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-20,5950.1,5950.1,5747.05,5878.5,5868.0,5919.05,50600,295495167.75,13125
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-19,6058.6,6061.85,5906.15,5919.05,5910.0,6011.3,22854,136520335.85,5137
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-18,5993.9,6055.0,5933.1,6011.3,6027.7,5993.9,21608,129457947.85,5493
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-15,5963.55,6060.0,5932.15,5993.9,5993.0,5963.55,42765,256389509.75,8649
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-14,5995.95,6075.0,5922.35,5963.55,5950.0,5995.1,138151,827016832.25,12061
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-13,6005.1,6096.9,5950.0,5995.1,6000.0,6057.65,90043,540204351.75,13348
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-12,6030.0,6080.0,5973.65,6057.65,6046.0,6013.85,36008,217249090.3,8972
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-11,6110.0,6132.05,6001.55,6013.85,6015.1,6105.5,20152,121807120.45,4409
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-07,6100.0,6190.9,6040.2,6105.5,6096.0,6029.35,29117,178349790.9,6358
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-06,6148.95,6148.95,5985.0,6029.35,6049.0,6067.7,81784,492099286.4,9928
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-05,6081.0,6136.0,6046.05,6067.7,6076.6,6080.25,23303,141730650.45,4070
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-04,6166.45,6192.95,6070.05,6080.25,6077.5,6170.6,26308,160961580.25,5709
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-02,6151.0,6198.0,6132.1,6170.6,6194.0,6143.5,2483,15292467.45,439
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-03-01,6218.0,6238.1,6120.4,6143.5,6166.0,6217.75,52530,323505375.5,11184
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-29,6081.7,6269.05,6011.0,6217.75,6227.0,6081.7,72443,446721678.95,13157
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-28,6228.0,6246.2,6024.7,6081.7,6024.7,6219.25,38628,237233769.3,10144
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-27,6287.55,6301.65,6208.0,6219.25,6230.0,6287.55,16209,101143551.25,3655
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-26,6325.0,6325.0,6249.85,6287.55,6281.0,6292.05,13794,86651040.2,3769
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-23,6310.05,6353.9,6280.0,6292.05,6291.05,6325.65,13500,85238102.65,3422
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-22,6310.0,6340.0,6247.8,6325.65,6339.0,6310.7,14722,92592522.75,3487
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-21,6350.0,6390.0,6295.0,6310.7,6303.05,6338.5,20233,128464232.65,4738
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-20,6375.6,6408.0,6283.0,6338.5,6345.6,6312.45,24939,158075830.75,5322
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-19,6359.05,6386.55,6270.05,6312.45,6339.0,6371.6,18669,118062591.75,4369
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-16,6360.3,6455.95,6355.0,6371.6,6359.05,6360.3,23104,147756355.8,4166
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-15,6390.0,6494.0,6350.0,6360.3,6373.0,6391.35,25812,165368954.3,5868
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-14,6370.0,6423.95,6334.05,6391.35,6380.05,6394.4,13030,83080336.95,3498
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-13,6321.0,6405.0,6308.0,6394.4,6386.0,6358.05,18171,115812495.95,4105
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-12,6431.2,6459.95,6329.45,6358.05,6374.35,6374.5,27040,172592557.3,5761
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-09,6293.95,6398.0,6133.8,6374.5,6372.0,6234.7,44981,282934674.5,10331
Atul Limited,INE100A01010,1998-05-06,EQ,ATUL,2024-02-08,6356.0,6372.8,6208.65,6234.7,6225.0,6338.55,43044,269589415.85,7064
