StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-28,563.85,570.45,561.0,565.0,565.0,561.5,2782930,1574791111.85,97765
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-27,564.8,566.8,557.2,561.5,561.0,563.0,4923826,2765964922.05,140903
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-26,564.25,568.8,561.7,563.0,561.7,564.25,1569118,885297000.0,72709
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-22,564.0,568.9,561.25,564.25,564.25,565.95,2314067,1304864708.75,111001
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-21,568.4,571.9,563.55,565.95,566.0,559.9,2026437,1148804671.2,128801
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-20,562.2,568.5,553.7,559.9,560.8,560.15,5079488,2843889356.95,129072
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-19,576.5,582.4,558.05,560.15,558.8,569.85,3113350,1773174282.7,74809
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-18,581.9,583.75,567.7,569.85,571.2,578.25,3332799,1910894950.1,105208
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-15,583.9,587.3,575.1,578.25,580.25,583.95,2181470,1263043046.1,95587
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-14,573.0,587.85,569.0,583.95,585.0,576.9,2141385,1246715904.7,71622
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-13,578.0,586.45,570.9,576.9,572.0,576.05,4609989,2682048909.6,150718
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-12,586.8,590.85,574.65,576.05,575.25,584.2,2657472,1546999263.8,91736
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-11,572.0,585.35,569.3,584.2,585.0,571.25,4579646,2646929953.25,160773
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-07,570.0,575.95,565.5,571.25,570.55,566.8,2332771,1330202007.45,52451
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-06,575.35,578.2,564.45,566.8,568.0,571.75,3655651,2083942959.5,96465
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-05,589.4,590.0,571.0,571.75,571.9,580.1,2733333,1581975888.6,57798
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-04,578.05,583.9,575.95,580.1,579.5,578.0,3884607,2251460057.1,85430
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-02,578.0,583.7,572.45,578.0,578.4,575.55,329643,190283025.55,7130
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-03-01,574.4,579.8,570.45,575.55,576.9,569.85,1665391,959338148.45,28954
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-29,573.9,576.45,564.45,569.85,570.4,571.15,3314480,1887893938.65,102979
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-28,594.0,594.0,567.8,571.15,568.7,590.4,3000799,1744559178.35,55469
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-27,588.45,595.7,586.3,590.4,590.6,586.2,1683135,994661902.35,46476
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-26,599.95,603.9,583.85,586.2,586.2,599.95,6638312,3904030881.9,176585
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-23,596.45,606.95,593.4,599.95,598.0,592.5,3450186,2074387809.95,65657
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-22,588.55,594.0,583.6,592.5,593.4,588.15,2315282,1363021766.55,39247
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-21,602.55,602.55,584.4,588.15,587.05,599.1,3176517,1875365680.35,62921
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-20,602.4,610.4,597.85,599.1,599.05,599.35,2935294,1773150634.8,91265
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-19,584.5,603.9,581.7,599.35,601.05,581.75,4840679,2881544661.4,82768
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-16,582.1,585.85,579.0,581.75,582.4,581.9,2145814,1250136025.05,47440
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-15,595.0,595.0,580.45,581.9,582.7,590.75,2107954,1230761299.5,52316
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-14,589.95,594.75,580.2,590.75,594.0,593.8,4560881,2679106925.35,104162
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-13,600.0,602.45,587.35,593.8,592.05,594.7,3185544,1894224646.8,61206
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-12,608.0,609.45,585.5,594.7,594.9,603.9,5184975,3081979768.85,116166
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-09,600.0,605.75,592.25,603.9,604.0,595.6,2343195,1403901012.5,61220
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-08,621.0,625.8,594.0,595.6,597.5,618.9,3862384,2339731212.3,99799
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-07,620.4,623.45,612.1,618.9,621.15,616.5,2773694,1713024129.15,82828
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-06,622.6,622.6,613.0,616.5,617.9,622.6,1713489,1056820474.75,44966
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-05,628.95,630.0,616.7,622.6,622.0,629.0,5678989,3539579622.2,174873
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-02,638.75,645.7,627.6,629.0,628.85,634.95,2688173,1714122990.85,71709
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-02-01,639.85,644.0,632.3,634.95,635.7,636.6,2006355,1278403521.65,54022
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-31,628.0,640.45,620.8,636.6,637.0,625.25,5579390,3533574326.6,169143
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-30,630.0,631.85,613.5,625.25,625.0,626.35,7443243,4634744718.35,174577
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-29,670.0,670.0,624.05,626.35,625.25,707.85,21666348,13875338964.95,460317
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-25,740.0,741.45,703.2,707.85,710.0,737.25,5475393,3906416501.4,127781
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-24,716.5,739.0,709.05,737.25,736.65,716.5,2550245,1850853959.75,79058
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-23,755.0,758.0,709.05,716.5,714.8,747.5,3081087,2225177147.4,92450
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-20,737.8,755.4,735.0,747.5,750.0,730.55,1930061,1440790553.65,63219
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-19,740.0,746.15,724.5,730.55,731.3,734.1,4468871,3282963478.8,54719
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-18,754.35,758.75,732.85,734.1,732.95,757.4,2679347,1994327991.35,81620
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-17,759.95,783.95,744.2,757.4,754.0,775.55,5351653,4055042107.8,176408
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-16,772.05,781.9,770.75,775.55,773.0,772.05,1357631,1054939729.5,70401
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-15,790.8,792.0,770.05,772.05,770.5,788.35,1416880,1099806991.55,45831
AU Small Finance Bank Limited,INE949L01017,2017-07-10,EQ,AUBANK,2024-01-12,783.0,791.0,772.0,788.35,788.0,776.6,1336781,1046334522.8,35806
