StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-28,492.4,499.5,481.0,484.25,481.7,489.45,190457,93378743.5,10258
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-27,495.9,506.5,487.0,489.45,489.1,493.85,173656,86274162.0,12882
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-26,500.0,500.95,488.0,493.85,495.0,500.15,199764,98706097.65,11257
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-22,499.35,505.0,496.9,500.15,500.3,499.35,164651,82404568.65,6851
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-21,496.0,505.0,495.4,499.35,498.8,492.1,145742,72863684.7,10164
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-20,503.6,513.55,489.2,492.1,491.0,501.1,234084,116300076.8,14612
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-19,506.05,509.6,498.1,501.1,502.0,508.5,254144,128028357.75,17027
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-18,480.4,517.0,480.4,508.5,508.6,483.25,1151649,582503538.8,47956
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-15,496.95,499.4,478.2,483.25,482.0,500.6,337983,164216387.35,16097
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-14,475.0,504.65,472.0,500.6,496.6,475.85,361035,176568298.3,25457
Avanti Feeds Limited,INE871C01038,2015-04-15,EQ,AVANTIFEED,2024-03-13,507.35,524.0,475.0,475.85,475.0,506.3,608311,299997461.3,28624
