StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-28,1052.85,1058.4,1044.1,1047.2,1046.5,1052.85,10235318,10749862842.1,220763
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-27,1045.8,1057.55,1044.25,1052.85,1052.0,1040.55,17027308,17884010983.45,287048
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-26,1029.0,1044.2,1027.5,1040.55,1043.0,1033.3,9656767,10018641510.95,251863
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-22,1040.1,1047.25,1029.95,1033.3,1031.0,1035.6,9891194,10269436021.05,236409
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-21,1039.35,1050.55,1028.15,1035.6,1041.85,1034.75,9903738,10276520680.4,223205
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-20,1050.0,1057.45,1030.95,1034.75,1038.25,1050.8,12619644,13163664760.15,339938
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-19,1055.55,1060.95,1046.7,1050.8,1050.35,1061.35,6728886,7078277172.5,236410
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-18,1044.0,1066.9,1043.6,1061.35,1064.75,1046.4,7612407,8042037127.25,273150
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-15,1056.25,1056.25,1030.25,1046.4,1048.0,1058.25,17798175,18590458547.25,261474
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-14,1075.0,1081.25,1055.6,1058.25,1061.1,1080.4,10253613,10951673978.4,193181
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-13,1096.0,1099.55,1070.75,1080.4,1078.5,1097.0,11503890,12422069636.5,226985
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-12,1105.0,1121.4,1084.25,1097.0,1094.45,1105.1,9817138,10817433853.8,228070
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-11,1112.25,1120.0,1101.9,1105.1,1102.85,1111.45,6751641,7483963018.8,197149
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-07,1126.0,1126.9,1107.55,1111.45,1111.0,1125.0,6943879,7746442476.65,201584
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-06,1100.2,1131.95,1095.35,1125.0,1124.0,1100.8,13787638,15482285780.55,320060
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-05,1102.2,1110.9,1094.5,1100.8,1101.9,1106.75,4851446,5344020979.7,158323
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-04,1099.25,1108.9,1093.1,1106.75,1105.25,1096.7,5895441,6498838358.25,141187
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-02,1099.3,1104.9,1091.15,1096.7,1095.25,1099.25,250465,274778449.1,8031
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-03-01,1076.0,1101.7,1076.0,1099.25,1098.4,1075.1,4819390,5265579136.05,171646
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-29,1071.0,1082.3,1055.35,1075.1,1073.65,1074.2,13648997,14604048710.15,231689
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-28,1077.4,1085.0,1064.05,1074.2,1071.55,1079.05,7643191,8202342629.45,136752
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-27,1081.65,1088.55,1072.05,1079.05,1080.4,1085.2,6546815,7070446833.65,229780
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-26,1093.45,1094.8,1079.65,1085.2,1084.0,1096.8,5354189,5813591284.15,204678
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-23,1099.0,1107.4,1090.0,1096.8,1093.75,1100.9,6250943,6872467279.45,180522
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-22,1090.3,1110.7,1081.5,1100.9,1098.75,1084.2,14633340,16077695725.3,268227
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-21,1093.85,1093.95,1073.1,1084.2,1079.55,1088.6,9177213,9927335651.25,199283
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-20,1059.0,1090.5,1057.7,1088.6,1087.1,1062.95,8722800,9411838973.65,243044
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-19,1069.0,1070.0,1060.1,1062.95,1064.35,1068.75,7562645,8050629517.55,163537
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-16,1073.0,1076.0,1058.0,1068.75,1068.0,1072.2,8660907,9242108048.2,210198
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-15,1097.5,1097.55,1069.25,1072.2,1074.75,1096.85,11780823,12709203876.5,255813
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-14,1061.3,1100.9,1060.55,1096.85,1097.0,1070.75,16609115,17986814048.6,322045
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-13,1051.0,1075.55,1044.8,1070.75,1070.6,1046.7,8413609,8946947169.4,222013
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-12,1051.4,1057.25,1035.35,1046.7,1047.0,1051.4,8694379,9105381172.3,213483
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-09,1039.95,1054.9,1034.55,1051.4,1052.6,1035.9,8233454,8615386873.55,245062
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-08,1072.0,1075.6,1031.65,1035.9,1036.9,1069.1,9869141,10297386835.7,272590
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-07,1061.05,1073.7,1057.5,1069.1,1072.0,1050.05,7281793,7773207507.55,218920
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-06,1061.55,1065.1,1048.2,1050.05,1053.0,1061.5,8011171,8447759890.1,200742
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-05,1067.05,1079.5,1058.0,1061.5,1059.2,1067.05,12569454,13425687174.35,267496
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-02,1088.05,1096.2,1065.0,1067.05,1067.7,1084.25,8667415,9349778291.6,262152
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-02-01,1072.65,1087.65,1056.8,1084.25,1083.45,1067.75,9756682,10473226767.75,213721
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-31,1048.2,1084.1,1042.7,1067.75,1067.5,1054.1,12600390,13468519443.45,303223
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-30,1060.05,1070.45,1050.8,1054.1,1053.5,1061.25,9426983,9971698908.4,325034
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-29,1036.0,1068.0,1036.0,1061.25,1060.85,1042.25,11188604,11838909653.55,205125
Axis Bank Limited,INE238A01034,1998-11-16,BL,AXISBANK,2024-01-25,1059.15,1059.15,1059.15,1059.15,1059.15,1119.7,214153,226820149.95,1
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-25,1058.0,1063.7,1025.8,1042.25,1050.1,1059.15,20835434,21626312133.15,393518
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-24,1034.8,1073.2,1020.9,1059.15,1059.6,1089.25,20884046,21939693940.1,381021
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-23,1125.9,1141.6,1078.8,1089.25,1082.0,1121.0,18924087,20844533168.65,298496
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-20,1121.0,1126.45,1102.8,1121.0,1118.1,1116.55,5055594,5639882327.7,113131
Axis Bank Limited,INE238A01034,1998-11-16,EQ,AXISBANK,2024-01-19,1107.15,1126.3,1105.0,1116.55,1116.0,1097.5,12303696,13760961329.1,348516
