StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-28,1588.0,1669.0,1588.0,1643.85,1647.0,1582.65,5210310,8568470397.9,201292
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-27,1590.0,1609.9,1578.2,1582.65,1585.0,1593.9,1205575,1916574937.85,66120
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-26,1589.0,1619.0,1589.0,1593.9,1595.0,1587.55,1616192,2593899317.75,87513
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-22,1593.0,1610.0,1583.4,1587.55,1584.0,1602.6,1570412,2501083959.0,118463
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-21,1596.0,1609.45,1592.0,1602.6,1596.1,1584.7,1166497,1868063939.35,94485
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-20,1582.5,1593.5,1566.1,1584.7,1584.0,1581.5,723724,1145378061.55,72054
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-19,1574.05,1590.0,1551.1,1581.5,1580.0,1577.05,1385006,2178015416.0,106107
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-18,1570.95,1579.15,1561.0,1577.05,1578.0,1571.45,645594,1014724529.75,44701
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-15,1547.5,1589.6,1547.5,1571.45,1562.2,1563.7,1929597,3029737013.75,96713
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-14,1565.6,1580.0,1550.1,1563.7,1563.75,1573.15,1289823,2019425089.15,98770
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-13,1592.3,1598.95,1562.0,1573.15,1569.55,1593.55,1279653,2019553067.35,76744
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-12,1590.1,1612.0,1565.15,1593.55,1590.0,1598.8,1587096,2525546040.5,115807
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-11,1597.5,1616.15,1583.0,1598.8,1595.0,1582.8,1285565,2060890120.2,100359
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-07,1557.15,1589.65,1557.15,1582.8,1584.7,1554.6,1380840,2181819450.2,84461
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-06,1558.0,1558.0,1530.8,1554.6,1556.0,1550.5,1239370,1915026262.6,99912
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-05,1630.0,1636.6,1541.15,1550.5,1552.0,1619.3,2343463,3694428184.55,135687
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-04,1616.0,1625.0,1603.3,1619.3,1622.7,1610.15,589948,951359189.45,66919
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-02,1613.4,1615.9,1605.0,1610.15,1611.05,1613.4,44273,71308222.7,3165
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-03-01,1597.95,1620.3,1595.2,1613.4,1610.2,1593.8,740120,1193738842.5,67417
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-29,1584.95,1603.6,1568.35,1593.8,1593.85,1584.5,1352363,2148535814.35,87800
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-28,1603.0,1609.7,1580.0,1584.5,1586.7,1600.6,790763,1261358603.55,48022
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-27,1614.3,1623.45,1595.0,1600.6,1595.0,1614.3,931236,1498688392.35,72169
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-26,1616.0,1629.4,1610.0,1614.3,1611.95,1616.55,742382,1202141497.3,59548
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-23,1596.0,1620.9,1596.0,1616.55,1616.0,1592.55,1199419,1931457179.1,69755
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-22,1599.0,1599.0,1565.85,1592.55,1593.85,1586.95,1149519,1813696118.8,103955
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-21,1604.0,1618.6,1580.6,1586.95,1588.05,1602.85,674394,1077457933.55,52894
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-20,1617.95,1619.0,1597.5,1602.85,1605.95,1620.15,1232581,1981219619.95,75341
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-19,1576.0,1625.0,1572.0,1620.15,1618.6,1575.9,1162373,1869368727.05,67414
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-16,1583.1,1585.0,1567.05,1575.9,1575.0,1569.4,850341,1338200022.6,53683
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-15,1589.95,1590.0,1564.55,1569.4,1570.05,1579.7,803588,1263476317.6,70643
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-14,1560.0,1583.0,1555.0,1579.7,1583.0,1568.0,763689,1199533587.8,49673
Bajaj Finserv Limited,INE918I01026,2008-05-26,BL,BAJAJFINSV,2024-02-14,1582.0,1582.0,1582.0,1582.0,1582.0,1575.0,1426965,2257458630.0,3
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-13,1560.0,1586.45,1552.2,1568.0,1566.95,1557.25,1833289,2884314243.7,123495
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-12,1578.75,1579.3,1551.5,1557.25,1560.0,1570.95,803753,1254854966.6,50949
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-09,1586.25,1587.3,1562.7,1570.95,1571.0,1570.55,1049368,1647980452.25,87019
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-08,1607.95,1607.95,1565.0,1570.55,1576.95,1596.2,1486674,2344567971.5,114317
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-07,1609.0,1623.75,1589.4,1596.2,1594.85,1597.05,1477982,2366567880.4,68183
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-06,1626.8,1626.8,1578.6,1597.05,1600.0,1614.9,2376798,3795785061.75,176278
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-05,1650.0,1659.9,1608.55,1614.9,1618.0,1651.5,2578535,4187904918.95,139387
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-02,1635.0,1664.0,1626.7,1651.5,1650.0,1622.25,1514648,2500349587.05,109232
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-02-01,1632.0,1632.0,1613.0,1622.25,1625.0,1627.3,1352416,2193585106.2,135341
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-31,1594.0,1632.0,1585.0,1627.3,1623.0,1590.55,1486444,2403567309.2,87780
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-30,1629.0,1629.0,1585.0,1590.55,1591.1,1636.95,4851835,7772409055.65,235191
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-29,1630.0,1641.6,1618.5,1636.95,1637.0,1630.15,940220,1532915983.6,62714
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-25,1621.75,1635.0,1613.7,1630.15,1630.0,1620.85,1744604,2835979672.0,83335
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-24,1594.7,1622.85,1578.35,1620.85,1621.8,1582.5,1393463,2240591641.8,65204
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-23,1597.45,1615.25,1575.0,1582.5,1581.1,1581.0,3028946,4820183887.05,152143
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-20,1600.5,1610.95,1577.75,1581.0,1581.95,1600.5,404125,643555716.25,25954
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-19,1590.95,1606.35,1581.0,1600.5,1601.95,1581.15,1139473,1819240346.6,129056
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-18,1586.0,1605.35,1559.0,1581.15,1581.75,1586.15,1133236,1784994345.9,96727
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-17,1614.95,1622.0,1578.05,1586.15,1590.05,1623.5,1488186,2371426262.55,116025
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-16,1634.0,1646.3,1620.0,1623.5,1621.2,1632.4,1063676,1735903694.55,89460
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-15,1655.0,1664.15,1630.05,1632.4,1632.0,1651.9,1089891,1786336368.5,76156
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-12,1670.25,1674.95,1642.0,1651.9,1652.3,1669.25,1314964,2174054084.2,94927
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-11,1679.0,1702.65,1660.15,1669.25,1668.0,1671.85,861924,1448143375.75,67278
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-10,1685.0,1685.0,1658.65,1671.85,1673.7,1682.45,607010,1013040092.2,42761
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-09,1710.45,1715.0,1674.3,1682.45,1680.0,1696.35,1235008,2095200779.3,72669
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-08,1715.95,1723.65,1690.2,1696.35,1695.5,1709.5,684254,1166134742.35,58711
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-05,1702.95,1717.1,1697.65,1709.5,1707.4,1701.95,835592,1427525109.45,89194
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-04,1694.35,1723.95,1690.0,1701.95,1701.8,1677.65,2268009,3871811823.25,109837
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-03,1680.0,1708.0,1676.0,1677.65,1679.0,1686.2,804258,1358788967.9,54618
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-02,1675.9,1689.85,1663.45,1686.2,1685.0,1676.4,1099965,1847393963.5,87475
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2024-01-01,1685.8,1691.7,1671.0,1676.4,1672.0,1685.8,692280,1162435414.4,43193
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-29,1682.45,1692.7,1674.6,1685.8,1688.0,1681.2,738203,1243393227.95,55285
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-28,1674.05,1698.8,1667.2,1681.2,1680.2,1669.45,1360425,2285712905.85,77880
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-27,1657.0,1674.05,1653.8,1669.45,1670.2,1645.3,1181177,1966140802.45,84206
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-26,1675.0,1684.0,1637.05,1645.3,1650.95,1672.05,1296291,2147686247.9,103687
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-22,1669.0,1690.0,1663.6,1672.05,1675.0,1666.85,1279614,2143806927.2,90260
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-21,1663.0,1681.8,1660.25,1666.85,1671.95,1680.9,988034,1650742372.55,71394
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-20,1715.7,1741.0,1672.0,1680.9,1675.2,1709.75,1540009,2639467286.55,90782
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-19,1725.0,1726.55,1696.8,1709.75,1710.05,1724.6,1214352,2074381603.1,67055
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-18,1732.65,1738.55,1718.55,1724.6,1719.05,1733.15,696124,1203499281.0,52372
Bajaj Finserv Limited,INE918I01026,2008-05-26,EQ,BAJAJFINSV,2023-12-15,1738.95,1741.0,1718.75,1733.15,1730.5,1730.95,1486079,2568348546.65,83408
