StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-28,8065.1,8344.05,8065.1,8272.75,8300.0,8096.3,74053,610918289.85,17194
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-27,8428.15,8509.8,7965.25,8096.3,8035.0,8413.2,108749,888632619.55,22694
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-26,8212.0,8435.0,8212.0,8413.2,8424.0,8395.05,29115,242852148.05,8493
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-22,8215.0,8447.65,8202.65,8395.05,8358.0,8202.65,49514,414281745.25,12893
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-21,8121.0,8219.7,8120.0,8202.65,8219.0,8130.15,16304,133209306.65,5386
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-20,8191.05,8194.75,8088.0,8130.15,8121.65,8204.6,14503,117853105.85,3837
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-19,8264.6,8318.0,8190.1,8204.6,8190.15,8210.3,23350,192103163.55,7195
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-18,8243.75,8243.75,8150.1,8210.3,8219.95,8243.75,19087,156668048.45,5486
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-15,8148.7,8299.9,8142.05,8243.75,8205.25,8231.0,46749,384842087.0,11443
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-14,8225.0,8300.0,8080.6,8231.0,8249.95,8369.0,68591,560209933.25,21300
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-13,8510.0,8581.25,8277.9,8369.0,8398.0,8594.15,36711,309283878.8,13418
Bajaj Holdings & Investment Limited,INE118A01012,1995-03-15,EQ,BAJAJHLDNG,2024-03-12,8616.95,8662.45,8525.0,8594.15,8589.0,8616.15,23669,203364436.25,6793
