StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-28,2307.4,2333.0,2275.0,2317.35,2322.25,2290.85,271784,627904821.65,30705
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-27,2274.8,2312.95,2255.4,2290.85,2300.0,2266.4,264660,608001977.2,21383
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-26,2272.0,2288.95,2253.0,2266.4,2274.0,2276.05,146934,333555564.0,17970
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-22,2305.0,2312.95,2259.35,2276.05,2282.6,2309.55,312564,711602494.3,30521
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-21,2284.6,2322.9,2274.35,2309.55,2292.7,2280.4,256352,588063338.4,18292
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-20,2290.95,2323.0,2248.1,2280.4,2285.0,2284.5,206430,470957754.45,24101
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-19,2260.35,2300.0,2246.2,2284.5,2278.05,2260.35,365379,834177707.75,37409
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-18,2262.5,2279.9,2233.0,2260.35,2263.45,2267.0,285308,644126383.8,37344
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-15,2252.5,2286.15,2233.0,2267.0,2259.25,2267.75,282792,641054250.15,25939
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-14,2260.0,2293.05,2212.8,2267.75,2263.0,2285.4,402650,907995336.3,32747
Balkrishna Industries Limited,INE787D01026,2006-01-27,EQ,BALKRISIND,2024-03-13,2363.95,2378.8,2270.5,2285.4,2294.9,2344.4,634895,1471200897.3,48664
