StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-28,5305.35,5404.65,5219.9,5254.35,5261.0,5289.5,41542,222769207.15,6351
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-27,5104.8,5314.65,5085.1,5289.5,5299.6,5101.6,36753,191318293.45,5534
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-26,4977.0,5193.6,4977.0,5101.6,5081.25,5079.0,11014,56480074.95,4607
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-22,5088.0,5115.85,5023.0,5079.0,5075.0,5065.3,13006,65851600.85,3298
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-21,5025.3,5087.75,4953.0,5065.3,5065.0,5025.3,16939,85061338.2,4880
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-20,5012.7,5039.0,4930.0,5025.3,5025.0,5002.0,6417,32039586.5,2515
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-19,5078.3,5078.35,4982.1,5002.0,4989.75,5078.3,4278,21465096.0,1751
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-18,4955.9,5149.0,4955.9,5078.3,5086.4,4983.9,12223,62134056.1,4502
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-15,5194.0,5224.95,4901.2,4983.9,4980.0,5080.85,49724,250390034.75,11776
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-14,5030.15,5148.05,5010.1,5080.85,5089.0,5030.15,8749,44530835.3,4698
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-13,5290.0,5318.0,4925.5,5030.15,5135.0,5286.1,34804,177109788.95,13229
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-12,5316.0,5446.5,5266.8,5286.1,5309.0,5346.55,13057,69652227.0,6702
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-11,5504.6,5522.9,5321.0,5346.55,5321.0,5475.8,14542,78286962.65,5262
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-07,5460.0,5565.0,5436.05,5475.8,5510.0,5469.2,9965,54670679.15,5634
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-06,5505.0,5534.6,5450.0,5469.2,5460.0,5522.0,7997,43790376.05,3102
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-05,5525.0,5629.85,5515.55,5522.0,5525.0,5553.85,7443,41224268.1,3714
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-04,5700.0,5700.0,5515.55,5553.85,5515.55,5684.9,30352,170295068.0,3585
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-02,5714.0,5739.95,5628.05,5684.9,5654.0,5644.8,936,5323135.95,213
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-03-01,5697.65,5726.05,5628.0,5644.8,5630.0,5669.35,5072,28707258.75,1912
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-29,5740.3,5798.0,5621.4,5669.35,5669.2,5727.7,23300,132787997.4,5429
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-28,5844.15,5845.65,5670.0,5727.7,5728.0,5815.1,5802,33292518.05,2338
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-27,5891.0,5960.0,5790.0,5815.1,5819.0,5921.65,6535,38284414.0,2162
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-26,5902.0,5998.9,5860.0,5921.65,5901.0,5927.3,7602,45083106.85,2456
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-23,6042.2,6042.2,5900.0,5927.3,5959.95,6024.15,5261,31315683.2,1782
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-22,6050.0,6075.0,5971.6,6024.15,6015.0,6071.6,9042,54489934.55,4304
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-21,6056.1,6201.25,6000.0,6071.6,6021.0,6111.7,20838,127396618.15,7915
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-20,6070.1,6161.0,6045.2,6111.7,6082.95,6116.25,33297,203668031.0,8347
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-19,5822.0,6141.3,5822.0,6116.25,6099.95,5852.05,17835,107683832.1,5775
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-16,5873.35,5918.45,5801.0,5852.05,5848.95,5873.35,6386,37371229.65,3471
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-15,5950.05,5991.3,5825.0,5873.35,5874.85,5954.7,11252,66031186.4,4855
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-14,6008.6,6050.2,5912.0,5954.7,5980.9,6024.05,6625,39629245.8,2981
Bayer Cropscience Limited,INE462A01022,2010-01-08,EQ,BAYERCROP,2024-02-13,5988.4,6058.0,5904.5,6024.05,5990.0,5958.35,28410,170744566.25,9139
