StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-28,1765.95,1771.95,1743.0,1751.9,1752.0,1755.0,373501,655789870.9,17683
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-27,1739.0,1770.0,1731.95,1755.0,1756.8,1729.4,804619,1410593735.65,35417
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-26,1693.3,1747.95,1673.0,1729.4,1731.0,1686.05,922418,1586268000.4,43791
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-22,1706.0,1719.7,1680.05,1686.05,1686.0,1661.9,1280144,2169297522.2,50568
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-21,1657.0,1685.4,1655.05,1661.9,1660.0,1619.55,776849,1296863729.6,37813
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-20,1630.0,1649.9,1587.0,1619.55,1620.0,1623.65,514348,832404756.35,34237
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-19,1681.0,1682.95,1612.65,1623.65,1629.9,1676.95,570851,936314326.6,45491
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-18,1681.9,1711.0,1662.8,1676.95,1675.0,1681.9,441300,743134427.65,28957
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-15,1660.0,1697.6,1602.05,1681.9,1669.25,1658.05,982666,1616387754.9,50485
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-14,1582.0,1686.95,1552.1,1658.05,1660.0,1590.15,972197,1599670989.3,64062
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-13,1733.0,1738.3,1565.0,1590.15,1577.0,1727.55,1565428,2541021337.5,105780
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-12,1780.0,1808.0,1709.0,1727.55,1736.8,1768.6,932780,1630352307.85,65939
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-11,1810.0,1830.0,1762.0,1768.6,1770.0,1799.25,712177,1275735489.25,45268
Bharat Dynamics Limited,INE171Z01026,2018-03-23,EQ,BDL,2024-03-07,1794.0,1812.0,1785.8,1799.25,1799.0,1785.8,494919,891432876.55,23953
