StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-28,1114.95,1135.2,1103.5,1129.6,1129.5,1111.2,1391471,1560555718.45,68011
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-27,1132.4,1143.05,1107.25,1111.2,1112.4,1130.15,1811541,2037900818.3,79901
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-26,1131.9,1140.95,1127.0,1130.15,1132.5,1128.95,728614,825292206.05,32778
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-22,1102.0,1133.6,1101.3,1128.95,1131.75,1102.0,1129996,1269569897.3,67472
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-21,1097.8,1122.0,1094.0,1102.0,1100.2,1092.7,2400850,2647948394.5,71231
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-20,1110.0,1118.6,1088.0,1092.7,1093.0,1112.7,1044847,1147851470.95,45692
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-19,1111.75,1133.0,1093.6,1112.7,1116.0,1114.4,830859,922118394.45,29848
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-18,1119.0,1121.0,1090.3,1114.4,1115.45,1119.5,1199978,1328114853.55,69864
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-15,1117.95,1130.65,1099.1,1119.5,1125.0,1113.05,1004065,1120107916.6,65860
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-14,1111.0,1127.0,1096.7,1113.05,1114.5,1127.0,1500630,1670543409.8,55884
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-13,1155.85,1164.45,1115.0,1127.0,1118.25,1155.85,1538078,1743326941.5,64105
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-12,1160.05,1170.9,1139.0,1155.85,1154.6,1159.85,942567,1083789561.4,39226
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-11,1170.05,1190.6,1143.4,1159.85,1156.75,1178.85,2315091,2690184670.05,128283
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-07,1181.65,1193.6,1170.35,1178.85,1170.9,1181.75,557070,658705248.45,40303
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-06,1189.0,1190.75,1150.1,1181.75,1183.0,1185.8,674420,789601881.85,32962
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-05,1190.0,1211.0,1179.95,1185.8,1187.0,1189.15,1251169,1496032010.25,46896
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-04,1182.0,1193.7,1170.0,1189.15,1191.0,1179.65,1806324,2139766865.2,83790
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-02,1186.55,1194.9,1171.05,1179.65,1182.0,1184.25,60824,71690180.95,4177
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-03-01,1150.05,1187.9,1150.05,1184.25,1185.0,1151.0,740159,866972473.65,40351
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-02-29,1145.0,1158.0,1135.8,1151.0,1148.4,1152.25,1187019,1362069416.0,43754
Bharat Forge Limited,INE465A01025,2003-04-04,EQ,BHARATFORG,2024-02-28,1175.75,1181.55,1141.15,1152.25,1150.0,1177.95,770303,891480098.75,34062
