StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-28,253.05,253.7,245.6,247.3,247.5,243.1,28014588,6951556395.85,138810
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-27,241.35,249.5,240.5,243.1,243.5,239.8,22974438,5637473320.2,130642
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-26,238.5,240.45,236.2,239.8,239.75,239.1,12328059,2945064818.05,79521
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-22,235.0,240.35,234.55,239.1,238.6,237.2,18998595,4523156941.5,109173
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-21,229.9,237.95,228.0,237.2,237.45,224.75,36784553,8625800981.2,168066
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-20,220.0,225.95,215.8,224.75,224.85,218.8,21903121,4849288657.35,106200
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-19,224.25,226.45,217.25,218.8,219.0,224.3,21463953,4754856914.4,120642
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-18,216.75,226.9,213.4,224.3,223.85,216.75,30924687,6837114141.0,174769
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-15,225.5,227.7,207.1,216.75,217.3,226.45,52563647,11270796938.3,296859
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-14,224.8,232.3,221.95,226.45,226.5,225.3,38281171,8729017088.5,174064
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-13,245.0,246.25,222.05,225.3,224.8,244.1,42267395,9811755156.1,249223
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-12,255.0,255.85,243.15,244.1,244.0,254.55,27919780,6893334623.85,162224
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-11,259.1,259.55,253.65,254.55,254.15,257.5,20685651,5310796951.4,124938
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-07,256.75,261.05,254.8,257.5,257.3,255.2,26124937,6744214124.1,137092
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-06,270.7,272.0,249.6,255.2,255.05,265.8,81812288,21018078148.15,409339
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-05,265.5,271.7,254.7,265.8,268.9,264.55,64079248,16704381716.1,304018
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-04,237.1,275.85,237.1,264.55,265.15,235.9,246246357,64760059967.55,939877
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-02,236.55,238.0,235.65,235.9,235.75,235.3,2267556,536284459.05,17919
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-03-01,230.0,237.35,229.6,235.3,235.35,227.55,35475431,8315540950.5,176678
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-29,225.85,233.0,219.75,227.55,230.3,224.7,150876575,34257591219.65,195193
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-28,223.65,230.45,221.0,224.7,223.5,222.6,36680021,8280761715.45,177113
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-27,228.05,228.4,221.75,222.6,223.9,228.05,22497412,5038884944.85,99955
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-26,229.8,232.15,226.25,228.05,227.85,229.6,14288582,3272126758.95,82886
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-23,229.45,233.75,228.5,229.6,229.1,228.5,21463226,4967022360.35,114940
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-22,224.0,229.4,220.95,228.5,229.1,221.9,25023398,5654958585.85,122049
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-21,232.0,232.35,220.05,221.9,222.7,230.9,22193528,5010150261.0,119286
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-20,226.9,233.8,225.95,230.9,231.25,225.7,22994469,5294954833.55,123808
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-19,226.65,230.65,225.05,225.7,226.25,225.85,12184195,2779203093.6,76830
Bharat Heavy Electricals Limited,INE257A01026,2003-11-11,EQ,BHEL,2024-02-16,228.55,230.5,224.95,225.85,225.35,227.55,20099858,4576646512.8,104572
