StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-28,260.0,266.75,259.2,264.15,264.2,256.6,7744310,2041877918.2,50707
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-27,256.95,263.25,255.85,256.6,256.95,257.7,7577249,1970873283.7,40654
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-26,254.2,258.95,251.0,257.7,257.2,252.2,7271365,1867628995.75,43256
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-22,250.2,254.7,248.45,252.2,252.1,248.7,5586546,1412994823.85,39822
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-21,248.5,252.3,247.55,248.7,248.3,246.85,3542830,884615555.25,23459
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-20,246.5,249.55,244.55,246.85,246.2,245.75,3465199,854868255.7,23680
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-19,250.8,252.4,245.05,245.75,245.2,250.65,4014805,996772913.5,33400
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-18,252.8,254.55,247.75,250.65,250.45,251.65,4693478,1177070225.8,33605
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-15,262.0,262.6,250.25,251.65,251.6,267.4,10073254,2566587902.15,78803
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-14,252.5,273.45,249.9,267.4,263.75,252.85,6106792,1594089208.6,55434
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-13,271.0,273.45,250.4,252.85,252.1,270.35,7078060,1844507706.55,63611
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-12,279.3,281.65,270.0,270.35,270.25,279.2,3628757,995985958.55,33058
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-11,284.0,286.2,278.1,279.2,279.5,281.9,4569107,1290840434.85,36004
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-07,276.0,285.2,276.0,281.9,281.9,274.5,9041425,2549258313.55,60339
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-06,280.0,280.85,269.25,274.5,274.75,279.95,6070958,1658245065.9,40067
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-05,278.95,282.7,277.0,279.95,279.85,278.9,5524477,1543051010.05,32050
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-04,277.9,287.2,275.7,278.9,278.6,276.95,17778466,5003380876.95,91165
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-02,275.5,279.5,274.35,276.95,277.1,273.9,336360,93049425.0,4382
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-03-01,276.55,282.25,272.5,273.9,274.35,276.5,4963400,1366996857.3,47800
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-02-29,272.65,277.6,267.45,276.5,276.75,271.05,5644851,1541878181.3,45531
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-02-28,276.0,281.5,270.1,271.05,270.9,275.7,6304110,1741836471.0,42631
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-02-27,273.4,282.0,273.3,275.7,276.0,272.95,8810926,2448504459.55,51374
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-02-26,274.8,275.95,269.1,272.95,273.2,273.05,4389040,1196260376.5,36618
Biocon Limited,INE376G01013,2004-04-07,EQ,BIOCON,2024-02-23,272.0,275.0,270.1,273.05,273.15,270.8,4763062,1298594010.45,35264
