StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-28,321.25,325.0,309.9,312.85,312.0,316.5,2033962,646329009.65,55123
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-27,319.75,325.0,315.05,316.5,317.25,317.4,1973474,629092247.4,57239
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-26,325.0,325.9,313.0,317.4,316.9,324.3,2495307,801459045.55,70150
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-22,323.55,329.9,318.5,324.3,324.95,324.3,3325709,1079813176.95,66740
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-21,323.45,332.85,321.6,324.3,322.15,319.45,5306787,1728947289.25,78152
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-20,326.3,345.3,316.1,319.45,320.0,325.5,6892337,2284600844.15,106377
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-19,336.9,340.5,323.1,325.5,324.6,336.95,2416663,794517476.8,45041
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-18,357.7,359.0,335.45,336.95,337.0,353.75,3974240,1359743343.4,91497
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-15,337.95,372.25,331.0,353.75,356.0,343.15,15240607,5372918898.5,243085
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-14,289.6,345.5,288.4,343.15,343.0,287.95,14723271,4832200678.1,201674
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-13,328.0,331.45,262.95,287.95,293.3,328.65,4343236,1320218173.45,83656
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-12,331.0,340.0,323.15,328.65,326.9,334.1,3208787,1063006403.25,48562
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-11,345.65,346.35,329.0,334.1,331.5,345.65,1609904,541882806.15,38543
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-07,349.0,354.7,342.65,345.65,345.95,348.3,754811,263614950.85,18404
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-06,355.4,355.4,343.0,348.3,348.85,356.65,3949692,1372920467.35,64607
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-05,359.0,362.3,351.75,356.65,356.5,359.3,2586583,925017164.3,60455
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-04,372.3,373.0,357.5,359.3,359.0,370.8,2192323,793182254.25,57660
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-02,374.45,375.0,368.6,370.8,370.25,374.45,168692,62529997.15,3860
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-03-01,368.6,377.0,368.6,374.45,374.55,366.1,1265406,473526712.3,46183
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-29,363.1,374.0,352.1,366.1,370.0,366.85,2837570,1024085918.0,53738
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-28,378.2,380.85,365.1,366.85,367.4,375.2,1029148,383643931.2,25449
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-27,367.75,383.2,367.75,375.2,375.8,367.5,4836300,1817410037.8,68531
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-26,373.2,376.4,366.0,367.5,369.0,373.05,810312,300504182.0,18702
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-23,376.3,381.9,371.55,373.05,374.8,376.0,2339054,881953501.4,42001
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-22,379.0,382.5,370.65,376.0,376.0,379.1,1354219,509127317.05,36865
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-21,387.9,392.5,372.6,379.1,379.5,386.15,1228317,471066250.95,39962
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-20,384.95,395.85,381.15,386.15,386.5,383.45,2231203,868476999.0,47564
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-19,366.0,397.0,366.0,383.45,385.0,363.05,5408581,2085289937.5,102390
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-16,365.45,375.0,359.0,363.05,361.95,362.8,1949143,714156429.25,37261
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-15,364.7,368.0,360.0,362.8,362.3,361.1,3216539,1168514151.7,27150
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-14,364.0,366.9,360.0,361.1,361.0,367.3,1036026,375256974.05,26844
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-13,369.0,383.55,364.0,367.3,368.5,362.9,2453532,910171070.7,74257
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-12,385.0,388.65,356.1,362.9,361.5,384.9,1761725,656468691.35,68181
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-09,395.8,397.9,381.05,384.9,385.65,395.8,1373901,533336259.9,33860
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-08,394.4,400.0,377.5,395.8,397.9,394.75,2553133,994639770.2,45660
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-07,405.0,408.15,393.0,394.75,393.25,404.5,2146706,856920872.3,48240
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-06,404.0,412.45,391.05,404.5,403.8,401.15,4713014,1893519936.5,99006
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-05,412.0,415.6,395.05,401.15,399.0,411.45,2617396,1059635934.95,73037
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-02,417.0,422.0,410.0,411.45,411.45,414.05,4885615,2024198477.1,93856
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-02-01,426.0,429.95,411.3,414.05,414.1,420.0,6608029,2750855160.2,86002
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-31,412.9,422.35,401.15,420.0,419.65,409.45,6680087,2753044391.9,60752
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-30,405.0,419.0,403.25,409.45,409.75,401.6,5180401,2131011171.1,131622
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-29,392.7,408.65,391.5,401.6,403.0,389.4,4457052,1788915937.15,66433
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-25,396.5,397.3,387.8,389.4,389.6,393.75,919080,360069846.7,18109
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-24,380.0,397.3,375.25,393.75,394.45,377.45,4181903,1639471431.65,90531
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-23,394.0,394.75,375.0,377.45,375.95,390.7,1454238,558310578.25,35212
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-20,394.75,394.9,385.5,390.7,388.5,391.85,1243835,485385278.8,17772
BLS International Services Limited,INE153T01027,2016-06-14,EQ,BLS,2024-01-19,392.25,399.0,387.3,391.85,389.8,389.5,2313808,912230582.6,46956
