StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-28,6050.0,6195.0,6048.65,6183.95,6186.0,6025.6,36913,225963321.35,7056
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-27,5999.5,6056.25,5825.0,6025.6,6025.0,5952.65,55318,331095086.75,15427
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-26,5829.0,5978.0,5748.0,5952.65,5930.0,5812.15,34461,203142326.05,11710
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-22,5715.0,5900.0,5681.0,5812.15,5780.0,5637.3,47473,275699459.5,6850
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-21,5679.0,5748.0,5600.0,5637.3,5644.0,5617.0,69250,391558325.85,5381
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-20,5583.45,5656.05,5501.0,5617.0,5620.0,5500.95,89757,501814158.65,5244
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-19,5638.0,5638.0,5486.6,5500.95,5494.0,5590.9,191318,1057661974.35,6173
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-18,5700.0,5715.0,5581.1,5590.9,5590.0,5699.85,32523,182548360.25,8288
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-15,5686.0,5744.95,5667.6,5699.85,5691.0,5684.1,25354,144464939.95,3093
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-14,5696.25,5799.0,5656.7,5684.1,5685.95,5696.25,11787,67302954.4,4777
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-13,5788.0,5825.0,5660.05,5696.25,5720.0,5780.9,13534,77364926.7,4384
Blue Dart Express Limited,INE233B01017,2002-12-12,EQ,BLUEDART,2024-03-12,5781.5,5868.0,5706.65,5780.9,5800.0,5781.5,10688,61645013.0,3378
