StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-28,1319.0,1331.95,1250.0,1273.7,1277.0,1301.0,479647,608255016.75,48700
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-27,1272.9,1310.6,1262.1,1301.0,1293.0,1265.45,320622,414792683.6,29743
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-26,1238.7,1272.9,1228.15,1265.45,1260.6,1241.3,180115,226816556.7,15230
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-22,1247.0,1254.8,1225.0,1241.3,1237.9,1247.25,222397,277178340.0,8951
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-21,1240.35,1262.2,1237.45,1247.25,1248.0,1231.6,262805,328323774.3,16144
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-20,1275.0,1282.0,1222.55,1231.6,1228.2,1276.65,170606,210959398.15,19347
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-19,1288.15,1295.0,1258.15,1276.65,1271.9,1285.55,50157,63745821.1,7638
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-18,1265.05,1295.0,1265.05,1285.55,1283.25,1280.0,76763,98553652.1,9890
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-15,1270.0,1290.0,1254.1,1280.0,1277.0,1260.75,292412,373952816.4,23166
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-14,1265.45,1300.8,1242.9,1260.75,1275.0,1266.8,111433,140428942.3,18140
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-13,1322.0,1325.75,1222.4,1266.8,1284.0,1309.25,347260,440680884.15,35272
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-12,1339.5,1341.8,1295.0,1309.25,1302.0,1325.85,185513,244006949.1,16248
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-11,1331.05,1359.0,1316.3,1325.85,1324.0,1323.9,221774,297233377.4,23279
Blue Star Limited,INE472A01039,2000-06-15,EQ,BLUESTARCO,2024-03-07,1257.0,1335.0,1245.95,1323.9,1318.1,1258.7,329291,430281413.45,35645
