StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-28,30499.95,30595.75,29730.95,30031.3,30004.0,30341.6,36810,1106864069.4,12989
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-27,30700.0,31150.0,30231.6,30341.6,30400.0,30680.35,51920,1590654919.9,16612
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-26,30245.0,30852.1,30180.1,30680.35,30505.0,30178.7,39017,1190920681.95,11020
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-22,30066.0,30450.0,29899.25,30178.7,30100.0,30066.25,38966,1179240654.9,12077
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-21,29932.8,30200.0,29907.95,30066.25,29970.0,29870.4,35457,1065425948.95,9727
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-20,29731.0,30197.35,29550.05,29870.4,29815.15,29746.9,44864,1341052016.9,13450
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-19,29800.05,29950.0,29380.4,29746.9,29727.95,29814.3,28685,852291694.1,10825
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-18,29500.05,29960.0,29392.45,29814.3,29800.0,29571.55,34319,1020194005.5,10923
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-15,29400.0,29763.8,28955.0,29571.55,29485.2,29401.0,53434,1570721429.95,18266
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-14,28429.95,29629.5,28238.1,29401.0,29421.8,28300.3,54457,1593418037.4,22408
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-13,29550.0,29850.0,28116.0,28300.3,28410.15,29473.0,58216,1677910045.1,23337
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-12,29477.4,29800.0,29302.4,29473.0,29450.0,29431.2,26775,790523173.55,11028
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-11,29819.95,30020.0,29257.05,29431.2,29399.95,29501.0,46917,1391040219.35,17630
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-07,30135.25,30468.05,29450.0,29501.0,29500.0,30110.55,50513,1508954734.35,16828
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-06,30200.0,30263.45,29553.15,30110.55,30131.4,30047.9,59027,1767072813.0,21307
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-05,29320.0,30250.0,29280.1,30047.9,30199.85,29313.4,67247,2002194435.1,22446
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-04,29038.95,29500.0,28550.1,29313.4,29444.6,29037.75,38585,1122480804.65,15744
Bosch Limited,INE323A01026,2003-05-12,EQ,BOSCHLTD,2024-03-02,29140.0,29290.0,29000.0,29037.75,29045.0,28939.7,756,22020663.9,490
