StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-28,924.45,944.05,908.25,935.3,935.0,923.7,438524,406495927.0,22266
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-27,909.0,957.0,908.95,923.7,922.95,910.35,730300,682392950.5,43312
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-26,935.85,937.6,888.6,910.35,910.0,932.0,763195,688042496.8,39209
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-22,908.9,974.9,906.05,932.0,934.4,904.25,1238932,1171915891.2,61474
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-21,880.0,920.0,875.2,904.25,901.75,875.2,626815,564309694.45,22319
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-20,876.05,889.4,849.0,875.2,875.0,867.2,182841,158721684.85,16597
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-19,856.55,876.0,846.1,867.2,876.0,854.9,497578,425416373.15,21774
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-18,869.25,872.85,846.9,854.9,856.95,869.3,234862,200930265.55,17562
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-15,844.4,887.85,834.0,869.3,863.0,844.75,540251,463878323.2,43451
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-14,845.0,869.45,830.6,844.75,844.0,858.15,895656,755992170.45,36926
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-13,850.0,871.75,827.0,858.15,862.0,859.0,669801,571963932.7,55208
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-12,875.8,878.1,846.8,859.0,862.9,875.85,432858,372227678.85,30016
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-11,907.8,917.9,857.9,875.85,873.55,914.8,552781,486716419.65,50117
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-07,936.85,938.7,898.05,914.8,919.9,936.85,397708,363746143.3,28092
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-06,979.0,985.05,923.05,936.85,938.45,972.9,293767,275890631.65,27299
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-05,1014.0,1014.5,967.0,972.9,969.45,1000.0,199532,196052883.45,14931
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-04,1019.0,1022.0,992.0,1000.0,992.0,1004.95,155075,155904461.2,10551
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-02,1009.65,1012.5,980.55,1004.95,1007.0,995.25,8208,8232908.45,1024
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-03-01,1001.0,1012.0,987.0,995.25,1000.0,1000.95,129488,129001357.85,11419
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-29,996.15,1060.0,983.0,1000.95,999.0,995.0,1660829,1696178585.35,71034
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-28,1020.8,1028.05,986.0,995.0,994.3,1023.6,123085,123174653.5,16098
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-27,999.0,1031.0,986.15,1023.6,1026.5,1001.0,147048,149295619.0,12667
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-26,1007.95,1011.45,987.95,1001.0,1006.3,1003.5,76910,77025741.2,8616
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-23,1003.9,1010.0,992.65,1003.5,1007.9,1003.9,218074,218250996.85,9906
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-22,1037.0,1055.25,983.0,1003.9,998.9,1005.0,714726,723965112.75,43640
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-21,987.9,1018.4,983.35,1005.0,1008.0,983.55,313516,313933866.75,26111
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-20,999.95,1009.2,977.15,983.55,986.0,997.4,273082,269766762.8,13404
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-19,1025.0,1028.1,986.0,997.4,999.0,1015.6,100575,101063571.85,10547
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-16,997.8,1035.05,984.3,1015.6,1019.0,986.1,264844,268433467.55,17316
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-15,959.7,999.6,959.7,986.1,988.0,959.7,217748,212595578.05,19008
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-14,949.8,974.95,942.05,959.7,964.5,951.9,177472,170250612.65,15059
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-13,975.9,978.65,940.85,951.9,952.25,973.75,359414,342689011.8,21646
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-12,1006.95,1009.45,957.7,973.75,970.0,998.85,165466,161411313.55,16428
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-09,1033.0,1033.0,982.05,998.85,998.0,1025.55,213893,213469777.2,15427
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-08,1071.95,1072.5,1020.1,1025.55,1028.0,1069.3,297857,308507093.15,23045
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-07,1070.0,1108.0,1052.85,1069.3,1052.85,1062.2,435929,470240726.8,31435
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-06,1060.0,1076.75,1001.0,1062.2,1055.0,1038.15,209332,221388884.9,24703
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-05,1030.0,1065.0,1012.3,1038.15,1036.0,1032.1,177448,182658078.6,19160
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-02,1014.0,1049.95,1009.45,1032.1,1018.0,1009.45,503262,519453574.55,18081
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-02-01,1026.0,1040.4,992.0,1009.45,999.2,1025.25,229954,232301972.3,13005
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-01-31,996.7,1038.0,991.65,1025.25,1020.0,987.2,371040,379132750.9,19025
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-01-30,1015.2,1066.6,976.0,987.2,993.95,1007.05,436488,449939652.55,35519
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-01-29,980.0,1010.85,975.1,1007.05,1007.0,974.95,214591,214042487.35,14945
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-01-25,950.7,978.8,944.05,974.95,970.25,950.25,180525,173572822.95,12782
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-01-24,934.0,956.15,903.55,950.25,945.0,923.95,289320,268564502.6,29574
Brigade Enterprises Limited,INE791I01019,2007-12-31,EQ,BRIGADE,2024-01-23,980.2,981.6,912.0,923.95,930.0,977.3,304042,286340279.95,27687
