StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-28,220.0,220.95,213.0,214.5,214.2,217.75,1165340,253327765.9,24996
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-27,222.1,224.5,216.1,217.75,217.8,221.4,1214637,268098503.25,25393
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-26,225.0,226.35,221.0,221.4,221.25,224.85,998595,222204658.65,19069
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-22,223.0,226.55,222.6,224.85,225.15,223.05,996584,224219577.8,16865
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-21,225.0,225.6,222.5,223.05,223.2,221.45,620697,138928540.55,11681
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-20,223.5,226.8,219.85,221.45,222.2,223.6,1012761,224718332.6,18372
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-19,229.5,231.9,222.75,223.6,223.5,228.65,930500,210507379.2,21655
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-18,231.75,234.35,227.55,228.65,228.8,232.25,787596,181038973.05,19375
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-15,223.05,239.85,223.05,232.25,232.9,220.7,12689044,2967851607.1,155110
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-14,223.9,226.85,219.15,220.7,223.0,222.3,1566799,348034059.85,32593
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-13,236.75,239.0,220.05,222.3,222.5,236.4,1491513,339392302.6,45863
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-12,241.3,242.6,235.1,236.4,236.0,240.3,871528,207513403.4,21437
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-11,247.0,248.25,237.2,240.3,240.4,246.8,1367543,332322732.3,19461
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-07,247.0,249.4,246.0,246.8,247.0,246.8,397520,98330994.9,10583
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-06,252.45,252.5,244.1,246.8,246.55,252.45,680997,168497261.65,20616
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-05,246.2,259.2,245.6,252.45,253.0,244.9,2857432,724526307.2,57365
Campus Activewear Limited,INE278Y01022,2022-05-09,EQ,CAMPUS,2024-03-04,248.3,248.3,244.1,244.9,245.2,247.2,438836,107645116.75,14593
