StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-28,2939.95,2980.15,2900.15,2915.65,2918.75,2920.6,187095,551815763.2,20551
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-27,3049.0,3049.0,2896.0,2920.6,2929.0,3021.3,345041,1015076308.75,34776
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-26,3088.0,3088.0,2985.0,3021.3,3014.0,3089.1,294070,885968765.1,36179
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-22,2938.8,3136.45,2922.3,3089.1,3085.0,2943.25,796076,2458418066.2,65534
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-21,2869.0,2965.0,2860.0,2943.25,2931.0,2831.85,151079,443547008.4,22726
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-20,2841.1,2878.0,2813.25,2831.85,2836.75,2825.4,140160,398490192.1,21236
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-19,2929.0,2929.0,2811.0,2825.4,2821.25,2926.65,149406,427757763.9,26853
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-18,2995.0,3032.35,2905.05,2926.65,2923.0,2994.8,192608,574126034.6,25230
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-15,2865.05,3049.0,2860.5,2994.8,3012.95,2882.25,268725,789145675.95,28333
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-14,2739.6,2905.0,2707.1,2882.25,2854.0,2744.9,172643,490334447.25,27685
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-13,2914.0,2971.45,2711.0,2744.9,2745.0,2914.2,458153,1302145495.55,49947
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-12,3000.0,3039.0,2897.9,2914.2,2904.55,3006.45,182309,540508056.35,29740
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-11,2903.95,3018.9,2902.0,3006.45,2996.0,2901.9,307906,917292568.05,40410
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-07,2975.0,3007.95,2882.2,2901.9,2915.0,2955.95,182025,533027191.35,25189
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-06,3050.0,3050.0,2936.0,2955.95,2962.0,3062.75,317310,942452306.25,36032
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-05,3043.0,3074.9,3000.0,3062.75,3058.0,3043.85,145353,441362777.9,17746
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-04,3129.0,3134.0,3022.0,3043.85,3046.0,3120.15,248800,760196935.65,25547
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-02,3119.95,3148.0,3103.8,3120.15,3109.65,3109.2,23712,74071566.7,2353
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-03-01,3099.0,3149.9,3083.0,3109.2,3115.0,3072.1,239450,746327142.1,27568
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-02-29,3082.65,3111.95,2990.15,3072.1,3084.0,3082.65,472395,1438354529.45,43424
Computer Age Management Services Limited,INE596I01012,2021-05-07,EQ,CAMS,2024-02-28,3157.0,3242.0,3060.0,3082.65,3080.5,3138.25,641196,2024575167.15,56541
