StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-28,568.15,587.8,568.1,581.05,582.45,564.25,10357827,6002787915.6,106644
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-27,571.85,574.7,562.35,564.25,565.5,571.85,4410227,2504628246.65,59491
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-26,571.95,574.65,567.3,571.85,572.05,573.15,4969623,2839555169.5,56754
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-22,563.9,577.5,563.45,573.15,571.05,563.9,5823098,3327812529.85,55947
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-21,560.0,568.5,558.0,563.9,564.0,551.05,5562847,3134657953.9,61737
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-20,549.9,554.35,535.55,551.05,552.95,548.4,6052421,3312079834.55,76417
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-19,552.7,555.8,546.15,548.4,546.7,553.05,4271199,2351732630.05,54929
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-18,550.0,556.0,545.1,553.05,554.4,549.15,5005443,2759124281.45,64904
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-15,547.0,554.0,529.75,549.15,549.0,547.0,9527125,5163099029.65,103831
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-14,534.0,554.65,529.1,547.0,548.0,536.45,9203619,5008038759.5,90756
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-13,569.05,571.65,529.45,536.45,535.0,566.9,12207180,6686030488.2,218383
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-12,586.25,589.1,565.0,566.9,566.1,586.25,8637213,4962583916.9,100801
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-11,597.95,602.4,584.2,586.25,585.5,597.95,6354256,3763919144.6,98073
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-07,600.1,605.5,594.0,597.95,597.6,600.0,5932111,3552223101.05,94720
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-06,604.0,606.3,585.1,600.0,599.85,602.45,8864146,5302592416.1,102566
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-05,590.8,604.0,588.1,602.45,603.95,591.9,11114961,6648146506.45,100400
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-04,588.8,594.45,584.0,591.9,591.4,586.75,6901156,4073065608.8,72576
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-02,580.85,591.2,580.0,586.75,586.9,578.65,1882834,1104734949.95,20753
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-03-01,570.0,579.4,568.0,578.65,579.2,564.45,7369785,4235372354.25,71760
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-02-29,551.05,567.95,544.25,564.45,567.7,550.45,9705711,5404101607.3,104165
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-02-28,574.5,574.75,547.65,550.45,550.5,571.9,12561517,6996743568.75,113443
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-02-27,579.3,584.3,567.3,571.9,571.8,573.25,10702657,6157312134.45,107920
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-02-26,584.0,584.0,570.0,573.25,571.9,580.45,8106910,4661408364.75,89321
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-02-23,585.0,598.8,578.15,580.45,579.65,582.2,16451936,9662116825.8,142523
Canara Bank,INE476A01022,2002-12-23,EQ,CANBK,2024-02-22,573.0,584.7,563.45,582.2,583.65,567.35,8046194,4614730229.7,75599
