StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-28,1229.15,1277.0,1229.15,1268.35,1254.9,1248.35,172832,219307518.55,19472
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-27,1222.8,1257.5,1220.25,1248.35,1239.0,1234.9,177783,221645617.95,24599
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-26,1244.0,1291.0,1221.1,1234.9,1227.95,1248.9,374570,472369466.25,30530
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-22,1168.1,1259.0,1154.9,1248.9,1231.95,1155.5,961299,1183704049.4,50172
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-21,1131.95,1166.0,1131.95,1155.5,1155.2,1120.7,369538,426348888.55,29849
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-20,1111.2,1134.25,1099.0,1120.7,1125.0,1111.2,163883,183660592.35,12883
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-19,1090.0,1115.0,1084.4,1111.2,1112.5,1089.9,58289,64462078.25,5341
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-18,1096.15,1114.4,1088.55,1089.9,1089.9,1096.15,427869,468082609.15,6832
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-15,1052.0,1107.0,1052.0,1096.15,1103.85,1069.5,94500,102997915.65,10866
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-14,1054.45,1094.0,1050.65,1069.5,1065.0,1060.85,91708,98489686.1,12106
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-13,1076.1,1076.1,1045.05,1060.85,1065.05,1078.55,307122,325866399.65,36102
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-12,1061.0,1082.75,1059.05,1078.55,1069.0,1069.7,60745,65190528.55,8000
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-11,1074.0,1074.0,1051.5,1069.7,1070.05,1065.3,36029,38342800.9,4977
Carborundum Universal Limited,INE120A01034,1996-04-03,EQ,CARBORUNIV,2024-03-07,1057.05,1087.5,1047.4,1065.3,1065.0,1058.05,289905,309332362.6,19274
