StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-28,1705.0,1729.7,1705.0,1711.95,1717.1,1686.05,2995595,5144101232.0,102503
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-27,1718.55,1749.75,1675.0,1686.05,1689.0,1788.9,21995292,37263120256.75,293214
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-26,1798.0,1819.0,1776.05,1788.9,1785.0,1787.35,755800,1359388612.15,53153
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-22,1760.0,1798.0,1755.1,1787.35,1785.0,1766.1,677206,1206720883.7,44736
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-21,1681.0,1778.6,1677.0,1766.1,1770.0,1657.6,1497640,2606593710.1,82329
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-20,1677.75,1684.5,1622.0,1657.6,1659.75,1677.75,694051,1146942499.1,48580
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-19,1686.7,1708.0,1670.0,1677.75,1677.0,1687.3,402198,678678553.25,36555
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-18,1704.8,1734.0,1681.1,1687.3,1685.0,1719.7,623603,1060145207.7,57319
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-15,1714.0,1757.7,1690.1,1719.7,1724.0,1709.35,864617,1487226713.3,57756
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-14,1679.7,1735.5,1650.0,1709.35,1710.0,1684.65,857724,1466911207.75,55902
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-13,1809.7,1825.0,1665.55,1684.65,1679.4,1807.45,1300232,2253705579.15,106708
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-12,1813.0,1821.9,1776.1,1807.45,1803.0,1810.6,710526,1282396392.45,49002
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-11,1830.6,1853.75,1806.0,1810.6,1807.0,1830.6,447401,818189043.15,37209
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-07,1853.0,1858.65,1825.8,1830.6,1833.0,1836.8,481857,885399413.05,34846
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-06,1880.0,1880.0,1810.1,1836.8,1838.0,1879.65,680849,1251098654.85,54042
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-05,1904.0,1907.7,1873.6,1879.65,1883.0,1900.75,392464,740052841.9,28231
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-04,1938.95,1944.8,1892.2,1900.75,1903.0,1929.6,547337,1044527603.8,39354
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-02,1923.5,1933.0,1912.95,1929.6,1930.1,1918.55,87871,169317780.6,5083
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-03-01,1925.0,1958.0,1908.1,1918.55,1915.05,1917.15,635328,1225769185.75,33642
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-02-29,1934.8,1934.8,1882.85,1917.15,1920.0,1931.05,966164,1845954152.55,46597
Central Depository Services (India) Limited,INE736A01011,2017-06-30,EQ,CDSL,2024-02-28,1923.0,1980.0,1917.0,1931.05,1925.0,1913.95,2128319,4159138967.6,95744
