StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-28,2687.95,2699.0,2636.85,2682.4,2661.0,2677.0,116509,311777063.65,11129
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-27,2642.0,2684.95,2632.55,2677.0,2664.0,2626.8,111573,297427850.1,9659
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-26,2600.0,2645.0,2578.75,2626.8,2628.3,2593.0,77839,203681343.3,11889
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-22,2528.0,2602.0,2503.15,2593.0,2585.0,2528.15,111440,286997005.75,13435
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-21,2499.95,2538.95,2470.0,2528.15,2515.0,2471.55,101642,255573360.65,10775
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-20,2547.05,2558.9,2450.0,2471.55,2465.0,2551.1,161720,403653425.85,17962
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-19,2511.0,2565.0,2490.0,2551.1,2552.0,2540.75,115408,292879416.1,9722
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-18,2514.0,2550.0,2460.1,2540.75,2545.0,2500.1,232360,578799147.7,15989
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-15,2500.0,2555.55,2428.2,2500.1,2500.0,2497.35,143876,359015983.7,17504
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-14,2494.75,2550.55,2468.75,2497.35,2500.0,2497.25,103397,260672841.0,15266
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-13,2588.9,2614.8,2466.6,2497.25,2475.0,2588.9,280519,720261083.65,33614
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-12,2680.0,2680.0,2577.0,2588.9,2584.25,2672.1,156536,408445265.25,20830
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-11,2785.95,2787.1,2654.3,2672.1,2669.0,2773.3,149858,403480332.05,19391
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-07,2810.0,2840.0,2765.3,2773.3,2774.55,2798.6,96548,270066337.55,13619
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-06,2870.0,2899.0,2751.05,2798.6,2795.55,2869.8,134295,377078487.7,14399
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-05,2893.0,2969.95,2860.0,2869.8,2875.0,2893.65,181740,529436102.45,17523
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-04,2854.0,2905.0,2828.0,2893.65,2888.0,2847.2,100252,288270361.25,13511
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-02,2864.0,2925.0,2841.15,2847.2,2842.05,2843.35,4819,13744946.25,868
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-03-01,2870.0,2905.0,2834.65,2843.35,2852.0,2855.4,58087,166668099.15,9487
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-29,2825.0,2895.0,2775.7,2855.4,2861.0,2819.2,107115,303083425.15,13976
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-28,2883.95,2930.15,2800.0,2819.2,2830.0,2877.45,150686,428307411.65,16908
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-27,2880.0,2922.0,2841.0,2877.45,2877.9,2879.55,109114,313812582.5,13240
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-26,2926.6,2982.9,2865.2,2879.55,2877.75,2916.35,144373,422181270.6,17152
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-23,2914.7,2993.75,2891.45,2916.35,2919.0,2906.85,311606,916603681.65,30468
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-22,2884.05,2933.1,2828.0,2906.85,2906.0,2885.0,110501,319985223.2,14030
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-21,2897.8,2948.0,2861.4,2885.0,2862.55,2893.05,168547,489558931.15,17162
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-20,2896.0,2914.3,2868.35,2893.05,2902.0,2898.0,85690,248455402.8,9357
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-19,2889.4,2930.0,2852.1,2898.0,2900.0,2888.4,109612,317840298.6,11329
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-16,2822.0,2914.95,2818.8,2888.4,2870.55,2818.8,240231,692864715.65,26017
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-15,2811.95,2870.7,2801.0,2818.8,2815.25,2808.95,182351,517792148.1,19221
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-14,2712.65,2824.0,2681.15,2808.95,2800.0,2764.75,201670,562617633.3,23195
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-13,2691.0,2787.85,2631.15,2764.75,2749.9,2696.9,186295,507865966.75,22197
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-12,2808.0,2808.0,2670.0,2696.9,2712.0,2800.35,197325,540504310.25,23302
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-09,2782.0,2832.0,2725.0,2800.35,2797.05,2784.15,180088,498394470.9,16724
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-08,2754.7,2835.0,2745.0,2784.15,2781.9,2752.0,287257,802671929.65,29126
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-07,2760.95,2791.6,2682.05,2752.0,2742.0,2728.15,221577,607401270.15,20864
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-06,2628.0,2740.0,2620.0,2728.15,2730.0,2600.0,256245,689509466.85,26735
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-05,2630.0,2682.6,2582.0,2600.0,2607.7,2607.25,189129,500060941.15,22068
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-02,2644.0,2724.0,2526.1,2607.25,2612.0,2616.55,397768,1053359737.05,38171
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-02-01,2658.85,2694.5,2604.0,2616.55,2620.0,2650.5,178691,472384187.35,19979
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-31,2668.0,2785.0,2610.0,2650.5,2637.9,2649.05,535583,1445337508.3,45366
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-30,2755.2,2757.2,2630.0,2649.05,2640.95,2724.9,214001,576960776.0,20551
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-29,2820.0,2833.85,2706.0,2724.9,2726.0,2833.85,441149,1208550897.0,37661
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-25,2876.05,2876.05,2769.35,2833.85,2830.0,2876.15,438596,1236213416.4,41320
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-24,2759.0,2900.0,2730.35,2876.15,2880.1,2754.15,537020,1515917652.3,47643
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-23,2914.05,2949.0,2745.0,2754.15,2749.0,2914.0,603616,1686361336.9,51956
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-20,2600.0,2998.45,2600.0,2914.0,2889.0,2594.75,2204964,6348640879.25,141910
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-19,2538.95,2641.0,2528.35,2594.75,2595.05,2521.4,647863,1682559019.2,40673
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-18,2427.0,2541.55,2380.1,2521.4,2515.0,2423.0,436846,1089714787.8,35111
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-17,2470.5,2533.75,2412.0,2423.0,2422.0,2497.5,274508,676414388.85,23866
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-16,2501.45,2511.0,2456.3,2497.5,2496.0,2494.6,127178,317283925.75,11242
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-15,2491.35,2508.95,2466.0,2494.6,2498.0,2490.75,67774,168809625.45,7610
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-12,2514.95,2518.0,2479.0,2490.75,2482.0,2496.95,92915,231751859.8,9690
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-11,2490.0,2514.4,2462.0,2496.95,2488.8,2451.4,248124,618178848.3,19293
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-10,2463.9,2469.95,2415.4,2451.4,2445.55,2454.85,129935,316900521.35,9745
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-09,2419.95,2482.05,2419.9,2454.85,2455.05,2411.05,152913,375578818.0,12199
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-08,2443.0,2443.0,2389.25,2411.05,2410.0,2443.05,130850,315113417.15,10171
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-05,2448.95,2465.0,2411.1,2443.05,2432.1,2446.45,95867,234169218.25,11966
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-04,2445.0,2455.0,2427.0,2446.45,2446.9,2447.45,88028,215106613.8,8735
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-03,2422.95,2471.65,2406.6,2447.45,2445.0,2416.4,138087,337811812.35,14655
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-02,2430.0,2448.25,2381.0,2416.4,2415.5,2431.0,132338,320137814.75,13243
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2024-01-01,2458.0,2458.0,2409.65,2431.0,2428.0,2427.0,80911,197355631.75,9635
CEAT Limited,INE482A01020,2008-02-01,EQ,CEATLTD,2023-12-29,2401.0,2456.0,2384.05,2427.0,2420.0,2384.75,271111,660169063.85,20154
