StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-28,784.0,784.0,756.1,774.0,771.3,776.45,239347,184368780.25,10213
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-27,772.0,785.0,760.05,776.45,780.0,766.4,253440,195590702.45,13453
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-26,785.0,785.85,758.45,766.4,765.0,786.0,205122,157102888.35,8221
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-22,787.4,789.65,775.35,786.0,780.05,785.0,83165,64882102.45,3846
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-21,788.95,793.6,777.75,785.0,782.0,784.75,112868,88529828.3,17494
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-20,776.4,797.8,761.2,784.75,780.0,789.05,149983,116386893.85,10400
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-19,784.3,799.0,760.0,789.05,786.1,784.35,272922,215217957.95,12427
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-18,752.0,795.9,740.4,784.35,785.0,748.95,1574011,1186431018.95,15084
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-15,749.0,765.9,740.05,748.95,749.95,749.45,433602,325838882.05,8961
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-14,723.4,758.4,711.2,749.45,746.5,723.4,641798,475365571.5,15323
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-13,786.75,786.75,715.25,723.4,727.0,783.1,539245,400810423.05,28960
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-12,812.0,812.0,770.0,783.1,783.8,806.5,254472,199426482.0,14583
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-11,813.0,814.95,800.1,806.5,803.7,804.5,381718,307943001.8,13913
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-07,808.25,812.45,799.0,804.5,804.95,805.2,252797,203639357.75,22867
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-06,824.0,832.0,802.25,805.2,803.5,813.65,285890,232075361.15,16106
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-05,825.05,827.95,799.6,813.65,825.0,825.25,274895,222455147.2,11663
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-04,848.5,850.0,823.7,825.25,825.0,847.7,211632,175851165.5,8624
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-02,829.95,855.0,825.05,847.7,846.3,827.05,57469,48668915.8,1731
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-03-01,865.0,865.0,823.0,827.05,826.75,853.4,228681,191100075.8,11661
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-29,848.8,870.0,836.65,853.4,852.0,854.1,1302287,1113839465.0,32631
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-28,884.9,888.3,841.1,854.1,849.0,875.8,334636,286572385.4,16550
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-27,870.0,885.0,863.5,875.8,878.0,842.8,971687,853352564.6,37075
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-26,837.7,848.65,826.15,842.8,838.6,837.7,229868,193115173.05,11808
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-23,807.0,842.0,796.3,837.7,835.5,800.9,1647024,1354801802.7,17954
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-22,824.0,824.0,795.5,800.9,805.1,822.2,219978,176752770.05,11177
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-21,817.0,830.0,810.9,822.2,818.05,809.15,429151,352264543.75,20192
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-20,811.0,821.25,795.0,809.15,810.0,809.85,238760,192428233.6,15914
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-19,831.0,834.9,806.2,809.85,809.55,831.9,346265,282692445.6,15431
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-16,824.9,839.0,824.6,831.9,830.4,820.25,154904,128794725.15,12371
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-15,829.0,830.0,815.0,820.25,822.5,821.85,350235,287196756.15,12739
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-14,808.0,829.0,800.0,821.85,820.0,815.9,211994,173114288.4,8543
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-13,830.0,832.95,800.0,815.9,816.0,825.2,523518,425493319.7,18814
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-12,828.0,849.0,816.6,825.2,822.95,844.55,579007,477797489.6,13221
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-09,868.0,869.9,835.0,844.55,847.95,859.1,214381,181667548.35,11963
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-08,848.1,872.0,848.1,859.1,857.95,851.95,354544,305994259.0,11247
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-07,878.0,889.25,849.9,851.95,852.0,868.65,369735,318637606.75,16719
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-06,857.95,874.4,840.5,868.65,870.1,842.7,369969,318537708.0,15885
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-05,865.05,883.7,838.1,842.7,845.5,861.8,349674,299876981.35,18195
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-02,834.0,875.4,834.0,861.8,867.7,831.0,805164,693884648.75,22761
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-02-01,837.0,844.15,827.0,831.0,830.0,845.2,162367,135143179.8,9903
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-31,855.0,860.0,819.6,845.2,842.2,862.15,1042873,872134759.75,56527
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-30,871.95,873.95,858.1,862.15,864.95,860.15,236175,204284934.15,8777
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-29,837.0,886.0,833.55,860.15,859.95,838.85,1282771,1098933581.3,21434
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-25,853.0,854.9,828.4,838.85,834.25,848.3,189945,159262005.35,8735
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-24,856.95,870.95,831.15,848.3,847.8,856.3,215536,183099790.35,16491
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-23,885.0,885.0,845.1,856.3,855.2,876.25,193053,166809817.95,8290
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-20,874.25,880.0,867.85,876.25,874.95,867.4,40537,35450751.2,2509
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-19,889.15,889.15,865.0,867.4,867.8,870.0,90756,79123051.1,6125
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-18,878.8,880.6,857.05,870.0,870.0,876.55,213300,185612758.1,12516
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-17,885.0,894.75,873.5,876.55,879.9,895.1,102542,90448529.95,6793
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-16,902.2,907.0,877.0,895.1,902.0,902.2,179316,160106159.6,11536
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-15,909.95,912.0,893.1,902.2,902.6,900.55,163673,148009870.2,10123
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-12,890.15,908.65,883.05,900.55,899.9,880.9,239803,215545012.1,15998
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-11,889.0,920.0,862.1,880.9,885.0,887.6,870172,776275534.65,30768
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-10,878.9,893.0,867.35,887.6,883.65,881.25,181628,159605762.75,12146
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-09,888.3,905.95,873.0,881.25,875.0,877.65,390764,346887055.0,15885
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-08,857.8,897.3,850.35,877.65,883.95,857.25,872714,768100131.25,33122
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-05,871.2,881.95,854.75,857.25,855.7,871.2,1237562,1067909381.4,20739
Cello World Limited,INE0LMW01024,2023-11-06,EQ,CELLO,2024-01-04,829.0,875.0,828.95,871.2,870.1,828.25,1616636,1379052776.45,36159
