StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-28,626.0,658.9,625.95,640.05,641.0,626.1,248207,160077725.7,17458
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-27,640.0,642.8,622.1,626.1,630.6,639.95,116260,73466819.7,10765
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-26,638.1,650.0,627.8,639.95,635.0,638.1,92258,58951440.45,9143
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-22,637.0,650.0,633.1,638.1,640.15,637.4,103437,66416704.85,10036
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-21,638.0,644.0,630.4,637.4,635.3,630.0,211332,134553188.65,10618
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-20,639.75,647.55,626.5,630.0,630.0,639.75,252840,159555866.45,18975
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-19,650.65,650.65,636.45,639.75,636.75,647.4,44971,28920790.25,5211
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-18,667.05,667.95,645.0,647.4,647.0,667.05,104602,68299714.25,7261
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-15,682.9,684.75,654.3,667.05,664.0,690.15,223627,150720437.5,14459
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-14,639.95,699.5,635.05,690.15,693.5,650.35,1358166,911872035.7,24291
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-13,660.85,669.4,646.4,650.35,650.05,660.8,278382,181184937.2,15439
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-12,654.5,669.05,647.0,660.8,660.0,654.65,157258,103824379.45,11103
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-11,667.0,667.0,650.2,654.65,656.5,667.5,743295,485254793.25,11509
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-07,660.0,671.25,656.8,667.5,667.7,665.9,120758,80332743.4,10615
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-06,690.0,693.85,650.25,665.9,666.0,689.65,264500,175280450.5,24759
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-05,698.0,700.5,670.05,689.65,693.1,696.8,228317,156221903.1,24864
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-04,716.55,719.0,692.15,696.8,695.95,716.55,235430,164825218.2,17420
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-02,716.0,720.8,709.95,716.55,715.05,709.35,5661,4054427.65,571
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-03-01,705.8,717.95,704.05,709.35,710.3,707.4,43122,30705211.85,6101
Century Plyboards (India) Limited,INE348B01021,2006-03-23,EQ,CENTURYPLY,2024-02-29,715.15,719.0,696.35,707.4,706.5,715.15,130426,92230034.55,12325
