StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-28,205.7,208.0,200.0,204.1,201.5,204.65,273787,55873990.2,13118
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-27,202.75,208.0,200.0,204.65,206.0,202.75,1061285,214599860.4,19906
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-26,203.65,204.8,198.9,202.75,201.95,202.2,311295,62873210.85,16514
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-22,205.9,208.85,201.2,202.2,201.3,205.2,143928,29384323.45,4961
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-21,207.15,209.75,197.65,205.2,205.8,208.3,625267,126861497.6,12423
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-20,207.0,211.95,196.0,208.3,207.15,205.9,430566,87603367.45,11667
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-19,206.0,214.0,202.5,205.9,204.35,214.7,411514,84829378.05,11717
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-18,208.45,219.0,202.4,214.7,216.7,208.5,194687,40939500.8,5561
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-15,211.55,213.05,202.95,208.5,209.45,211.5,115936,24078093.15,4345
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-14,204.25,214.65,195.55,211.5,211.3,204.95,411369,85265791.0,22490
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-13,221.0,226.0,201.8,204.95,204.9,221.3,318755,67866641.25,20596
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-12,230.15,230.2,219.8,221.3,222.0,229.3,551020,124279975.45,25296
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-11,248.1,250.8,228.35,229.3,228.7,247.55,572747,134182006.4,30017
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-07,248.1,256.4,237.4,247.55,248.25,248.4,1797056,446281987.4,50911
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-06,280.0,282.7,245.0,248.4,248.5,289.25,3797289,997286013.7,83284
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-05,256.0,289.25,256.0,289.25,289.25,964.15,2707312,762614719.25,40833
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-04,985.0,993.95,960.0,964.15,964.5,979.45,182634,177326024.5,14308
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-02,997.45,1010.0,968.05,979.45,975.05,989.65,103440,102530736.1,3840
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-03-01,972.9,994.55,967.55,989.65,990.3,964.8,180881,177431294.4,12355
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-02-29,972.05,976.65,952.1,964.8,969.95,971.5,98233,94342628.55,8544
Capri Global Capital Limited,INE180C01042,2010-10-29,EQ,CGCL,2024-02-28,988.5,993.0,965.0,971.5,971.85,977.95,106533,104107287.65,9005
