StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-28,875.05,958.0,875.05,883.3,889.5,871.75,3035993,2790570184.05,100075
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-27,868.8,910.45,806.9,871.75,870.15,868.8,993361,875141016.4,48242
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-26,818.0,895.4,811.15,868.8,868.9,819.1,1150022,996819113.05,42338
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-22,815.05,831.65,809.4,819.1,820.0,823.45,612128,500179408.05,29686
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-21,790.1,832.2,790.1,823.45,817.0,794.4,1115264,907508203.05,43619
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-20,743.5,798.4,742.35,794.4,792.55,743.5,1449745,1140749151.75,67548
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-19,742.0,749.9,730.0,743.5,743.85,738.0,77176,57198745.95,11479
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-18,737.35,746.75,725.05,738.0,738.5,735.25,125077,91573559.5,10010
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-15,719.95,759.0,702.75,735.25,759.0,716.35,2257194,1657836189.75,83453
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-14,681.05,725.15,681.05,716.35,717.05,725.15,388067,274635465.8,37937
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-13,734.3,755.0,705.45,725.15,730.0,741.95,486848,351717418.95,48638
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-12,750.85,766.55,720.0,741.95,745.1,743.4,447739,329452660.1,35981
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-11,756.8,760.55,719.6,743.4,757.9,753.5,451243,332618618.75,28732
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-07,765.0,789.75,750.6,753.5,754.6,765.25,225295,171082678.3,22566
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-06,799.6,802.25,763.0,765.25,764.0,795.3,241310,186516095.55,20531
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-05,818.35,820.15,786.0,795.3,802.55,812.6,182679,146590231.25,17424
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-04,826.6,834.95,803.25,812.6,813.8,818.55,154407,125435790.15,15084
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-02,799.0,825.0,792.45,818.55,825.0,797.65,15846,12830611.0,1143
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-03-01,818.35,822.4,790.0,797.65,796.95,810.5,288145,231291461.25,22974
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-02-29,819.05,827.65,792.95,810.5,814.0,819.75,408948,330583195.65,23520
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-02-28,849.7,849.7,811.35,819.75,816.0,840.15,238183,196308028.8,18534
Chalet Hotels Limited,INE427F01016,2019-02-07,EQ,CHALET,2024-02-27,854.0,865.0,838.3,840.15,839.1,849.85,241613,204739936.05,17571
