StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,EQ,CHOLAFIN,2024-03-28,1130.2,1168.6,1130.2,1156.6,1161.0,1130.2,1845633,2132192117.95,122239
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N3,CHOLAFIN,2024-03-28,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,5,5425.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N6,CHOLAFIN,2024-03-28,1024.0,1024.0,1024.0,1024.0,1024.0,1010.0,5,5120.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N9,CHOLAFIN,2024-03-28,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,1000.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NB,CHOLAFIN,2024-03-28,990.0,990.0,990.0,990.0,990.0,990.0,10,9900.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NJ,CHOLAFIN,2024-03-28,981.0,981.0,981.0,981.0,981.0,981.0,10,9810.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NC,CHOLAFIN,2024-03-27,980.0,980.0,980.0,980.0,980.0,1000.0,10,9800.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,ND,CHOLAFIN,2024-03-27,1000.0,1012.0,1000.0,1012.0,1012.0,1000.0,160,160495.0,4
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NB,CHOLAFIN,2024-03-27,987.68,990.0,987.68,990.0,990.0,987.68,1001,990987.68,2
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N8,CHOLAFIN,2024-03-27,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1,1025.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,EQ,CHOLAFIN,2024-03-27,1119.0,1133.0,1113.1,1130.2,1127.05,1115.2,1445844,1627798156.4,55557
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N3,CHOLAFIN,2024-03-27,1085.0,1085.0,1085.0,1085.0,1085.0,1025.0,5,5425.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N6,CHOLAFIN,2024-03-27,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,5,5050.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N7,CHOLAFIN,2024-03-27,1014.0,1014.0,1014.0,1014.0,1014.0,1040.0,11,11154.0,2
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NF,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,3,3000.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NE,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1000.0,1010.0,1,1000.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,ND,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1000.0,982.0,1,1000.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NC,CHOLAFIN,2024-03-26,990.0,1000.0,990.0,1000.0,1000.0,980.0,12,11900.0,2
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N4,CHOLAFIN,2024-03-26,1024.0,1024.0,1024.0,1024.0,1024.0,1035.0,1,1024.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NH,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1000.0,931.0,2,2000.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NJ,CHOLAFIN,2024-03-26,981.0,981.0,981.0,981.0,981.0,981.0,17,16677.0,2
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,EQ,CHOLAFIN,2024-03-26,1080.4,1131.0,1077.5,1115.2,1113.6,1089.4,3092010,3429261207.8,141647
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NM,CHOLAFIN,2024-03-26,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,10000.0,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,NG,CHOLAFIN,2024-03-22,1005.85,1005.85,1005.85,1005.85,1005.85,1003.26,1,1005.85,1
Cholamandalam Investment and Finance Company Limited,INE121A01024,1996-05-15,N7,CHOLAFIN,2024-03-22,1039.9,1040.0,1039.8,1040.0,1040.0,1037.0,114,118548.2,19
