StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-28,1108.0,1123.0,1082.8,1111.5,1123.0,1096.05,85097,93364755.0,12490
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-27,1084.6,1108.0,1071.9,1096.05,1094.5,1084.6,72256,79109047.65,10170
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-26,1083.35,1094.0,1058.7,1084.6,1071.0,1087.45,66136,71162105.2,12734
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-22,1044.65,1098.1,1043.05,1087.45,1082.0,1050.8,186103,198989573.7,13531
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-21,1010.0,1053.0,1003.5,1050.8,1052.0,1000.45,69977,72506796.35,11000
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-20,1010.1,1034.0,989.05,1000.45,999.0,1012.1,63140,63243349.9,7217
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-19,1030.0,1030.0,999.35,1012.1,1014.05,1030.05,178369,179998733.0,9341
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-18,1046.95,1046.95,1006.05,1030.05,1030.0,1035.0,213659,216486899.7,9656
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-15,1029.15,1068.05,1014.2,1035.0,1028.0,1031.15,239672,246824422.05,19755
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-14,1030.15,1047.55,1002.55,1031.15,1025.05,1049.35,246119,254724560.95,33652
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-13,1085.0,1085.0,1012.1,1049.35,1055.0,1085.2,302011,315775507.35,16320
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-12,1103.0,1103.0,1067.1,1085.2,1085.0,1095.65,124931,134948299.1,11773
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-11,1093.2,1102.0,1080.15,1095.65,1090.0,1080.05,163326,178966903.45,17435
Cholamandalam Financial Holdings Limited,INE149A01033,2017-09-25,EQ,CHOLAHLDNG,2024-03-07,1041.0,1102.0,1031.1,1080.05,1102.0,1041.45,52311,55382456.85,7750
