StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-28,455.9,467.0,452.75,461.8,461.0,453.05,515443,236688333.35,29704
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-27,447.0,457.85,442.1,453.05,457.0,445.1,883698,400623048.1,51943
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-26,445.55,449.0,440.5,445.1,445.4,445.55,262268,116677722.75,15232
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-22,443.85,449.7,440.0,445.55,445.4,441.65,237917,106014042.65,14927
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-21,438.05,442.8,435.65,441.65,442.3,433.95,327346,144162650.5,15135
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-20,435.0,438.4,426.65,433.95,434.1,436.55,612458,265331847.5,16637
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-19,442.3,443.4,434.35,436.55,436.8,439.35,191354,83843229.25,14601
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-18,437.75,445.0,434.5,439.35,439.0,434.6,601975,264248384.65,16019
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-15,430.0,438.7,425.05,434.6,435.0,430.1,356112,154794277.5,20139
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-14,406.8,432.3,406.8,430.1,430.0,419.2,511224,217356554.35,24202
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-13,440.0,440.05,416.0,419.2,416.5,440.0,1076738,460442231.35,36433
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-12,437.0,441.3,434.0,440.0,436.9,441.0,304589,133268888.0,15423
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-11,446.0,446.45,433.35,441.0,441.15,445.6,1234903,541773177.95,18365
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-07,445.7,448.8,442.25,445.6,446.0,443.55,970570,431134123.8,19126
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-06,445.0,452.65,441.0,443.55,442.65,446.3,2725271,1206850719.8,44202
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-05,455.4,455.65,441.6,446.3,445.45,452.9,681525,303306842.7,28825
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-04,448.55,461.85,439.3,452.9,455.4,447.65,2917864,1295362827.25,47329
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-02,446.7,449.0,441.2,447.65,448.8,441.1,27564,12297701.15,1784
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-03-01,444.7,453.9,438.0,441.1,442.05,440.9,2414414,1075856283.1,35585
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-29,452.55,454.7,438.0,440.9,444.35,453.65,1574220,695183948.1,40330
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-28,464.2,464.2,452.35,453.65,454.8,461.2,445739,203251239.25,23631
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-27,461.25,468.85,458.75,461.2,462.3,457.65,483600,223846657.65,22491
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-26,470.0,471.05,454.1,457.65,462.45,470.1,650923,298652233.25,25056
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-23,468.65,473.95,466.3,470.1,468.05,464.85,483143,227241982.65,15782
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-22,467.4,469.8,458.95,464.85,466.7,462.35,477330,221136820.5,26514
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-21,473.25,477.65,459.0,462.35,463.0,472.85,837924,390723054.05,36492
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-20,483.25,494.1,470.0,472.85,474.5,483.25,1430233,679929668.4,37927
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-19,490.1,496.5,481.2,483.25,482.55,483.6,375543,182869815.7,29967
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-16,484.0,485.95,477.0,483.6,484.0,480.55,314076,151216431.1,22393
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-15,487.0,492.9,478.7,480.55,481.5,483.55,490191,237813330.9,20217
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-14,471.2,486.6,467.0,483.55,484.7,474.55,237135,113690918.35,19873
CIE Automotive India Limited,INE536H01010,2007-08-30,EQ,CIEINDIA,2024-02-13,482.9,483.2,468.35,474.55,474.6,484.45,364955,173120557.45,32694
