StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-28,1356.0,1360.0,1316.15,1329.35,1325.0,1348.25,226251,301748964.35,27095
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-27,1322.8,1355.5,1307.2,1348.25,1352.0,1314.05,242499,323447247.65,22012
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-26,1307.3,1318.8,1290.05,1314.05,1309.0,1307.3,177336,231730184.55,17591
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-22,1300.0,1322.85,1298.0,1307.3,1315.6,1296.85,87200,114270961.7,7968
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-21,1300.0,1317.9,1295.0,1296.85,1302.0,1300.8,80543,104894056.0,8613
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-20,1305.0,1327.0,1280.0,1300.8,1300.0,1304.35,86002,111783063.85,9904
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-19,1288.0,1315.0,1286.05,1304.35,1305.0,1287.65,84913,110325488.65,9432
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-18,1310.0,1313.85,1280.05,1287.65,1284.7,1299.25,116183,150124237.25,13020
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-15,1309.0,1333.0,1296.6,1299.25,1300.0,1301.45,139567,182150002.05,14188
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-14,1290.15,1322.0,1277.2,1301.45,1305.0,1290.15,185968,242319168.8,20958
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-13,1339.95,1346.7,1285.0,1290.15,1286.5,1336.55,125540,163897261.7,17236
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-12,1343.8,1354.2,1314.0,1336.55,1339.0,1343.8,110285,146854570.55,15360
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-11,1375.05,1378.6,1340.0,1343.8,1342.0,1375.25,103414,139946588.25,13441
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-07,1386.95,1400.9,1371.05,1375.25,1375.0,1379.2,70821,97793523.55,11271
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-06,1406.65,1406.65,1366.0,1379.2,1390.0,1407.25,102690,141473998.95,13147
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-05,1392.4,1426.05,1385.15,1407.25,1409.8,1389.85,193573,271811406.35,13276
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-04,1419.7,1422.8,1387.05,1389.85,1390.75,1417.55,74596,104187295.15,10137
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-02,1401.0,1432.0,1401.0,1417.55,1415.0,1400.5,8361,11862442.55,1267
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-03-01,1414.7,1418.85,1397.75,1400.5,1405.0,1413.4,75346,105948497.35,8663
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-29,1409.05,1423.3,1402.0,1413.4,1411.5,1419.7,62918,88823541.2,8597
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-28,1464.4,1469.7,1408.0,1419.7,1415.0,1461.05,68388,97865130.0,8678
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-27,1464.4,1475.0,1452.05,1461.05,1462.0,1465.5,73771,107872611.7,10740
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-26,1468.25,1483.3,1445.0,1465.5,1465.45,1468.0,104863,153084737.3,9432
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-23,1459.95,1474.8,1456.2,1468.0,1470.0,1452.0,180134,264265647.8,10035
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-22,1478.45,1480.55,1426.15,1452.0,1456.7,1465.6,149889,217311670.5,13888
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-21,1422.85,1477.05,1412.45,1465.6,1466.0,1406.45,276292,401721693.9,28971
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-20,1414.9,1414.9,1401.85,1406.45,1409.0,1401.6,84892,119537611.05,9394
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-19,1413.9,1424.0,1397.75,1401.6,1403.0,1392.35,114072,160810956.9,11327
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-16,1403.95,1408.95,1387.15,1392.35,1392.0,1390.9,71213,99379860.0,14257
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-15,1400.0,1414.55,1385.7,1390.9,1395.0,1381.85,65908,92328762.75,8524
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-14,1380.15,1394.95,1373.3,1381.85,1383.0,1396.0,105861,146290123.95,12413
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-13,1399.9,1406.45,1376.0,1396.0,1393.5,1395.25,60199,83784373.05,9452
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-12,1430.0,1430.0,1386.05,1395.25,1393.95,1405.7,87968,123228551.2,13015
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-09,1395.5,1427.7,1381.1,1405.7,1405.0,1372.1,196945,277087991.9,21287
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-08,1409.0,1413.7,1370.0,1372.1,1375.8,1408.25,127592,176856243.2,19173
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-07,1400.05,1424.85,1400.05,1408.25,1409.95,1404.65,68272,96241742.4,7845
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-06,1409.95,1420.0,1395.8,1404.65,1408.0,1400.0,90278,126927768.85,12540
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-05,1458.0,1460.0,1394.0,1400.0,1402.0,1461.45,222174,314088782.25,31288
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-02,1489.0,1499.0,1455.8,1461.45,1469.0,1478.45,72332,106803955.45,10688
Clean Science and Technology Limited,INE227W01023,2021-07-19,EQ,CLEAN,2024-02-01,1496.0,1503.95,1462.0,1478.45,1484.95,1493.55,69802,103170573.4,9561
