StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-28,883.4,891.1,866.25,871.8,871.5,872.45,905880,795038885.25,30186
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-27,895.0,901.2,865.0,872.45,877.0,893.25,1647346,1457927116.5,47720
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-26,906.85,909.75,878.0,893.25,891.1,902.45,1637539,1459200795.6,47093
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-22,898.0,930.8,897.05,902.45,905.95,895.85,3150242,2873343580.9,72971
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-21,887.45,922.9,884.7,895.85,897.35,878.25,4687245,4255413805.25,109972
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-20,888.8,903.95,875.0,878.25,877.0,881.2,1640751,1452728385.5,54400
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-19,873.85,911.35,864.25,881.2,885.0,875.5,4560368,4060705704.15,125413
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-18,897.0,912.35,870.45,875.5,875.0,890.45,3171617,2824352401.75,110095
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-15,805.0,905.0,788.6,890.45,897.0,804.3,11812467,10190374297.05,278349
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-14,739.95,814.0,713.35,804.3,803.0,730.8,3713524,2890174801.85,132102
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-13,820.0,837.2,716.45,730.8,740.0,818.05,3454793,2645873364.15,159123
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-12,850.0,856.0,814.2,818.05,818.0,848.3,1407869,1164119486.5,62803
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-11,867.2,867.2,845.0,848.3,845.0,867.2,787870,671924021.55,36799
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-07,854.85,875.7,853.85,867.2,868.0,854.85,1011544,876541146.35,40289
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-06,875.95,876.65,843.75,854.85,855.5,876.25,1472985,1261039791.0,55511
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-05,884.55,890.1,872.8,876.25,875.0,881.3,1082470,954697222.8,38658
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-04,876.9,913.8,864.5,881.3,882.35,872.35,3402600,3038783997.1,111047
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-02,877.2,877.9,870.0,872.35,872.15,873.8,132309,115489027.65,6087
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-03-01,878.9,883.9,868.0,873.8,874.0,875.1,1472366,1288244975.1,52489
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-29,854.2,879.5,854.2,875.1,877.8,854.2,2582071,2242434420.8,88205
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-28,866.0,903.45,842.0,854.2,853.0,854.05,8593058,7578269965.0,212051
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-27,860.0,865.0,851.2,854.05,853.05,859.2,1038904,890985607.15,36130
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-26,862.25,869.95,849.1,859.2,856.0,858.7,1253538,1078826069.45,47585
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-23,840.0,863.9,834.05,858.7,859.0,836.3,1739872,1483015206.8,59312
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-22,834.4,844.0,814.15,836.3,836.85,830.85,1269496,1056686918.55,49220
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-21,846.55,849.9,825.05,830.85,834.4,843.8,1005409,840696349.2,41252
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-20,852.6,854.95,840.05,843.8,846.55,851.0,1047391,885564704.15,37193
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-19,845.0,869.25,839.05,851.0,852.6,839.25,1987506,1696537132.9,72573
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-16,864.8,884.75,835.0,839.25,845.0,860.85,1858009,1589029925.75,64839
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-15,851.0,864.9,845.5,860.85,861.9,847.4,1278231,1094702892.95,46149
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-14,810.05,853.5,810.05,847.4,849.95,842.8,1477541,1236042521.85,56561
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-13,817.5,853.1,795.0,842.8,843.0,805.4,3156914,2627192151.25,112317
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-12,882.0,882.0,790.0,805.4,817.5,882.65,3682525,3050500580.45,132098
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-09,915.5,916.2,865.5,882.65,883.15,911.4,2188203,1935924538.95,85296
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-08,878.55,920.0,863.9,911.4,913.0,873.9,3837173,3458812216.8,114550
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-07,887.5,897.0,871.5,873.9,875.0,884.5,1182679,1043580718.2,45029
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-06,895.0,895.0,863.2,884.5,887.5,890.65,1631959,1436667060.0,58869
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-05,913.0,924.45,880.8,890.65,894.0,905.2,2538611,2302454155.7,79117
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-02,919.1,922.0,903.0,905.2,905.9,911.55,1973422,1798685390.6,60487
Cochin Shipyard Limited,INE704P01025,2017-08-11,EQ,COCHINSHIP,2024-02-01,922.5,941.95,902.4,911.55,914.0,912.2,4522178,4176367427.7,126097
