StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-28,1491.0,1559.75,1491.0,1520.8,1522.0,1498.25,104658,159722780.75,16767
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-27,1505.0,1515.0,1465.25,1498.25,1497.65,1497.3,60901,91289597.9,13504
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-26,1513.9,1513.9,1460.0,1497.3,1498.5,1493.1,47166,70364625.9,8968
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-22,1451.05,1505.0,1451.05,1493.1,1494.05,1466.6,48086,71664376.85,8115
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-21,1459.85,1524.5,1459.85,1466.6,1465.25,1456.4,44925,66779333.65,6904
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-20,1460.0,1474.0,1431.0,1456.4,1455.4,1461.1,40339,58580242.3,4701
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-19,1460.0,1489.9,1425.25,1461.1,1451.4,1470.05,70426,102928880.6,12270
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-18,1408.9,1479.8,1393.15,1470.05,1456.0,1401.85,203580,290364330.0,15444
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-15,1419.7,1422.95,1386.9,1401.85,1400.2,1395.95,94327,132409602.4,9862
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-14,1370.0,1440.0,1350.05,1395.95,1405.0,1373.1,74076,103378385.1,14358
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-13,1390.0,1418.3,1351.0,1373.1,1385.0,1418.25,255602,351599844.5,24423
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-12,1475.0,1502.2,1405.0,1418.25,1407.0,1446.15,80303,115055041.55,10358
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-11,1520.0,1523.0,1425.85,1446.15,1457.0,1532.3,108887,159136983.4,16924
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-07,1393.25,1597.8,1390.45,1532.3,1522.0,1390.05,251974,377644413.2,23464
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-06,1435.2,1435.25,1384.55,1390.05,1387.0,1441.8,60090,84179435.05,7966
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-05,1448.05,1460.9,1420.0,1441.8,1432.0,1455.65,47201,67881366.75,7850
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-04,1454.7,1477.95,1445.3,1455.65,1448.05,1469.4,76924,112497577.35,3639
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-02,1496.0,1496.0,1432.0,1469.4,1478.0,1478.8,5066,7435433.25,450
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-03-01,1450.0,1485.0,1440.15,1478.8,1470.0,1456.0,43760,64302007.5,8067
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-02-29,1465.0,1482.0,1420.5,1456.0,1440.1,1471.55,68048,98620475.05,10183
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-02-28,1523.95,1523.95,1450.0,1471.55,1452.25,1499.45,63760,94364281.7,10344
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-02-27,1504.45,1505.45,1480.05,1499.45,1500.05,1504.45,53746,80409751.6,10672
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-02-26,1496.9,1535.65,1472.5,1504.45,1505.0,1475.25,203736,306424609.0,20509
Concord Biotech Limited,INE338H01029,2023-08-18,EQ,CONCORDBIO,2024-02-23,1467.0,1487.85,1447.1,1475.25,1478.0,1443.0,493839,719130599.7,14054
