StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-28,1072.75,1085.0,1061.0,1075.05,1078.0,1072.75,373298,400558466.2,15583
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-27,1062.7,1077.45,1060.05,1072.75,1073.95,1062.7,900124,963393696.55,30119
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-26,1064.5,1068.0,1040.0,1062.7,1060.0,1065.45,457979,485037910.65,48233
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-22,1063.95,1076.0,1055.2,1065.45,1061.85,1066.0,896943,956869466.4,49442
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-21,1064.75,1070.45,1059.0,1066.0,1063.25,1054.15,703368,750127418.75,12171
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-20,1050.0,1058.55,1036.75,1054.15,1054.0,1054.8,295678,310869474.35,16961
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-19,1062.35,1069.6,1049.3,1054.8,1050.0,1068.75,594754,628302193.6,24541
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-18,1079.0,1079.0,1055.5,1068.75,1074.0,1074.85,185084,197362165.7,17925
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-15,1090.25,1110.0,1059.75,1074.85,1084.0,1085.9,1215774,1304771166.95,26580
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-14,1074.0,1095.65,1054.8,1085.9,1086.0,1076.75,538865,584624806.45,17933
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-13,1115.4,1123.65,1067.8,1076.75,1072.95,1117.85,358551,388900037.65,25660
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-12,1119.95,1123.45,1107.2,1117.85,1113.5,1119.25,467672,522111645.15,19471
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-11,1122.0,1130.1,1104.05,1119.25,1124.45,1114.55,532858,595632699.45,18588
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-07,1104.9,1123.0,1101.8,1114.55,1122.0,1098.7,558623,621490537.95,26972
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-06,1091.95,1101.45,1076.0,1098.7,1099.4,1091.1,154816,168960390.7,14330
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-05,1095.0,1103.0,1075.3,1091.1,1096.75,1092.25,634824,688864673.0,18027
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-04,1080.0,1097.7,1076.05,1092.25,1093.0,1081.25,225860,245958294.1,16749
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-02,1092.6,1092.65,1069.1,1081.25,1082.5,1087.45,11668,12609599.35,953
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-03-01,1081.9,1095.0,1066.15,1087.45,1084.05,1076.25,407919,441249824.0,25497
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-02-29,1050.0,1083.0,1038.85,1076.25,1072.25,1048.3,474424,505288405.4,22550
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-02-28,1040.0,1057.3,1040.0,1048.3,1042.0,1039.5,238993,250615498.3,18189
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-02-27,1062.55,1063.8,1024.6,1039.5,1040.0,1062.55,778424,810652045.2,32041
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-02-26,1093.95,1100.0,1055.1,1062.55,1061.0,1081.25,465917,498655914.8,30486
Coromandel International Limited,INE169A01031,1995-05-31,EQ,COROMANDEL,2024-02-23,1092.0,1102.2,1076.1,1081.25,1078.0,1098.3,119791,130330379.15,11881
