StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-28,4381.0,4447.0,4283.0,4314.9,4335.0,4332.5,41032,178982539.3,11140
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-27,4176.55,4370.0,4141.0,4332.5,4369.0,4172.05,52734,224871828.55,12725
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-26,4199.95,4212.95,4088.0,4172.05,4171.0,4149.55,44943,186697520.1,12751
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-22,3988.95,4160.0,3964.8,4149.55,4153.0,3972.35,64305,264306079.0,12729
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-21,3863.45,4034.05,3850.0,3972.35,3969.5,3844.25,79963,317544820.2,17310
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-20,3830.0,3865.3,3782.05,3844.25,3863.9,3837.1,73471,281060250.7,10560
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-19,3944.0,3949.0,3813.25,3837.1,3844.0,3912.3,28229,108782875.45,8261
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-18,4033.1,4033.9,3875.0,3912.3,3920.0,4033.1,33359,130750481.05,9734
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-15,3954.0,4050.0,3897.15,4033.1,4050.0,3924.55,30039,119089572.0,9430
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-14,3825.0,3980.0,3801.0,3924.55,3971.6,3851.4,46578,183636372.75,9588
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-13,4029.95,4030.45,3793.65,3851.4,3850.0,4002.6,96254,373863124.4,16079
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-12,4065.05,4115.95,3986.0,4002.6,4000.0,4029.45,31161,126102663.8,7262
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-11,4131.1,4168.4,4020.0,4029.45,4021.45,4131.05,32207,131518779.25,10299
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-07,4110.0,4150.95,4085.0,4131.05,4150.0,4165.95,30808,127022796.75,8053
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-06,4151.0,4200.0,4056.1,4165.95,4150.0,4128.55,44331,182525785.65,12427
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-05,4199.2,4239.8,4090.05,4128.55,4133.7,4239.25,57340,236661446.0,16553
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-04,4305.3,4319.95,4204.0,4239.25,4252.9,4288.2,17140,72773041.55,5737
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-02,4315.0,4315.0,4252.0,4288.2,4289.0,4290.05,1938,8313089.55,525
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-03-01,4274.95,4324.0,4230.1,4290.05,4300.0,4188.85,25481,109228432.9,6477
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-29,4260.0,4275.0,4160.0,4188.85,4235.0,4253.5,25274,106414367.6,6323
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-28,4257.0,4324.95,4225.05,4253.5,4275.0,4264.0,17313,73700616.7,6480
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-27,4350.0,4385.0,4252.0,4264.0,4273.5,4333.5,44229,190481551.45,5192
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-26,4331.0,4398.0,4294.0,4333.5,4347.55,4347.95,16525,71821099.55,5312
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-23,4340.0,4367.45,4300.25,4347.95,4350.0,4350.25,13906,60351009.55,4071
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-22,4447.9,4450.85,4340.0,4350.25,4345.0,4407.9,16944,73906704.0,5440
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-21,4525.0,4525.0,4390.0,4407.9,4415.0,4453.25,24298,107564894.95,6618
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-20,4344.9,4493.9,4326.25,4453.25,4440.0,4331.85,65268,289634960.4,13302
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-19,4349.9,4377.0,4308.0,4331.85,4347.45,4313.7,19509,84695909.75,4874
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-16,4270.0,4388.8,4242.55,4313.7,4305.0,4270.1,91594,391882364.0,7052
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-15,4254.0,4311.95,4235.0,4270.1,4270.0,4234.15,23965,102398218.05,5669
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-14,4190.85,4245.0,4105.4,4234.15,4235.0,4190.85,21389,89785631.2,6032
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-13,4141.6,4223.4,4068.0,4190.85,4190.0,4121.0,46227,193176949.45,8783
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-12,4180.0,4250.65,4102.7,4121.0,4119.8,4157.05,45539,189011447.9,7762
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-09,4067.0,4189.7,4028.05,4157.05,4144.0,4066.7,26710,109819044.3,7572
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-08,4185.45,4199.15,4042.0,4066.7,4074.95,4182.75,78725,322700748.15,14077
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-07,4189.9,4296.65,4141.05,4182.75,4194.95,4130.75,65576,275893075.5,17790
Craftsman Automation Limited,INE00LO01017,2021-03-25,EQ,CRAFTSMAN,2024-02-06,4188.65,4238.25,4111.0,4130.75,4131.0,4175.1,64172,266389247.35,14716
