StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-28,990.0,1005.0,990.0,1005.0,1005.0,1007.0,380,381150.0,47
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-28,1000.95,1000.95,1000.95,1000.95,1000.95,1000.97,14,14013.3,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-28,1020.0,1023.5,1010.0,1022.3,1023.5,1005.0,530,541084.49,15
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-28,1008.97,1008.97,1000.0,1000.05,1000.05,1008.95,80,80259.9,4
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-28,1415.0,1460.1,1400.45,1441.4,1423.2,1422.55,318854,455826240.15,20773
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-27,1400.05,1430.5,1396.05,1422.55,1425.5,1400.9,139222,196715864.2,14287
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-27,1000.97,1000.97,1000.97,1000.97,1000.97,1000.97,4,4003.88,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-27,1008.95,1008.95,1008.95,1008.95,1008.95,1008.97,25,25223.75,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-26,1000.97,1000.97,1000.97,1000.97,1000.97,1000.97,2,2001.94,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N2,CREDITACC,2024-03-26,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,49,55370.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-26,1381.3,1409.5,1342.35,1400.9,1388.0,1381.3,276127,378610059.05,28517
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-22,1009.0,1009.0,1007.0,1007.0,1007.0,1004.92,44,44351.0,5
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-22,1000.97,1000.97,1000.97,1000.97,1000.97,1005.3,20,20019.4,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-22,1005.0,1005.0,1005.0,1005.0,1005.0,1022.0,200,201000.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-22,1406.0,1406.5,1370.0,1381.3,1378.9,1399.45,250606,349264732.6,12177
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-21,1005.3,1005.3,1005.3,1005.3,1005.3,1005.0,50,50265.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-21,1022.0,1022.0,1022.0,1022.0,1022.0,1026.9,45,45990.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-21,997.0,1008.97,997.0,1008.97,1008.97,996.01,50,50209.1,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-21,942.0,1002.0,876.0,1000.0,1000.0,1003.0,628,574004.1,8
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-21,1411.0,1411.0,1384.3,1399.45,1402.0,1383.15,174020,242991189.3,8420
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-20,1005.0,1005.0,1005.0,1005.0,1005.0,1001.5,10,10050.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-20,1006.0,1006.0,1003.0,1003.0,1003.0,955.0,21,21084.0,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-20,1415.05,1421.0,1375.7,1383.15,1381.0,1412.0,223354,312476549.25,17881
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-19,1400.2,1420.05,1365.0,1412.0,1417.0,1400.2,206761,288746622.75,23172
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-19,1005.0,1005.0,955.0,955.0,955.0,1000.0,14,13564.0,3
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-19,1001.5,1026.9,1001.5,1026.9,1026.9,1010.0,413,415687.18,12
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-19,1005.0,1005.0,1004.0,1004.92,1005.0,1000.05,523,525595.0,8
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N9,CREDITACC,2024-03-19,996.0,996.0,993.3,995.22,993.3,995.0,70,69666.0,3
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N6,CREDITACC,2024-03-18,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,9,9900.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-18,900.0,1000.0,900.0,1000.0,1000.0,1001.0,46,41500.0,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-18,1421.25,1421.25,1365.0,1400.2,1401.95,1421.25,238222,331127604.3,45985
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-15,1382.8,1469.0,1355.0,1421.25,1420.1,1382.75,484548,678622906.75,34517
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-15,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,10,10100.0,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-15,999.09,1003.0,995.0,1000.05,1000.05,1003.0,100,99965.58,4
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-15,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,30,30030.0,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-14,1003.0,1003.0,1003.0,1003.0,1003.0,1010.0,7,7021.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-14,1002.2,1010.0,1002.2,1010.0,1010.0,970.2,81,81490.2,4
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-14,1310.0,1394.7,1277.95,1382.75,1383.45,1311.15,343494,461089791.2,34773
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-13,1010.0,1010.0,1010.0,1010.0,1010.0,1008.78,1,1010.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-13,996.01,996.01,996.01,996.01,996.01,1000.0,500,498005.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-13,1001.0,1001.0,1001.0,1001.0,1001.0,1000.0,10,10010.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-13,1326.75,1339.0,1282.65,1311.15,1327.95,1326.75,423937,553280603.55,43138
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-12,1015.0,1015.0,900.3,970.2,970.2,1015.0,108,99252.2,4
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N4,CREDITACC,2024-03-12,1100.0,1100.0,1100.0,1100.0,1100.0,1115.0,19,20900.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-12,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2,2000.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-12,1333.2,1343.45,1295.0,1326.75,1325.0,1322.2,295375,390187089.85,33781
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-11,1007.0,1008.81,1007.0,1008.78,1008.0,1007.0,10325,10415675.0,3
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N7,CREDITACC,2024-03-11,1001.5,1001.5,1001.5,1001.5,1001.5,1000.0,1500,1502250.0,1
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-11,1015.0,1015.0,1015.0,1015.0,1015.0,1026.9,27,27405.0,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-11,1010.0,1010.0,1000.0,1000.0,1000.0,1010.0,216,216070.0,6
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-11,1399.85,1417.75,1310.05,1322.2,1337.05,1396.55,864457,1152636039.3,70510
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,EQ,CREDITACC,2024-03-07,1385.0,1409.55,1335.35,1396.55,1398.3,1381.45,406209,552686512.55,36765
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N3,CREDITACC,2024-03-07,1010.0,1010.0,1010.0,1010.0,1010.0,1001.75,20,20200.0,2
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,ND,CREDITACC,2024-03-07,1007.0,1007.0,1007.0,1007.0,1007.0,1006.6,400,402800.0,6
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N5,CREDITACC,2024-03-07,1019.95,1026.9,1019.95,1026.9,1026.9,1025.95,168,171664.35,12
CREDITACCESS GRAMEEN LIMITED,INE741K01010,2018-08-23,N1,CREDITACC,2024-03-07,1000.0,1000.0,1000.0,1000.0,1000.0,992.01,50,50000.0,1
