StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-28,4980.0,5078.0,4955.15,5068.0,5040.0,4979.2,18143,91205828.5,5872
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-27,5150.0,5154.95,4960.1,4979.2,4966.25,5119.65,36070,181208724.4,8516
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-26,5040.0,5268.5,4992.65,5119.65,5100.1,5006.0,71972,370478674.0,15535
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-22,5001.55,5049.95,4985.1,5006.0,5010.0,4976.7,19970,100063353.2,5632
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-21,5009.4,5055.0,4957.0,4976.7,4985.0,4994.5,10811,54109271.95,4081
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-20,4950.0,5090.0,4900.0,4994.5,4999.95,4982.85,43473,216895643.15,10604
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-19,5223.55,5250.0,4962.25,4982.85,4966.0,5223.55,73963,374938675.15,16235
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-18,5020.0,5250.0,4996.95,5223.55,5200.0,4976.8,74915,385614560.1,13747
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-15,4980.7,5048.95,4934.25,4976.8,4994.0,4985.65,26133,130281507.05,7188
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-14,4883.8,4999.0,4828.05,4985.65,4977.0,4883.8,30218,149383759.4,6585
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-13,4980.05,4980.05,4825.0,4883.8,4845.5,4984.3,41039,201126961.9,10670
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-12,4950.0,5010.9,4854.65,4984.3,4962.5,4924.75,44066,217264084.85,7480
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-11,4945.0,5034.0,4911.75,4924.75,4948.0,4927.85,38944,194020361.3,7389
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-07,4896.6,4991.0,4867.25,4927.85,4935.0,4896.55,35963,177946802.1,6722
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-06,4859.85,4915.05,4764.0,4896.55,4890.0,4859.9,37738,183115225.15,7212
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-05,5001.25,5019.95,4831.5,4859.9,4845.0,5014.1,51128,250791010.85,8270
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-04,4939.95,5070.0,4911.0,5014.1,5018.0,4939.7,42811,213899378.85,8955
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-02,4935.3,4968.0,4890.0,4939.7,4927.0,4901.6,1652,8155175.45,506
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-03-01,5059.35,5090.15,4883.0,4901.6,4923.0,5017.15,36319,179809771.4,7522
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-02-29,4872.8,5170.0,4786.0,5017.15,5050.0,4870.15,49038,243883071.8,7745
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-02-28,4924.75,4925.0,4830.9,4870.15,4864.95,4892.7,12138,59145954.75,3787
CRISIL Limited,INE007A01025,1995-06-28,EQ,CRISIL,2024-02-27,4931.0,4951.75,4875.1,4892.7,4890.0,4898.15,23137,113415107.4,4733
