StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-28,135.6,138.05,134.7,135.15,134.8,135.55,2859127,389346764.7,17498
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-27,136.0,137.0,135.0,135.55,135.1,135.85,3539318,480251444.75,17637
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-26,134.15,136.9,134.15,135.85,136.0,135.45,1983300,269466836.65,13235
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-22,133.05,137.6,133.05,135.45,135.4,133.2,4277665,581765922.75,24621
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-21,129.9,133.7,128.9,133.2,133.5,128.8,4093696,542540745.1,27862
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-20,128.15,129.2,126.35,128.8,129.1,127.55,2625171,336179668.35,37960
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-19,128.6,128.85,126.85,127.55,127.65,128.45,1900488,242802494.8,18534
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-18,129.8,130.4,128.1,128.45,128.6,128.6,2125228,274089835.35,11932
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-15,128.85,129.5,127.3,128.6,128.9,129.5,1827961,234587623.0,12806
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-14,127.05,130.4,125.4,129.5,129.6,126.8,3255269,420239971.2,16472
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-13,131.8,132.3,126.25,126.8,126.75,131.1,3007735,386784837.85,27359
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-12,133.05,133.75,130.8,131.1,131.2,132.9,2313273,305715373.45,20397
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-11,137.05,137.1,132.6,132.9,132.9,136.75,2958334,396012183.6,23826
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-07,137.25,137.6,136.3,136.75,136.6,136.65,1678802,229781798.7,15289
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-06,137.6,137.8,135.0,136.65,136.5,137.55,3152062,430992131.85,17841
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-05,139.6,140.25,137.2,137.55,138.0,139.8,4224029,584596730.25,26182
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-04,138.9,139.95,137.95,139.8,139.7,138.2,3800708,528870445.65,20143
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-02,138.1,139.0,137.4,138.2,138.2,137.55,287754,39718244.25,2460
City Union Bank Limited,INE491A01021,1998-08-25,EQ,CUB,2024-03-01,135.7,137.85,135.6,137.55,137.2,135.15,2735779,374759200.05,18083
