StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-28,2986.45,3025.0,2939.15,3006.25,3022.95,2968.35,827120,2469455052.6,83292
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-27,2988.0,3012.0,2947.2,2968.35,2974.0,2969.1,384326,1144825722.35,38960
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-26,2938.95,2985.0,2918.25,2969.1,2984.95,2930.8,513559,1519635601.05,44916
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-22,2907.0,2948.0,2872.55,2930.8,2944.95,2898.25,568710,1656252534.15,45624
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-21,2835.0,2908.45,2817.1,2898.25,2903.0,2793.8,857294,2453588477.75,62102
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-20,2715.0,2802.65,2710.7,2793.8,2799.0,2715.75,886440,2461139640.2,53719
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-19,2713.0,2733.2,2668.1,2715.75,2705.05,2712.7,431587,1168488936.95,26325
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-18,2705.8,2768.65,2664.75,2712.7,2726.55,2707.65,754044,2044696370.8,76312
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-15,2723.95,2737.1,2678.5,2707.65,2702.45,2724.05,472475,1280448800.4,31254
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-14,2663.4,2751.95,2657.75,2724.05,2730.0,2675.95,762079,2069761206.2,50703
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-13,2760.0,2797.7,2652.0,2675.95,2664.95,2759.7,612537,1658083920.5,45327
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-12,2795.85,2806.2,2746.9,2759.7,2753.6,2795.85,287216,796477346.7,38486
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-11,2823.85,2891.95,2783.75,2795.85,2798.0,2787.0,1183246,3340820074.8,93984
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-07,2800.0,2827.0,2775.15,2787.0,2780.0,2784.3,479478,1343882128.15,37289
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-06,2784.0,2796.5,2709.05,2784.3,2794.0,2774.75,292058,807827681.1,28489
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-05,2782.75,2798.95,2765.0,2774.75,2768.05,2782.9,278427,773743347.3,24861
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-04,2736.65,2809.0,2703.0,2782.9,2777.75,2736.65,932506,2581921413.7,67599
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-02,2738.9,2774.85,2714.0,2736.65,2734.0,2726.15,29886,82031932.45,3771
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-03-01,2749.0,2763.35,2717.8,2726.15,2730.0,2738.65,431838,1183859999.9,39497
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-29,2710.0,2761.4,2659.6,2738.65,2754.0,2714.6,1010604,2746565960.3,72923
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-28,2760.0,2775.45,2700.0,2714.6,2706.0,2754.1,409541,1123487659.85,38469
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-27,2717.0,2797.9,2716.2,2754.1,2753.0,2733.55,439505,1213397520.45,49061
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-26,2790.05,2828.0,2650.1,2733.55,2718.55,2810.95,1848049,5015707014.15,126774
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-23,2765.0,2828.0,2752.1,2810.95,2793.5,2760.85,951153,2666461918.75,69245
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-22,2604.65,2789.75,2595.0,2760.85,2769.85,2607.9,1179771,3211119728.3,75218
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-21,2617.95,2643.25,2591.2,2607.9,2605.05,2629.3,285288,746029514.05,22559
Cummins India Limited,INE298A01020,1995-03-29,EQ,CUMMINSIND,2024-02-20,2671.0,2679.5,2622.05,2629.3,2632.5,2658.75,264511,699441910.25,15142
