StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-28,2490.0,2495.1,2408.0,2422.0,2429.0,2456.05,153271,375361875.1,12317
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-27,2376.9,2487.45,2357.6,2456.05,2446.0,2347.45,432498,1053466970.4,29369
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-26,2301.05,2389.4,2301.0,2347.45,2345.0,2328.35,154303,361647326.9,12796
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-22,2371.95,2371.95,2300.0,2328.35,2320.05,2352.1,139560,325755232.1,12161
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-21,2295.0,2386.6,2265.0,2352.1,2350.0,2254.6,245041,572022527.1,25528
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-20,2250.0,2283.95,2210.0,2254.6,2249.95,2245.2,151009,340073811.95,14360
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-19,2350.0,2351.0,2226.95,2245.2,2249.0,2338.4,214928,488321236.05,22342
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-18,2363.1,2446.95,2322.0,2338.4,2331.0,2363.85,215180,511106888.9,16806
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-15,2410.15,2436.0,2270.0,2363.85,2355.0,2379.2,354905,829900558.85,27959
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-14,2120.25,2401.55,2101.0,2379.2,2401.55,2183.25,537063,1234805747.85,35784
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-13,2420.0,2463.6,2181.5,2183.25,2181.5,2423.85,619844,1399551210.3,49465
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-12,2542.1,2555.0,2400.0,2423.85,2412.0,2555.45,277203,682469486.55,26333
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-11,2720.0,2722.85,2538.0,2555.45,2552.0,2698.1,265622,691003903.35,24620
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-07,2797.7,2797.7,2665.0,2698.1,2700.0,2634.4,312456,845464962.25,23734
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-06,2709.9,2799.0,2568.65,2634.4,2673.0,2669.9,410898,1088227672.0,37461
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-05,2930.0,2939.85,2635.1,2669.9,2710.0,2894.1,694807,1909873912.1,52846
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-04,2800.0,3080.0,2799.0,2894.1,2942.0,2796.05,1880574,5580244008.6,123250
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-02,2704.0,2796.05,2703.0,2796.05,2796.05,2662.95,127552,355036038.25,7147
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-03-01,2495.05,2699.9,2471.3,2662.95,2699.0,2484.35,898910,2340411194.75,47171
Data Patterns (India) Limited,INE0IX101010,2021-12-24,EQ,DATAPATTNS,2024-02-29,2488.0,2547.75,2405.0,2484.35,2456.0,2490.75,289201,718238605.7,18974
