StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-28,2156.55,2168.95,2117.0,2125.5,2121.0,2156.55,214589,458227398.25,18337
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-27,2148.9,2180.75,2130.0,2156.55,2150.0,2139.05,273112,589559294.8,23330
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-26,2154.2,2171.7,2134.55,2139.05,2138.0,2161.15,138132,296898735.6,12356
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-22,2160.0,2183.3,2148.15,2161.15,2158.0,2149.85,225223,487912554.45,18504
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-21,2110.55,2155.0,2110.05,2149.85,2149.9,2100.05,198270,423031712.85,20424
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-20,2115.7,2130.0,2059.15,2100.05,2104.15,2115.7,165795,346129551.05,19358
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-19,2109.45,2139.0,2096.7,2115.7,2117.95,2109.25,201055,425652305.5,19359
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-18,2106.45,2120.9,2101.0,2109.25,2109.8,2098.65,102446,216252323.65,13708
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-15,2108.0,2123.55,2080.0,2098.65,2105.3,2099.6,234166,492219504.5,20524
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-14,2051.0,2109.0,2035.1,2099.6,2102.8,2065.2,138189,288815455.3,15547
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-13,2125.1,2145.95,2054.2,2065.2,2063.05,2129.35,396878,832117274.3,38430
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-12,2174.45,2175.0,2121.5,2129.35,2131.0,2165.45,183290,392166600.95,20119
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-11,2206.05,2215.15,2157.55,2165.45,2163.85,2206.05,126299,276312372.45,15172
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-07,2200.0,2250.0,2197.0,2206.05,2205.9,2189.55,244118,543466693.7,20110
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-06,2200.0,2201.75,2134.85,2189.55,2190.05,2201.4,222308,481385500.6,23567
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-05,2176.05,2227.0,2176.05,2201.4,2203.0,2187.5,215185,474739662.65,18311
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-04,2218.35,2238.05,2184.1,2187.5,2187.5,2218.35,99205,218414384.1,11291
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-02,2221.25,2235.0,2212.0,2218.35,2217.05,2221.25,15433,34317308.2,1984
Deepak Nitrite Limited,INE288B01029,2010-09-29,EQ,DEEPAKNTR,2024-03-01,2206.15,2234.8,2206.15,2221.25,2220.0,2212.85,184530,409412991.7,10482
