StockName,ISINNo,DateofListing,Series,Symbol,Date,Open,High,Low,Close,Last,PrevClose,Volume,TOTTRDVAL,TOTALTRADES
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-28,460.1,462.0,443.1,445.55,444.95,458.7,4231370,1904780272.1,57250
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-27,461.0,469.45,450.3,458.7,456.2,456.95,2434023,1113314721.4,66845
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-26,463.1,465.65,438.85,456.95,457.15,464.55,3562104,1597816461.45,79842
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-22,462.1,465.5,460.3,464.55,464.5,459.0,432603,200345822.5,19829
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-21,468.95,475.8,455.55,459.0,462.0,463.5,2230560,1042399564.45,52727
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-20,453.0,469.9,450.15,463.5,464.0,450.45,3143034,1447727673.2,40427
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-19,445.45,452.55,438.4,450.45,451.0,445.45,805931,359874393.2,39414
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-18,436.05,448.0,436.05,445.45,445.95,437.85,450129,200265043.1,44443
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-15,440.05,454.95,433.5,437.85,440.0,446.0,1392276,613202603.45,53613
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-14,420.05,448.75,415.05,446.0,445.0,423.45,1046606,462906702.8,48295
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-13,444.35,444.35,417.3,423.45,423.0,448.05,2246414,973754932.15,57676
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-12,453.0,454.2,441.1,448.05,442.65,456.55,830741,374327266.8,31499
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-11,464.9,467.95,451.4,456.55,455.0,459.05,2863365,1318376554.5,51759
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-07,459.25,463.55,454.05,459.05,456.9,459.25,1379359,633365163.7,35769
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-06,465.5,465.55,445.0,459.25,459.55,465.55,2124391,970100265.05,53397
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-05,463.2,467.5,452.85,465.55,464.0,458.65,1835458,847214752.65,38004
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-04,472.05,473.95,455.0,458.65,457.5,471.4,2792081,1285627093.4,24042
Delhivery Limited,INE148O01028,2022-05-24,EQ,DELHIVERY,2024-03-02,467.8,472.0,465.1,471.4,471.5,465.3,92389,43403975.95,2188
